battle_id,winner,turns,won
battle-gen9randomdoublesbattle-50159,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50160,VGC_B_2019,20,0
battle-gen9randomdoublesbattle-50161,VGC_A_2019,21,1
battle-gen9randomdoublesbattle-50162,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50163,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50164,VGC_B_2019,19,0
battle-gen9randomdoublesbattle-50165,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50166,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50167,VGC_A_2019,23,1
battle-gen9randomdoublesbattle-50168,VGC_A_2019,23,1
battle-gen9randomdoublesbattle-50169,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50170,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50171,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50172,VGC_A_2019,12,1
battle-gen9randomdoublesbattle-50173,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50174,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50175,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50176,VGC_B_2019,19,0
battle-gen9randomdoublesbattle-50177,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50178,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50179,VGC_B_2019,23,0
battle-gen9randomdoublesbattle-50180,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50181,VGC_A_2019,22,1
battle-gen9randomdoublesbattle-50182,VGC_A_2019,29,1
battle-gen9randomdoublesbattle-50183,VGC_A_2019,39,1
battle-gen9randomdoublesbattle-50184,VGC_A_2019,14,1
battle-gen9randomdoublesbattle-50185,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50186,VGC_A_2019,28,1
battle-gen9randomdoublesbattle-50187,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50188,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50189,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50190,VGC_B_2019,10,0
battle-gen9randomdoublesbattle-50191,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50192,VGC_A_2019,20,1
battle-gen9randomdoublesbattle-50193,VGC_B_2019,11,0
battle-gen9randomdoublesbattle-50194,VGC_A_2019,22,1
battle-gen9randomdoublesbattle-50195,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50196,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50197,VGC_A_2019,13,1
battle-gen9randomdoublesbattle-50198,VGC_A_2019,21,1
battle-gen9randomdoublesbattle-50199,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50200,VGC_B_2019,10,0
battle-gen9randomdoublesbattle-50201,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50202,VGC_A_2019,20,1
battle-gen9randomdoublesbattle-50203,VGC_A_2019,29,1
battle-gen9randomdoublesbattle-50204,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50205,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50206,VGC_B_2019,26,0
battle-gen9randomdoublesbattle-50207,VGC_A_2019,14,1
battle-gen9randomdoublesbattle-50208,VGC_A_2019,26,1
battle-gen9randomdoublesbattle-50209,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50210,VGC_A_2019,24,1
battle-gen9randomdoublesbattle-50211,VGC_B_2019,11,0
battle-gen9randomdoublesbattle-50212,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50213,VGC_A_2019,14,1
battle-gen9randomdoublesbattle-50214,VGC_A_2019,20,1
battle-gen9randomdoublesbattle-50215,VGC_A_2019,23,1
battle-gen9randomdoublesbattle-50216,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50217,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50218,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50219,VGC_B_2019,12,0
battle-gen9randomdoublesbattle-50220,VGC_A_2019,18,1
battle-gen9randomdoublesbattle-50221,VGC_A_2019,18,1
battle-gen9randomdoublesbattle-50222,VGC_B_2019,20,0
battle-gen9randomdoublesbattle-50223,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50224,VGC_A_2019,22,1
battle-gen9randomdoublesbattle-50225,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50226,VGC_A_2019,30,1
battle-gen9randomdoublesbattle-50227,VGC_A_2019,9,1
battle-gen9randomdoublesbattle-50228,VGC_A_2019,28,1
battle-gen9randomdoublesbattle-50229,VGC_B_2019,20,0
battle-gen9randomdoublesbattle-50230,VGC_A_2019,18,1
battle-gen9randomdoublesbattle-50231,VGC_B_2019,11,0
battle-gen9randomdoublesbattle-50232,VGC_B_2019,28,0
battle-gen9randomdoublesbattle-50233,VGC_B_2019,11,0
battle-gen9randomdoublesbattle-50234,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50235,VGC_B_2019,23,0
battle-gen9randomdoublesbattle-50236,VGC_A_2019,9,1
battle-gen9randomdoublesbattle-50237,VGC_A_2019,18,1
battle-gen9randomdoublesbattle-50238,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50239,VGC_B_2019,23,0
battle-gen9randomdoublesbattle-50240,VGC_B_2019,11,0
battle-gen9randomdoublesbattle-50241,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50242,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50243,VGC_A_2019,30,1
battle-gen9randomdoublesbattle-50244,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50245,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50246,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50247,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50248,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50249,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50250,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50251,VGC_B_2019,23,0
battle-gen9randomdoublesbattle-50252,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50253,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50254,VGC_A_2019,18,1
battle-gen9randomdoublesbattle-50255,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50256,VGC_A_2019,16,1
battle-gen9randomdoublesbattle-50257,VGC_A_2019,13,1
battle-gen9randomdoublesbattle-50258,VGC_A_2019,6,1
battle-gen9randomdoublesbattle-50259,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50260,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50261,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50262,VGC_A_2019,17,1
battle-gen9randomdoublesbattle-50263,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50264,VGC_A_2019,11,1
battle-gen9randomdoublesbattle-50265,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50266,VGC_A_2019,20,1
battle-gen9randomdoublesbattle-50267,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50268,VGC_B_2019,13,0
battle-gen9randomdoublesbattle-50269,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50270,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50271,VGC_B_2019,27,0
battle-gen9randomdoublesbattle-50272,VGC_A_2019,20,1
battle-gen9randomdoublesbattle-50273,VGC_A_2019,25,1
battle-gen9randomdoublesbattle-50274,VGC_A_2019,25,1
battle-gen9randomdoublesbattle-50275,VGC_A_2019,10,1
battle-gen9randomdoublesbattle-50276,VGC_B_2019,15,0
battle-gen9randomdoublesbattle-50277,VGC_A_2019,17,1
battle-gen9randomdoublesbattle-50278,VGC_A_2019,24,1
battle-gen9randomdoublesbattle-50279,VGC_A_2019,15,1
battle-gen9randomdoublesbattle-50280,VGC_B_2019,21,0
battle-gen9randomdoublesbattle-50281,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50282,VGC_B_2019,20,0
battle-gen9randomdoublesbattle-50283,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50284,VGC_B_2019,17,0
battle-gen9randomdoublesbattle-50285,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50286,VGC_B_2019,18,0
battle-gen9randomdoublesbattle-50287,VGC_A_2019,10,1
battle-gen9randomdoublesbattle-50288,VGC_A_2019,22,1
battle-gen9randomdoublesbattle-50289,VGC_A_2019,23,1
battle-gen9randomdoublesbattle-50290,VGC_B_2019,16,0
battle-gen9randomdoublesbattle-50291,VGC_A_2019,19,1
battle-gen9randomdoublesbattle-50292,VGC_A_2019,14,1
battle-gen9randomdoublesbattle-50293,VGC_B_2019,14,0
battle-gen9randomdoublesbattle-50294,VGC_B_2019,13,0
