battle_id,winner,turns,won
battle-gen9randomdoublesbattle-40075,VGC_B_471c,20,0
battle-gen9randomdoublesbattle-40076,VGC_B_471c,13,0
battle-gen9randomdoublesbattle-40077,VGC_A_471c,22,1
battle-gen9randomdoublesbattle-40078,VGC_A_471c,14,1
battle-gen9randomdoublesbattle-40079,VGC_B_471c,15,0
battle-gen9randomdoublesbattle-40080,VGC_B_471c,17,0
battle-gen9randomdoublesbattle-40081,VGC_A_471c,19,1
battle-gen9randomdoublesbattle-40082,VGC_A_471c,13,1
battle-gen9randomdoublesbattle-40083,VGC_A_471c,15,1
battle-gen9randomdoublesbattle-40084,VGC_A_471c,25,1
battle-gen9randomdoublesbattle-40085,VGC_B_471c,14,0
battle-gen9randomdoublesbattle-40086,VGC_B_471c,32,0
battle-gen9randomdoublesbattle-40087,VGC_B_471c,15,0
battle-gen9randomdoublesbattle-40088,VGC_A_471c,15,1
battle-gen9randomdoublesbattle-40089,VGC_A_471c,23,1
battle-gen9randomdoublesbattle-40090,VGC_A_471c,15,1
battle-gen9randomdoublesbattle-40091,VGC_A_471c,17,1
battle-gen9randomdoublesbattle-40092,VGC_B_471c,16,0
battle-gen9randomdoublesbattle-40093,VGC_B_471c,16,0
battle-gen9randomdoublesbattle-40094,VGC_B_471c,16,0
battle-gen9randomdoublesbattle-40095,VGC_A_471c,18,1
battle-gen9randomdoublesbattle-40096,VGC_B_471c,18,0
battle-gen9randomdoublesbattle-40097,VGC_B_471c,17,0
battle-gen9randomdoublesbattle-40098,VGC_B_471c,23,0
battle-gen9randomdoublesbattle-40099,VGC_A_471c,27,1
battle-gen9randomdoublesbattle-40100,VGC_B_471c,11,0
battle-gen9randomdoublesbattle-40101,VGC_A_471c,15,1
battle-gen9randomdoublesbattle-40102,VGC_B_471c,19,0
battle-gen9randomdoublesbattle-40103,VGC_A_471c,16,1
battle-gen9randomdoublesbattle-40104,VGC_B_471c,17,0
battle-gen9randomdoublesbattle-40105,VGC_B_471c,24,0
battle-gen9randomdoublesbattle-40106,VGC_A_471c,15,1
battle-gen9randomdoublesbattle-40107,VGC_A_471c,26,1
battle-gen9randomdoublesbattle-40108,VGC_A_471c,19,1
battle-gen9randomdoublesbattle-40109,VGC_A_471c,10,1
battle-gen9randomdoublesbattle-40110,VGC_A_471c,15,1
battle-gen9randomdoublesbattle-40111,VGC_B_471c,13,0
battle-gen9randomdoublesbattle-40112,VGC_A_471c,54,1
battle-gen9randomdoublesbattle-40113,VGC_B_471c,18,0
battle-gen9randomdoublesbattle-40114,VGC_A_471c,16,1
battle-gen9randomdoublesbattle-40115,VGC_A_471c,18,1
battle-gen9randomdoublesbattle-40116,VGC_B_471c,11,0
battle-gen9randomdoublesbattle-40117,VGC_A_471c,15,1
battle-gen9randomdoublesbattle-40118,VGC_A_471c,14,1
battle-gen9randomdoublesbattle-40119,VGC_B_471c,26,0
battle-gen9randomdoublesbattle-40120,VGC_A_471c,19,1
battle-gen9randomdoublesbattle-40121,VGC_B_471c,19,0
battle-gen9randomdoublesbattle-40122,VGC_A_471c,17,1
battle-gen9randomdoublesbattle-40123,VGC_A_471c,13,1
battle-gen9randomdoublesbattle-40124,VGC_A_471c,30,1
battle-gen9randomdoublesbattle-40125,VGC_B_471c,18,0
battle-gen9randomdoublesbattle-40126,VGC_B_471c,12,0
battle-gen9randomdoublesbattle-40127,VGC_A_471c,11,1
battle-gen9randomdoublesbattle-40128,VGC_A_471c,23,1
battle-gen9randomdoublesbattle-40129,VGC_B_471c,13,0
battle-gen9randomdoublesbattle-40130,VGC_A_471c,17,1
battle-gen9randomdoublesbattle-40131,VGC_B_471c,30,0
battle-gen9randomdoublesbattle-40132,VGC_B_471c,23,0
battle-gen9randomdoublesbattle-40133,VGC_A_471c,13,1
battle-gen9randomdoublesbattle-40134,VGC_B_471c,11,0
battle-gen9randomdoublesbattle-40135,VGC_B_471c,14,0
battle-gen9randomdoublesbattle-40136,VGC_A_471c,19,1
battle-gen9randomdoublesbattle-40137,VGC_B_471c,20,0
battle-gen9randomdoublesbattle-40138,VGC_A_471c,14,1
battle-gen9randomdoublesbattle-40139,VGC_B_471c,27,0
battle-gen9randomdoublesbattle-40140,VGC_B_471c,22,0
battle-gen9randomdoublesbattle-40141,VGC_A_471c,15,1
