battle_id,winner,turns,won
battle-gen9randomdoublesbattle-32073,VGC_B_7cd9,22,0
battle-gen9randomdoublesbattle-32074,VGC_A_7cd9,20,1
battle-gen9randomdoublesbattle-32075,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32076,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32077,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32078,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32079,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32080,VGC_B_7cd9,22,0
battle-gen9randomdoublesbattle-32081,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32082,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32083,VGC_A_7cd9,28,1
battle-gen9randomdoublesbattle-32084,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32085,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32086,VGC_B_7cd9,12,0
battle-gen9randomdoublesbattle-32087,VGC_A_7cd9,23,1
battle-gen9randomdoublesbattle-32088,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32089,VGC_B_7cd9,11,0
battle-gen9randomdoublesbattle-32090,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32091,VGC_A_7cd9,12,1
battle-gen9randomdoublesbattle-32092,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32093,VGC_A_7cd9,16,1
battle-gen9randomdoublesbattle-32094,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32095,VGC_A_7cd9,10,1
battle-gen9randomdoublesbattle-32096,VGC_A_7cd9,18,1
battle-gen9randomdoublesbattle-32097,VGC_B_7cd9,21,0
battle-gen9randomdoublesbattle-32098,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32099,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32100,VGC_B_7cd9,12,0
battle-gen9randomdoublesbattle-32101,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32102,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32103,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32104,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32105,VGC_B_7cd9,12,0
battle-gen9randomdoublesbattle-32106,VGC_B_7cd9,21,0
battle-gen9randomdoublesbattle-32107,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32108,VGC_B_7cd9,30,0
battle-gen9randomdoublesbattle-32109,VGC_B_7cd9,11,0
battle-gen9randomdoublesbattle-32110,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32111,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32112,VGC_B_7cd9,11,0
battle-gen9randomdoublesbattle-32113,VGC_A_7cd9,14,1
battle-gen9randomdoublesbattle-32114,VGC_A_7cd9,12,1
battle-gen9randomdoublesbattle-32115,VGC_B_7cd9,18,0
battle-gen9randomdoublesbattle-32116,VGC_A_7cd9,12,1
battle-gen9randomdoublesbattle-32117,VGC_B_7cd9,13,0
battle-gen9randomdoublesbattle-32118,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32119,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32120,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32121,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32122,VGC_A_7cd9,24,1
battle-gen9randomdoublesbattle-32123,VGC_A_7cd9,29,1
battle-gen9randomdoublesbattle-32124,VGC_A_7cd9,17,1
battle-gen9randomdoublesbattle-32125,VGC_A_7cd9,11,1
battle-gen9randomdoublesbattle-32126,VGC_B_7cd9,24,0
battle-gen9randomdoublesbattle-32127,VGC_B_7cd9,12,0
battle-gen9randomdoublesbattle-32128,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32129,VGC_B_7cd9,26,0
battle-gen9randomdoublesbattle-32130,VGC_B_7cd9,11,0
battle-gen9randomdoublesbattle-32131,VGC_A_7cd9,23,1
battle-gen9randomdoublesbattle-32132,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32133,VGC_A_7cd9,15,1
battle-gen9randomdoublesbattle-32134,VGC_B_7cd9,14,0
battle-gen9randomdoublesbattle-32135,VGC_A_7cd9,19,1
battle-gen9randomdoublesbattle-32136,VGC_B_7cd9,17,0
battle-gen9randomdoublesbattle-32137,VGC_B_7cd9,23,0
battle-gen9randomdoublesbattle-32138,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32139,VGC_B_7cd9,19,0
battle-gen9randomdoublesbattle-32140,VGC_A_7cd9,9,1
battle-gen9randomdoublesbattle-32141,VGC_B_7cd9,13,0
battle-gen9randomdoublesbattle-32142,VGC_A_7cd9,13,1
battle-gen9randomdoublesbattle-32143,VGC_B_7cd9,16,0
battle-gen9randomdoublesbattle-32144,VGC_B_7cd9,15,0
battle-gen9randomdoublesbattle-32145,VGC_B_7cd9,12,0
