battle_id,winner,turns,player_heuristic,opponent_heuristic
battle-gen9randomdoublesbattle-60159,v2,10,v1,v2
battle-gen9randomdoublesbattle-60160,v2,17,v1,v2
battle-gen9randomdoublesbattle-60161,v1,21,v1,v2
battle-gen9randomdoublesbattle-60162,v2,15,v1,v2
battle-gen9randomdoublesbattle-60163,v1,26,v1,v2
battle-gen9randomdoublesbattle-60164,v2,20,v1,v2
battle-gen9randomdoublesbattle-60165,v2,19,v1,v2
battle-gen9randomdoublesbattle-60166,v1,23,v1,v2
battle-gen9randomdoublesbattle-60167,v1,26,v1,v2
battle-gen9randomdoublesbattle-60168,v2,14,v1,v2
battle-gen9randomdoublesbattle-60169,v1,20,v1,v2
battle-gen9randomdoublesbattle-60170,v2,22,v1,v2
battle-gen9randomdoublesbattle-60171,v2,17,v1,v2
battle-gen9randomdoublesbattle-60172,v1,24,v1,v2
battle-gen9randomdoublesbattle-60173,v2,18,v1,v2
battle-gen9randomdoublesbattle-60174,v1,13,v1,v2
battle-gen9randomdoublesbattle-60175,v2,10,v1,v2
battle-gen9randomdoublesbattle-60176,v2,14,v1,v2
battle-gen9randomdoublesbattle-60177,v1,19,v1,v2
battle-gen9randomdoublesbattle-60178,v1,17,v1,v2
battle-gen9randomdoublesbattle-60179,v2,23,v1,v2
battle-gen9randomdoublesbattle-60180,v2,23,v1,v2
battle-gen9randomdoublesbattle-60181,v1,20,v1,v2
battle-gen9randomdoublesbattle-60182,v2,19,v1,v2
battle-gen9randomdoublesbattle-60183,v2,16,v1,v2
battle-gen9randomdoublesbattle-60184,v2,13,v1,v2
battle-gen9randomdoublesbattle-60185,v2,23,v1,v2
battle-gen9randomdoublesbattle-60186,v1,12,v1,v2
battle-gen9randomdoublesbattle-60187,v2,22,v1,v2
battle-gen9randomdoublesbattle-60188,v2,23,v1,v2
battle-gen9randomdoublesbattle-60189,v1,28,v1,v2
battle-gen9randomdoublesbattle-60190,v2,23,v1,v2
battle-gen9randomdoublesbattle-60191,v1,9,v1,v2
battle-gen9randomdoublesbattle-60192,v1,10,v1,v2
battle-gen9randomdoublesbattle-60193,v2,11,v1,v2
battle-gen9randomdoublesbattle-60194,v1,20,v1,v2
battle-gen9randomdoublesbattle-60195,v2,15,v1,v2
battle-gen9randomdoublesbattle-60196,v1,10,v1,v2
battle-gen9randomdoublesbattle-60197,v2,24,v1,v2
battle-gen9randomdoublesbattle-60198,v1,17,v1,v2
battle-gen9randomdoublesbattle-60199,v1,17,v1,v2
battle-gen9randomdoublesbattle-60200,v2,21,v1,v2
battle-gen9randomdoublesbattle-60201,v1,11,v1,v2
battle-gen9randomdoublesbattle-60202,v1,19,v1,v2
battle-gen9randomdoublesbattle-60203,v1,14,v1,v2
battle-gen9randomdoublesbattle-60204,v2,20,v1,v2
battle-gen9randomdoublesbattle-60205,v1,31,v1,v2
battle-gen9randomdoublesbattle-60206,v2,23,v1,v2
battle-gen9randomdoublesbattle-60207,v1,11,v1,v2
battle-gen9randomdoublesbattle-60208,v1,23,v1,v2
battle-gen9randomdoublesbattle-60209,v2,13,v1,v2
battle-gen9randomdoublesbattle-60210,v2,40,v1,v2
battle-gen9randomdoublesbattle-60211,v1,21,v1,v2
battle-gen9randomdoublesbattle-60212,v2,15,v1,v2
battle-gen9randomdoublesbattle-60213,v1,20,v1,v2
battle-gen9randomdoublesbattle-60214,v1,20,v1,v2
battle-gen9randomdoublesbattle-60215,v1,20,v1,v2
battle-gen9randomdoublesbattle-60216,v2,18,v1,v2
battle-gen9randomdoublesbattle-60217,v2,17,v1,v2
battle-gen9randomdoublesbattle-60218,v1,19,v1,v2
battle-gen9randomdoublesbattle-60219,v1,10,v1,v2
battle-gen9randomdoublesbattle-60220,v1,15,v1,v2
battle-gen9randomdoublesbattle-60221,v2,21,v1,v2
battle-gen9randomdoublesbattle-60222,v2,16,v1,v2
battle-gen9randomdoublesbattle-60223,v1,18,v1,v2
battle-gen9randomdoublesbattle-60224,v1,26,v1,v2
battle-gen9randomdoublesbattle-60225,v1,18,v1,v2
battle-gen9randomdoublesbattle-60226,v1,11,v1,v2
battle-gen9randomdoublesbattle-60227,v1,16,v1,v2
battle-gen9randomdoublesbattle-60228,v1,16,v1,v2
battle-gen9randomdoublesbattle-60229,v2,13,v1,v2
battle-gen9randomdoublesbattle-60230,v1,15,v1,v2
battle-gen9randomdoublesbattle-60231,v2,20,v1,v2
battle-gen9randomdoublesbattle-60232,v2,18,v1,v2
battle-gen9randomdoublesbattle-60233,v1,17,v1,v2
battle-gen9randomdoublesbattle-60234,v2,17,v1,v2
battle-gen9randomdoublesbattle-60235,v2,12,v1,v2
battle-gen9randomdoublesbattle-60236,v1,19,v1,v2
battle-gen9randomdoublesbattle-60237,v2,21,v1,v2
battle-gen9randomdoublesbattle-60238,v2,21,v1,v2
battle-gen9randomdoublesbattle-60239,v1,19,v1,v2
battle-gen9randomdoublesbattle-60240,v2,15,v1,v2
battle-gen9randomdoublesbattle-60241,v1,19,v1,v2
