battle_id,winner,turns,won
battle-gen9randombattle-21649,Expert_B_5729,27,0
battle-gen9randombattle-21650,Expert_B_5729,23,0
battle-gen9randombattle-21651,Expert_B_5729,26,0
battle-gen9randombattle-21652,Expert_A_5729,23,1
battle-gen9randombattle-21653,Expert_A_5729,19,1
battle-gen9randombattle-21654,Expert_A_5729,22,1
battle-gen9randombattle-21655,Expert_A_5729,22,1
battle-gen9randombattle-21656,Expert_B_5729,25,0
battle-gen9randombattle-21657,Expert_A_5729,24,1
battle-gen9randombattle-21658,Expert_B_5729,20,0
battle-gen9randombattle-21659,Expert_A_5729,19,1
battle-gen9randombattle-21660,Expert_B_5729,23,0
battle-gen9randombattle-21661,Expert_B_5729,18,0
battle-gen9randombattle-21662,Expert_A_5729,25,1
battle-gen9randombattle-21663,Expert_A_5729,19,1
battle-gen9randombattle-21664,Expert_B_5729,26,0
battle-gen9randombattle-21665,Expert_B_5729,22,0
battle-gen9randombattle-21666,Expert_B_5729,25,0
battle-gen9randombattle-21667,Expert_B_5729,22,0
battle-gen9randombattle-21668,Expert_A_5729,21,1
battle-gen9randombattle-21669,Expert_B_5729,17,0
battle-gen9randombattle-21670,Expert_A_5729,23,1
battle-gen9randombattle-21671,Expert_A_5729,15,1
battle-gen9randombattle-21672,Expert_B_5729,20,0
battle-gen9randombattle-21673,Expert_A_5729,21,1
battle-gen9randombattle-21674,Expert_A_5729,22,1
battle-gen9randombattle-21675,Expert_B_5729,27,0
battle-gen9randombattle-21676,Expert_A_5729,25,1
battle-gen9randombattle-21677,Expert_B_5729,16,0
battle-gen9randombattle-21678,Expert_A_5729,21,1
battle-gen9randombattle-21679,Expert_A_5729,20,1
battle-gen9randombattle-21680,Expert_B_5729,21,0
battle-gen9randombattle-21681,Expert_A_5729,23,1
battle-gen9randombattle-21682,Expert_A_5729,22,1
battle-gen9randombattle-21683,Expert_A_5729,26,1
battle-gen9randombattle-21684,Expert_A_5729,21,1
battle-gen9randombattle-21685,Expert_B_5729,28,0
battle-gen9randombattle-21686,Expert_A_5729,29,1
battle-gen9randombattle-21687,Expert_A_5729,16,1
battle-gen9randombattle-21688,Expert_B_5729,26,0
battle-gen9randombattle-21689,Expert_B_5729,17,0
battle-gen9randombattle-21690,Expert_A_5729,16,1
battle-gen9randombattle-21691,Expert_B_5729,25,0
battle-gen9randombattle-21692,Expert_A_5729,27,1
battle-gen9randombattle-21693,Expert_A_5729,22,1
battle-gen9randombattle-21694,Expert_B_5729,20,0
battle-gen9randombattle-21695,Expert_B_5729,29,0
battle-gen9randombattle-21696,Expert_A_5729,14,1
battle-gen9randombattle-21697,Expert_A_5729,21,1
battle-gen9randombattle-21698,Expert_B_5729,23,0
battle-gen9randombattle-21699,Expert_A_5729,20,1
battle-gen9randombattle-21700,Expert_A_5729,24,1
battle-gen9randombattle-21701,Expert_B_5729,17,0
battle-gen9randombattle-21702,Expert_A_5729,16,1
battle-gen9randombattle-21703,Expert_A_5729,17,1
battle-gen9randombattle-21704,Expert_A_5729,25,1
battle-gen9randombattle-21705,Expert_B_5729,20,0
battle-gen9randombattle-21706,Expert_B_5729,17,0
battle-gen9randombattle-21707,Expert_B_5729,25,0
battle-gen9randombattle-21708,Expert_B_5729,24,0
battle-gen9randombattle-21709,Expert_B_5729,24,0
battle-gen9randombattle-21710,Expert_B_5729,28,0
battle-gen9randombattle-21711,Expert_B_5729,16,0
battle-gen9randombattle-21712,Expert_A_5729,25,1
battle-gen9randombattle-21713,Expert_B_5729,15,0
battle-gen9randombattle-21714,Expert_B_5729,21,0
battle-gen9randombattle-21715,Expert_A_5729,16,1
battle-gen9randombattle-21716,Expert_B_5729,17,0
battle-gen9randombattle-21717,Expert_A_5729,17,1
battle-gen9randombattle-21718,Expert_B_5729,19,0
battle-gen9randombattle-21719,Expert_B_5729,22,0
battle-gen9randombattle-21720,Expert_A_5729,14,1
battle-gen9randombattle-21721,Expert_B_5729,18,0
battle-gen9randombattle-21722,Expert_A_5729,18,1
battle-gen9randombattle-21723,Expert_B_5729,18,0
battle-gen9randombattle-21724,Expert_A_5729,31,1
battle-gen9randombattle-21725,Expert_A_5729,22,1
battle-gen9randombattle-21726,Expert_A_5729,27,1
battle-gen9randombattle-21727,Expert_A_5729,22,1
battle-gen9randombattle-21728,Expert_A_5729,39,1
battle-gen9randombattle-21729,Expert_A_5729,21,1
battle-gen9randombattle-21730,Expert_A_5729,14,1
battle-gen9randombattle-21731,Expert_A_5729,20,1
battle-gen9randombattle-21732,Expert_A_5729,19,1
battle-gen9randombattle-21733,Expert_A_5729,30,1
battle-gen9randombattle-21734,Expert_A_5729,14,1
battle-gen9randombattle-21735,Expert_B_5729,25,0
battle-gen9randombattle-21736,Expert_A_5729,25,1
battle-gen9randombattle-21737,Expert_A_5729,22,1
battle-gen9randombattle-21738,Expert_B_5729,16,0
