battle_id,winner,turns,won
battle-gen9randombattle-11233,Smart_41ab,21,1
battle-gen9randombattle-11234,Rand_41ab,18,0
battle-gen9randombattle-11235,Smart_41ab,23,1
battle-gen9randombattle-11236,Rand_41ab,26,0
battle-gen9randombattle-11237,Rand_41ab,15,0
battle-gen9randombattle-11238,Smart_41ab,20,1
battle-gen9randombattle-11239,Rand_41ab,15,0
battle-gen9randombattle-11240,Smart_41ab,15,1
battle-gen9randombattle-11241,Smart_41ab,20,1
battle-gen9randombattle-11242,Smart_41ab,17,1
battle-gen9randombattle-11243,Smart_41ab,18,1
battle-gen9randombattle-11244,Smart_41ab,20,1
battle-gen9randombattle-11245,Smart_41ab,24,1
battle-gen9randombattle-11246,Smart_41ab,22,1
battle-gen9randombattle-11247,Rand_41ab,26,0
battle-gen9randombattle-11248,Smart_41ab,16,1
battle-gen9randombattle-11249,Smart_41ab,15,1
battle-gen9randombattle-11250,Smart_41ab,15,1
battle-gen9randombattle-11251,Smart_41ab,15,1
battle-gen9randombattle-11252,Smart_41ab,17,1
battle-gen9randombattle-11253,Rand_41ab,14,0
battle-gen9randombattle-11254,Smart_41ab,15,1
battle-gen9randombattle-11255,Rand_41ab,16,0
battle-gen9randombattle-11256,Smart_41ab,17,1
battle-gen9randombattle-11257,Smart_41ab,16,1
battle-gen9randombattle-11258,Rand_41ab,21,0
battle-gen9randombattle-11259,Rand_41ab,16,0
battle-gen9randombattle-11260,Rand_41ab,13,0
battle-gen9randombattle-11261,Rand_41ab,16,0
battle-gen9randombattle-11262,Smart_41ab,23,1
battle-gen9randombattle-11263,Smart_41ab,9,1
battle-gen9randombattle-11264,Smart_41ab,24,1
battle-gen9randombattle-11265,Rand_41ab,24,0
battle-gen9randombattle-11266,Rand_41ab,21,0
battle-gen9randombattle-11267,Smart_41ab,19,1
battle-gen9randombattle-11268,Rand_41ab,11,0
battle-gen9randombattle-11269,Smart_41ab,24,1
battle-gen9randombattle-11270,Smart_41ab,14,1
battle-gen9randombattle-11271,Smart_41ab,11,1
battle-gen9randombattle-11272,Rand_41ab,15,0
battle-gen9randombattle-11273,Smart_41ab,13,1
battle-gen9randombattle-11274,Rand_41ab,23,0
battle-gen9randombattle-11275,Rand_41ab,21,0
battle-gen9randombattle-11276,Rand_41ab,15,0
battle-gen9randombattle-11277,Rand_41ab,16,0
battle-gen9randombattle-11278,Smart_41ab,20,1
battle-gen9randombattle-11279,Smart_41ab,41,1
battle-gen9randombattle-11280,Smart_41ab,17,1
battle-gen9randombattle-11281,Rand_41ab,15,0
battle-gen9randombattle-11282,Rand_41ab,15,0
battle-gen9randombattle-11283,Smart_41ab,16,1
battle-gen9randombattle-11284,Smart_41ab,12,1
battle-gen9randombattle-11285,Smart_41ab,20,1
battle-gen9randombattle-11286,Rand_41ab,20,0
battle-gen9randombattle-11287,Smart_41ab,16,1
battle-gen9randombattle-11288,Rand_41ab,20,0
battle-gen9randombattle-11289,Rand_41ab,13,0
battle-gen9randombattle-11290,Rand_41ab,12,0
battle-gen9randombattle-11291,Rand_41ab,26,0
battle-gen9randombattle-11292,Smart_41ab,28,1
battle-gen9randombattle-11293,Smart_41ab,17,1
battle-gen9randombattle-11294,Rand_41ab,19,0
battle-gen9randombattle-11295,Smart_41ab,13,1
battle-gen9randombattle-11296,Smart_41ab,18,1
battle-gen9randombattle-11297,Smart_41ab,16,1
battle-gen9randombattle-11298,Rand_41ab,14,0
battle-gen9randombattle-11299,Smart_41ab,14,1
battle-gen9randombattle-11300,Smart_41ab,13,1
battle-gen9randombattle-11301,Rand_41ab,14,0
battle-gen9randombattle-11302,Rand_41ab,19,0
battle-gen9randombattle-11303,Rand_41ab,21,0
battle-gen9randombattle-11304,Smart_41ab,21,1
battle-gen9randombattle-11305,Rand_41ab,19,0
battle-gen9randombattle-11306,Rand_41ab,12,0
battle-gen9randombattle-11307,Rand_41ab,16,0
battle-gen9randombattle-11308,Smart_41ab,17,1
battle-gen9randombattle-11309,Rand_41ab,22,0
battle-gen9randombattle-11310,Smart_41ab,16,1
battle-gen9randombattle-11311,Rand_41ab,17,0
battle-gen9randombattle-11312,Rand_41ab,11,0
battle-gen9randombattle-11313,Rand_41ab,17,0
battle-gen9randombattle-11314,Rand_41ab,18,0
battle-gen9randombattle-11315,Smart_41ab,19,1
battle-gen9randombattle-11316,Smart_41ab,15,1
battle-gen9randombattle-11317,Rand_41ab,16,0
battle-gen9randombattle-11318,Rand_41ab,11,0
battle-gen9randombattle-11319,Rand_41ab,18,0
battle-gen9randombattle-11320,Smart_41ab,9,1
battle-gen9randombattle-11321,Rand_41ab,15,0
battle-gen9randombattle-11322,Smart_41ab,14,1
battle-gen9randombattle-11323,Smart_41ab,11,1
battle-gen9randombattle-11324,Rand_41ab,15,0
battle-gen9randombattle-11325,Rand_41ab,13,0
battle-gen9randombattle-11326,Smart_41ab,13,1
battle-gen9randombattle-11327,Rand_41ab,16,0
battle-gen9randombattle-11328,Rand_41ab,21,0
battle-gen9randombattle-11329,Rand_41ab,20,0
battle-gen9randombattle-11330,Rand_41ab,21,0
battle-gen9randombattle-11331,Smart_41ab,20,1
battle-gen9randombattle-11332,Rand_41ab,13,0
battle-gen9randombattle-11333,Rand_41ab,28,0
battle-gen9randombattle-11334,Smart_41ab,16,1
battle-gen9randombattle-11335,Rand_41ab,13,0
battle-gen9randombattle-11336,Rand_41ab,16,0
battle-gen9randombattle-11337,Smart_41ab,17,1
battle-gen9randombattle-11338,Rand_41ab,15,0
