battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randomdoublesbattle-94659,V1_B_6b50,15,0,kilowattrel|necrozmadawnwings|slowkinggalar|torkoal|virizion|weavile,feraligatr|flapple|flareon|inteleon|kricketune|munkidori,6,5,
battle-gen9randomdoublesbattle-94660,V1_A_6b50,11,1,blaziken|decidueye|flamigo|irontreads|meowstic|overqwil,eiscue|flamigo|illumise|lilliganthisui|munkidori|skeledirge,4,6,
battle-gen9randomdoublesbattle-94661,V1_B_6b50,16,0,bastiodon|clefable|hitmontop|mabosstiff|meowstic|rabsca,comfey|dachsbun|ironmoth|overqwil|phione|spiritomb,6,1,
battle-gen9randomdoublesbattle-94662,V1_B_6b50,13,0,hitmonchan|ironvaliant|rhydon|shiftry|squawkabillyyellow|tentacruel,latios|mismagius|primarina|scovillain|scrafty|terrakion,6,2,
battle-gen9randomdoublesbattle-94663,V1_B_6b50,18,0,brutebonnet|chesnaught|grafaiai|mew|smeargle|weezinggalar,arbok|dipplin|feraligatr|glastrier|munkidori|poliwrath,6,0,
battle-gen9randomdoublesbattle-94664,V1_A_6b50,9,1,oricoriosensu|phione|scizor|solgaleo|sunflora|zekrom,magcargo|miraidon|okidogi|sawsbucksummer|vaporeon|venusaur,2,6,
battle-gen9randomdoublesbattle-94665,V1_B_6b50,15,0,duraludon|kingambit|meloetta|palossand|porygonz|rabsca,heatran|kleavor|landorus|primarina|slowbrogalar|toxicroak,6,3,
battle-gen9randomdoublesbattle-94666,V1_B_6b50,18,0,arcanine|conkeldurr|gothitelle|hippowdon|hitmonchan|lumineon,arbok|groudon|meloetta|palossand|pyroar|tropius,6,4,
battle-gen9randomdoublesbattle-94667,V1_B_6b50,18,0,baxcalibur|eternatus|excadrill|oranguru|skarmory|sunflora,flygon|ironbundle|milotic|rhyperior|roaringmoon|uxie,6,5,
battle-gen9randomdoublesbattle-94668,V1_B_6b50,14,0,ampharos|dachsbun|ironleaves|meowstic|perrserker|tinkaton,hitmonchan|jolteon|metagross|muk|polteageistantique|spectrier,6,5,
battle-gen9randomdoublesbattle-94669,V1_A_6b50,11,1,delphox|gengar|gogoat|groudon|honchkrow|whiscash,braviaryhisui|crabominable|dedenne|magmar|rampardos|scovillain,3,6,
battle-gen9randomdoublesbattle-94670,V1_B_6b50,39,0,braviaryhisui|hydrapple|kommoo|lanturn|minun|screamtail,comfey|frosmoth|kommoo|perrserker|registeel|salamence,6,4,
battle-gen9randomdoublesbattle-94671,V1_A_6b50,16,1,frosmoth|giratinaorigin|grimmsnarl|grumpig|mudsdale|victreebel,comfey|deoxysattack|krookodile|mudsdale|spiritomb|suicune,3,6,
battle-gen9randomdoublesbattle-94672,V1_B_6b50,12,0,alcremielemoncream|frosmoth|gumshoos|heatran|heracross|skarmory,amoonguss|cinderace|clefable|giratina|hawlucha|slaking,6,1,
battle-gen9randomdoublesbattle-94673,V1_A_6b50,13,1,ampharos|beartic|glaceon|haxorus|polteageist|rhyperior,arceusfairy|kricketune|kyuremwhite|masquerain|polteageist|rillaboom,1,6,
battle-gen9randomdoublesbattle-94674,V1_A_6b50,14,1,dondozo|houndoom|spidops|sudowoodo|vigoroth|volcanion,drednaw|falinks|kyogre|magmortar|persianalola|scrafty,1,6,
battle-gen9randomdoublesbattle-94675,V1_A_6b50,12,1,appletun|bellossom|chandelure|florgeswhite|kommoo|porygonz,chesnaught|coalossal|irontreads|mismagius|murkrow|trevenant,3,6,
battle-gen9randomdoublesbattle-94676,V1_A_6b50,14,1,ambipom|basculegion|chiyu|delphox|dewgong|fluttermane,dusknoir|hitmonchan|jumpluff|mew|okidogi|whiscash,4,6,
battle-gen9randomdoublesbattle-94677,V1_B_6b50,17,0,copperajah|honchkrow|kilowattrel|lurantis|toxicroak|wugtrio,appletun|banette|ceruledge|hatterene|lilligant|toxapex,6,4,
battle-gen9randomdoublesbattle-94678,V1_B_6b50,9,0,basculegion|kingdra|mamoswine|meloetta|mismagius|pikachualola,bombirdier|cramorant|exeggutoralola|fluttermane|greninja|ironthorns,6,3,
battle-gen9randomdoublesbattle-94679,V1_A_6b50,25,1,arbok|comfey|golem|grumpig|latios|magearnaoriginal,chienpao|crabominable|gougingfire|ragingbolt|snorlax|uxie,4,6,
battle-gen9randomdoublesbattle-94680,V1_B_6b50,14,0,basculegion|espathra|gliscor|minun|palafinhero|virizion,basculegionf|dachsbun|espathra|meowscarada|ribombee|uxie,6,1,
battle-gen9randomdoublesbattle-94681,V1_A_6b50,18,1,ambipom|azumarill|flygon|gothitelle|magearnaoriginal|terapagosterastal,arboliva|electabuzz|fezandipiti|masquerain|sandslashalola|wyrdeer,4,6,
battle-gen9randomdoublesbattle-94682,V1_A_6b50,12,1,araquanid|bellossom|blastoise|farigiraf|fluttermane|rhyperior,barraskewda|frosmoth|jolteon|ogerponwellspring|salazzle|terrakion,3,6,
battle-gen9randomdoublesbattle-94683,V1_A_6b50,17,1,copperajah|giratinaorigin|jirachi|magmortar|milotic|vigoroth,azelf|azumarill|ironjugulis|mesprit|sandslash|tentacruel,3,6,
battle-gen9randomdoublesbattle-94684,V1_B_6b50,15,0,annihilape|archaludon|gougingfire|heracross|scovillain|slowbro,cetitan|gallade|haxorus|kyogre|pikachuoriginal|shaymin,6,5,
battle-gen9randomdoublesbattle-94685,V1_B_6b50,16,0,ironbundle|meganium|miraidon|oinkolognef|overqwil|vikavolt,dusknoir|entei|malamar|tentacruel|tyranitar,6,2,
battle-gen9randomdoublesbattle-94686,V1_A_6b50,12,1,amoonguss|ampharos|ariados|grimmsnarl|inteleon|skeledirge,chienpao|ironcrown|stonjourner|swampert|vikavolt|weezinggalar,5,6,
battle-gen9randomdoublesbattle-94687,V1_A_6b50,12,1,decidueye|forretress|gardevoir|mausholdfour|polteageistantique|regidrago,arboliva|dedenne|eelektross|honchkrow|hydrapple|lycanroc,4,6,
battle-gen9randomdoublesbattle-94688,V1_B_6b50,21,0,chiyu|gothitelle|inteleon|regidrago|rhydon|salazzle,clodsire|diancie|hydrapple|scyther|spiritomb|walkingwake,6,4,
battle-gen9randomdoublesbattle-94689,V1_A_6b50,13,1,clawitzer|lucario|mamoswine|quagsire|whimsicott|zapdosgalar,cetitan|clefable|jirachi|lumineon|porygonz|probopass,3,6,
battle-gen9randomdoublesbattle-94690,V1_B_6b50,19,0,appletun|braviaryhisui|mesprit|regigigas|sandyshocks|scizor,clodsire|dragonite|lycanrocmidnight|mew|slowbro|spiritomb,6,4,
battle-gen9randomdoublesbattle-94691,V1_B_6b50,21,0,houndoom|koraidon|latias|ludicolo|mightyena|trevenant,bruxish|heatran|spiritomb|veluza|vespiquen|volbeat,6,5,
battle-gen9randomdoublesbattle-94692,V1_A_6b50,22,1,charizard|meganium|minun|swalot|whimsicott|wugtrio,komala|leafeon|quagsire|swanna|taurospaldeacombat|zarudedada,5,6,
battle-gen9randomdoublesbattle-94693,V1_B_6b50,18,0,archaludon|articunogalar|darkrai|muk|toucannon|tyranitar,cryogonal|dachsbun|glastrier|gliscor|hypno|medicham,6,4,
battle-gen9randomdoublesbattle-94694,V1_B_6b50,14,0,banette|clodsire|donphan|houndstone|rotomwash|whimsicott,chimecho|gumshoos|mabosstiff|magnezone|regieleki|taurospaldeaaqua,6,2,
battle-gen9randomdoublesbattle-94695,V1_A_6b50,14,1,gardevoir|latios|milotic|noctowl|polteageist|torkoal,bruxish|diancie|dipplin|luxray|primarina|roaringmoon,3,6,
battle-gen9randomdoublesbattle-94696,V1_B_6b50,17,0,araquanid|cinderace|dudunsparcethreesegment|ludicolo|pecharunt|volcarona,dodrio|drednaw|sableye|walkingwake|wyrdeer|zoroark,6,5,
battle-gen9randomdoublesbattle-94697,V1_A_6b50,22,1,arbok|electabuzz|forretress|hydreigon|tropius|tyranitar,fezandipiti|illumise|palossand|sinistchamasterpiece|vespiquen|weezinggalar,5,6,
battle-gen9randomdoublesbattle-94698,V1_B_6b50,10,0,enamorus|eternatus|galvantula|primarina|walkingwake|wyrdeer,drednaw|glaceon|polteageist|revavroom|wyrdeer|zarude,6,4,
battle-gen9randomdoublesbattle-94699,V1_A_6b50,35,1,bastiodon|lilligant|registeel|sinistcha|uxie|zekrom,arbok|glastrier|lurantis|regigigas|shayminsky|toxapex,5,6,
battle-gen9randomdoublesbattle-94700,V1_B_6b50,13,0,archaludon|ditto|dragonite|fluttermane|screamtail|yanmega,banette|baxcalibur|conkeldurr|eternatus|palafin,6,2,
battle-gen9randomdoublesbattle-94701,V1_A_6b50,20,1,clefable|gothitelle|klefki|komala|plusle|regieleki,diancie|falinks|ironhands|kricketune|regirock|scovillain,5,6,
battle-gen9randomdoublesbattle-94702,V1_A_6b50,28,1,alcremie|bronzong|cyclizar|farigiraf|masquerain|rotomheat,blaziken|feraligatr|gliscor|kyogre|lycanroc|seviper,5,6,
battle-gen9randomdoublesbattle-94703,V1_A_6b50,18,1,enamorus|indeedeef|infernape|minun|quagsire|regigigas,barraskewda|cacturne|entei|florgesyellow|quaquaval|talonflame,5,6,
battle-gen9randomdoublesbattle-94704,V1_B_6b50,22,0,flareon|ironhands|necrozma|sandaconda|spidops|wochien,chimecho|garchomp|grimmsnarl|scovillain|suicune|vikavolt,6,3,
battle-gen9randomdoublesbattle-94705,V1_A_6b50,18,1,articuno|clefairy|duraludon|kingdra|oricoriopau|trevenant,goodrahisui|gougingfire|honchkrow|skarmory|volbeat|whimsicott,2,6,
battle-gen9randomdoublesbattle-94706,V1_B_6b50,18,0,calyrexshadow|deoxysspeed|pelipper|sceptile|scyther|suicune,entei|eternatus|hoopaunbound|luxray|ogerponwellspring|poliwrath,6,4,
battle-gen9randomdoublesbattle-94707,V1_B_6b50,15,0,copperajah|cyclizar|duraludon|emboar|ironvaliant|vileplume,crabominable|incineroar|ironvaliant|muk|primarina|skeledirge,6,4,
battle-gen9randomdoublesbattle-94708,V1_A_6b50,13,1,appletun|hitmontop|lapras|pelipper|shiftry|wyrdeer,ariados|corviknight|cramorant|darkrai|floatzel|raichu,4,6,
battle-gen9randomdoublesbattle-94709,V1_A_6b50,8,1,diancie|mamoswine|oricoriosensu|perrserker|raikou|staraptor,bruxish|dusknoir|eelektross|gengar|noctowl|venomoth,2,6,
battle-gen9randomdoublesbattle-94710,V1_A_6b50,15,1,calyrex|cloyster|gallade|gougingfire|haxorus|skeledirge,arboliva|ariados|banette|granbull|ironhands|seviper,3,6,
battle-gen9randomdoublesbattle-94711,V1_A_6b50,22,1,brambleghast|dragalge|golduck|hitmontop|hydrapple|magearnaoriginal,electrodehisui|greedent|hitmonlee|infernape|irontreads|perrserker,2,6,
battle-gen9randomdoublesbattle-94712,V1_A_6b50,21,1,blissey|conkeldurr|illumise|ogerponcornerstone|ribombee|swalot,bruxish|furret|mew|minun|pachirisu|umbreon,2,6,
battle-gen9randomdoublesbattle-94713,V1_A_6b50,20,1,banette|blastoise|garganacl|kingdra|lilligant|necrozma,brambleghast|coalossal|deoxysspeed|heracross|kyurem|toedscruel,5,6,
battle-gen9randomdoublesbattle-94714,V1_A_6b50,15,1,azumarill|bombirdier|crawdaunt|entei|ironcrown|reshiram,clawitzer|magnezone|necrozmaduskmane|regice|swampert|sylveon,3,6,
battle-gen9randomdoublesbattle-94715,V1_A_6b50,24,1,cobalion|ironcrown|persianalola|reshiram|terapagosterastal|urshifurapidstrike,golurk|hydreigon|hypno|jumpluff|necrozma|overqwil,5,6,
battle-gen9randomdoublesbattle-94716,V1_B_6b50,18,0,cramorant|emboar|furret|golurk|illumise|minior,bellibolt|inteleon|lycanroc|mamoswine|meganium|rotommow,6,4,
battle-gen9randomdoublesbattle-94717,V1_A_6b50,16,1,arboliva|ariados|calyrexice|conkeldurr|grumpig|hippowdon,arceusfighting|conkeldurr|delphox|ribombee|sandslash|vikavolt,4,6,
battle-gen9randomdoublesbattle-94718,V1_B_6b50,16,0,arbok|bruxish|crabominable|kingambit|mesprit|slitherwing,bellibolt|farigiraf|lanturn|oricoriopau|tropius|weezing,6,3,
battle-gen9randomdoublesbattle-94719,V1_B_6b50,13,0,golurk|grumpig|ogerponwellspring|oricorio|porygon2|raichualola,armarouge|empoleon|granbull|grimmsnarl|landorus|spidops,6,2,
battle-gen9randomdoublesbattle-94720,V1_A_6b50,15,1,bellibolt|donphan|gothitelle|illumise|kilowattrel|toucannon,chienpao|forretress|gyarados|magmortar|slowking|terapagos,2,6,
