battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randomdoublesbattle-90159,V1_B_a87e,21,0,ariados|farigiraf|gengar|irontreads|krookodile|lycanroc,avalugg|clodsire|ironbundle|ironmoth|luxray|tatsugiri,6,5,
battle-gen9randomdoublesbattle-90160,V1_B_a87e,13,0,alcremiemintcream|copperajah|deoxys|gallade|leafeon|sudowoodo,ambipom|dewgong|ironleaves|meowstic|okidogi|taurospaldeablaze,6,3,
battle-gen9randomdoublesbattle-90161,V1_A_a87e,23,1,azelf|coalossal|dusknoir|golduck|murkrow|porygon2,blissey|cetitan|dragonite|galvantula|skuntank|tsareena,5,6,
battle-gen9randomdoublesbattle-90162,V1_B_a87e,22,0,electabuzz|grumpig|houndstone|mimikyubusted|noctowl|oinkologne,granbull|irontreads|kingdra|manaphy|swalot|tyranitar,6,1,
battle-gen9randomdoublesbattle-90163,V1_B_a87e,12,0,ironboulder|kleavor|lilliganthisui|seviper|spidops|thundurustherian,cinccino|flamigo|ironvaliant|moltresgalar|sceptile|wugtrio,6,1,
battle-gen9randomdoublesbattle-90164,V1_B_a87e,16,0,ampharos|dachsbun|empoleon|leavanny|toxtricitylowkey|tropius,lanturn|mandibuzz|meowscarada|mesprit|sudowoodo|virizion,6,3,
battle-gen9randomdoublesbattle-90165,V1_A_a87e,14,1,carbink|fluttermane|pecharunt|vaporeon|volcarona|wugtrio,flareon|krookodile|revavroom|scrafty|taurospaldeaaqua|torterra,4,6,
battle-gen9randomdoublesbattle-90166,V1_B_a87e,16,0,alcremielemoncream|basculegion|cinderace|cryogonal|drednaw|porygonz,altaria|brambleghast|bruxish|mukalola|pikachuoriginal|tornadus,6,3,
battle-gen9randomdoublesbattle-90167,V1_A_a87e,19,1,corviknight|granbull|regigigas|roaringmoon|uxie|weavile,espathra|floatzel|golemalola|grimmsnarl|noctowl|scizor,3,6,
battle-gen9randomdoublesbattle-90168,V1_A_a87e,28,1,arceusgrass|chandelure|enamorustherian|samurotthisui|scyther|swalot,camerupt|kingdra|mamoswine|necrozma|rotommow|sableye,4,6,
battle-gen9randomdoublesbattle-90169,V1_A_a87e,16,1,arceusdragon|cetitan|cobalion|duraludon|falinks|murkrow,bastiodon|clefable|pyroar|regidrago|stonjourner|toucannon,6,6,
battle-gen9randomdoublesbattle-90170,V1_B_a87e,13,0,archaludon|dragonite|dusknoir|hitmonlee|quaquaval|rotommow,arceusdragon|infernape|ironleaves|skeledirge|tatsugiri|thundurus,6,2,
battle-gen9randomdoublesbattle-90171,V1_A_a87e,11,1,dragapult|dragonite|furret|grumpig|hoopa|pyroar,annihilape|basculegion|bastiodon|gallade|reshiram|roaringmoon,2,6,
battle-gen9randomdoublesbattle-90172,V1_B_a87e,14,0,abomasnow|crabominable|mudsdale|noivern|scyther|weezinggalar,ditto|glalie|medicham|solgaleo|vikavolt,6,2,
battle-gen9randomdoublesbattle-90173,V1_B_a87e,16,0,entei|golduck|leavanny|mamoswine|regieleki|volcanion,kricketune|leavanny|mew|oranguru|thundurustherian|toxicroak,6,4,
battle-gen9randomdoublesbattle-90174,V1_A_a87e,12,1,dachsbun|emboar|manaphy|meowscarada|mienshao|perrserker,darkrai|drifblim|furret|pawmot|poliwrath|wugtrio,2,6,
battle-gen9randomdoublesbattle-90175,V1_B_a87e,20,0,banette|mienshao|mightyena|sableye|vaporeon|volcarona,bastiodon|kleavor|luxray|meganium|registeel|sceptile,6,5,
battle-gen9randomdoublesbattle-90176,V1_A_a87e,17,1,cryogonal|dodrio|flapple|flareon|hippowdon|ironcrown,armarouge|beartic|grafaiai|mandibuzz|spiritomb|zaciancrowned,4,6,
battle-gen9randomdoublesbattle-90177,V1_B_a87e,12,0,arceuselectric|basculegionf|cobalion|ditto|greninja|metagross,chienpao|chimecho|gholdengo|indeedee|mandibuzz|porygon2,6,2,
