battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randombattle-80159,V4_B_4eb9,34,0,blastoise|duraludon|gholdengo|klawf|mudsdale|rabsca,ariados|cresselia|hydrapple|infernape|overqwil,6,4,dracometeor|earthpower|earthquake|highhorsepower|hydropump|makeitrain|psychic
battle-gen9randombattle-80160,V4_A_4eb9,20,1,golduck|grafaiai|hypno|tinkaton|vivillonriver|wugtrio,cobalion|gholdengo|hoopaunbound|porygonz|sylveon|yanmega,5,6,gigatonhammer|gunkshot|hurricane|hydropump|knockoff|playrough|psychicnoise|throatchop
battle-gen9randombattle-80161,V4_B_4eb9,16,0,bisharp|flareon|golduck|sceptile|yanmega|zangoose,alomomola|braviaryhisui|carbink|dipplin|oricoriopau|rampardos,6,5,bugbuzz|closecombat|flareblitz|hydropump|icebeam|ironhead|leafstorm|throatchop|trailblaze
battle-gen9randombattle-80162,V4_A_4eb9,18,1,charizard|cryogonal|dialgaorigin|golurk|piloswine|zebstrika,comfey|empoleon|gholdengo|jumpluff|palkiaorigin|regice,4,6,dracometeor|earthquake|freezedry|iciclecrash|overheat|poltergeist|supercellslam
battle-gen9randombattle-80163,V4_B_4eb9,16,0,azumarill|electivire|gougingfire|palkia|spiritomb|toucannon,ambipom|kyuremblack|latias|leavanny|terapagos,6,4,beakblast|boomburst|foulplay|hydropump|icepunch|outrage|playrough|poltergeist|spacialrend|supercellslam
battle-gen9randombattle-80164,V4_B_4eb9,17,0,clodsire|hitmonlee|morpeko|raikou|slowbro|taurospaldeaaqua,entei|espeon|flareon|kricketune|persian|regidrago,6,5,aurawheel|closecombat|futuresight|gunkshot|liquidation|scald
battle-gen9randombattle-80165,V4_B_4eb9,21,0,cetitan|dudunsparce|heracross|tatsugiri|torkoal|toucannon,araquanid|fluttermane|girafarig|glaceon|kingdra,6,4,beakblast|boomburst|dracometeor|earthquake|headbutt|icespinner|knockoff
battle-gen9randombattle-80166,V4_A_4eb9,18,1,alomomola|cloyster|decidueyehisui|ironhands|sableye|skeledirge,annihilape|grafaiai|lycanrocdusk|slowkinggalar|volcarona|zangoose,4,6,drainpunch|drillrun|flipturn|hex|knockoff|torchsong|wildcharge
battle-gen9randombattle-80167,V4_B_4eb9,16,0,appletun|drifblim|gholdengo|haxorus|quagsire|uxie,cacturne|chienpao|inteleon|kingdra|munkidori|pikachupartner,6,5,airslash|dracometeor|earthquake|focusblast|icebeam|knockoff|outrage|shadowball
battle-gen9randombattle-80168,V4_A_4eb9,16,1,emboar|honchkrow|keldeoresolute|kingdra|lurantis|toxtricity,banette|crawdaunt|regigigas|sandaconda|volbeat|walkingwake,5,6,bravebird|closecombat|flareblitz|hydropump|leafstorm|outrage|overdrive
battle-gen9randombattle-80169,V4_A_4eb9,19,1,annihilape|cloyster|conkeldurr|morpeko|sandyshocks|yanmega,altaria|cacturne|charizard|ironthorns|scizor|typhlosion,4,6,airslash|aurawheel|closecombat|drainpunch|hydropump
