battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randombattle-70159,Expert_B_ac6f,34,0,crabominable|diancie|palossand|staraptor|vespiquen|whiscash,azumarill|chansey|florges|indeedee|torterra|vespiquen,6,5,airslash|closecombat|diamondstorm|drainingkiss|earthpower|icehammer|shadowball|stoneedge|uturn
battle-gen9randombattle-70160,Expert_B_ac6f,18,0,lapras|ogerponhearthflame|oranguru|screamtail|scyther|shiftry,goodra|gurdurr|ironboulder|jumpluff|skarmory,6,4,knockoff|leafblade|playrough|psyshock|suckerpunch|uturn|waterfall
battle-gen9randombattle-70161,Expert_B_ac6f,30,0,dachsbun|glimmora|houndoom|meloetta|pelipper|primarina,cryogonal|lumineon|lunala|meloetta|piloswine|sunflora,6,5,earthpower|playrough|powergem|psyshock|sparklingaria|suckerpunch|weatherball
battle-gen9randombattle-70162,Expert_B_ac6f,25,0,chienpao|dudunsparce|palafinhero|scovillain|shaymin|staraptor,beartic|furret|goodra|okidogi|victreebel,6,4,airslash|boomburst|flamethrower|iceshard|jetpunch|quickattack|seedflare
battle-gen9randombattle-70163,Expert_A_ac6f,31,1,hydrapple|mightyena|raikou|regirock|shaymin|volcanion,ceruledge|dipplin|drednaw|masquerain|pikachupartner|polteageist,4,6,airslash|crunch|flamethrower|seedflare|stoneedge|suckerpunch|thunderbolt
battle-gen9randombattle-70164,Expert_B_ac6f,34,0,breloom|cetitan|dragapult|granbull|haxorus|orthworm,chesnaught|ditto|dusknoir|hydreigon|lokix|oricoriopau,6,5,bodypress|closecombat|earthquake|fireblast|iceshard|ironhead|liquidation|machpunch|stealthrock|terablast
battle-gen9randombattle-70165,Expert_A_ac6f,22,1,cobalion|greattusk|meowsticf|piloswine|salazzle|shiftry,ceruledge|dragapult|feraligatr|klawf|scovillain|zapdos,5,6,closecombat|darkpulse|earthquake|flamethrower|headlongrush|iciclecrash|ironhead|suckerpunch
battle-gen9randombattle-70166,Expert_A_ac6f,14,1,bombirdier|cacturne|golem|lanturn|slitherwing|sylveon,floatzel|grafaiai|medicham|persianalola|regidrago|rotomwash,3,6,earthquake|hypervoice|scald|suckerpunch|uturn
battle-gen9randombattle-70167,Expert_A_ac6f,37,1,dusknoir|garganacl|gliscor|koraidon|lunala|magmortar,arbok|bronzong|flygon|golurk|ironvaliant|klefki,3,6,earthquake|fireblast|focusblast|poltergeist|scaleshot|toxic
battle-gen9randombattle-70168,Expert_A_ac6f,22,1,baxcalibur|comfey|copperajah|okidogi|oricoriopompom|vivillonelegant,gougingfire|gumshoos|heracross|irontreads|magmortar|veluza,4,6,drainingkiss|gigadrain|glaiverush|hurricane|stoneedge
battle-gen9randombattle-70169,Expert_B_ac6f,29,0,chansey|dewgong|froslass|mandibuzz|overqwil|zamazenta,ariados|azumarill|banette|dachsbun|pawmot|reshiram,6,5,crunch|foulplay|poltergeist|seismictoss|surf|tripleaxel
battle-gen9randombattle-70170,Expert_B_ac6f,22,0,glastrier|groudon|hoopaunbound|munkidori|sinistchamasterpiece|spidops,azumarill|bruxish|darkrai|masquerain|perrserker|solgaleo,6,4,closecombat|drainpunch|focusblast|knockoff|matchagotcha|precipiceblades|shadowball
