battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randombattle-5604,v1,random,v1Ad73f2ab1p8000,1,33,dunsparce|glimmora|keldeoresolute|screamtail|victreebel|volcarona,arceus|breloom|fezandipiti|glalie|hydrapple|scrafty,2,4,3.623,6,0,0.0
battle-gen9randombattle-5605,v1,random,v1Ad73f2ab1p8000,1,28,camerupt|copperajah|giratina|regice|sceptile|thundurus,chimecho|coalossal|greninja|grimmsnarl|leavanny|rayquaza,3,3,2.352,6,0,0.0
battle-gen9randombattle-5606,v1,random,v1Ad73f2ab1p8000,1,43,bruxish|duraludon|fluttermane|ironhands|meowsticf|roaringmoon,arceusground|brambleghast|hypno|sneasler|torkoal|volcarona,3,3,2.324,6,0,0.0
battle-gen9randombattle-5607,v1,random,v1Ad73f2ab1p8000,1,105,bombirdier|jumpluff|lokix|lunala|luxray|misdreavus,bisharp|blastoise|bombirdier|chansey|donphan|hitmonchan,1,5,4.876,6,0,0.0
battle-gen9randombattle-5608,v1,random,v1Ad73f2ab1p8000,1,29,deoxys|qwilfish|regirock|spidops|urshifu|zaciancrowned,deoxysdefense|entei|fluttermane|gliscor|mamoswine|perrserker,3,3,2.781,6,0,0.0
battle-gen9randombattle-5609,v1,random,v1Ad73f2ab1p8000,1,32,chimecho|cobalion|greninja|luvdisc|mamoswine|volbeat,cyclizar|delphox|granbull|poliwrath|spiritomb|tauros,2,4,3.679,6,0,0.0
battle-gen9randombattle-5610,v1,random,v1Ad73f2ab1p8000,1,23,jirachi|masquerain|raikou|roaringmoon|vikavolt|volcanion,alomomola|garchomp|magmortar|ribombee|tyranitar|zamazenta,2,4,3.633,6,0,0.0
battle-gen9randombattle-5611,v1,random,v1Ad73f2ab1p8000,1,30,dondozo|ironhands|kommoo|solgaleo|staraptor|wugtrio,girafarig|groudon|lapras|magcargo|poliwrath|zapdos,1,5,4.571,6,0,0.0
battle-gen9randombattle-5612,v1,random,v1Ad73f2ab1p8000,1,33,azumarill|illumise|indeedee|meowstic|quaquaval|zangoose,chimecho|cyclizar|jirachi|pawmot|pelipper|toxtricity,2,4,3.103,6,0,0.0
battle-gen9randombattle-5613,v1,random,v1Ad73f2ab1p8000,1,18,furret|lilliganthisui|mewtwo|noctowl|vileplume|volcarona,delphox|gothitelle|meowscarada|mukalola|rayquaza|virizion,3,3,2.708,6,0,0.0
battle-gen9randombattle-5614,v1,random,v1Ad73f2ab1p8000,1,30,arceusfairy|chimecho|cinccino|oranguru|qwilfishhisui|weezinggalar,cetitan|falinks|hydreigon|ironjugulis|palafinhero|sylveon,2,4,3.65,6,0,0.0
battle-gen9randombattle-5615,v1,random,v1Ad73f2ab1p8000,1,33,dachsbun|ditto|mimikyubusted|ogerpon|regidrago|veluza,brutebonnet|clefable|gumshoos|haxorus|toxapex|zekrom,4,2,1.243,6,0,0.0
battle-gen9randombattle-5616,v1,random,v1Ad73f2ab1p8000,1,23,golurk|gumshoos|mimikyubusted|okidogi|overqwil|palkiaorigin,gallade|mabosstiff|terrakion|ursaring|vivillonjungle|volcanion,5,1,0.547,6,0,0.0
battle-gen9randombattle-5617,v1,random,v1Ad73f2ab1p8000,1,17,ariados|ironmoth|jolteon|mightyena|oricoriosensu|tinglu,beartic|florgesyellow|jolteon|luvdisc|mewtwo|venusaur,1,5,5.0,6,0,0.0
battle-gen9randombattle-5618,v1,random,v1Ad73f2ab1p8000,1,24,amoonguss|arceusground|cresselia|hypno|manaphy|regice,dedenne|hatterene|lucario|luvdisc|pelipper|typhlosion,3,3,2.046,6,0,0.0
battle-gen9randombattle-5619,v1,random,v1Ad73f2ab1p8000,1,15,bruxish|dudunsparcethreesegment|gallade|golurk|pachirisu|skuntank,illumise|ironjugulis|reuniclus|rhyperior|suicune|zebstrika,2,4,3.609,6,0,0.0
battle-gen9randombattle-5620,v1,random,v1Ad73f2ab1p8000,1,20,calyrexice|empoleon|glastrier|grumpig|heracross|kyogre,clefable|florgesorange|hitmonchan|komala|latios|sinistcha,1,5,4.497,6,0,0.0
battle-gen9randombattle-5621,v1,random,v1Ad73f2ab1p8000,1,16,clawitzer|masquerain|rampardos|serperior|slowbro|smeargle,beartic|bronzong|fezandipiti|hippowdon|swampert|uxie,3,3,3.0,6,0,0.0
battle-gen9randombattle-5622,v1,random,v1Ad73f2ab1p8000,1,23,glastrier|ironleaves|porygon2|rayquaza|scyther|smeargle,cryogonal|grafaiai|ironcrown|kricketune|pikachualola|whiscash,3,3,2.59,6,0,0.0
battle-gen9randombattle-5623,v1,random,v1Ad73f2ab1p8000,1,16,darkrai|dragapult|gallade|leavanny|munkidori|pyroar,basculegionf|gothitelle|grafaiai|mewtwo|rhydon|slitherwing,3,3,2.408,6,0,0.0
battle-gen9randombattle-5624,v1,random,v1Ad73f2ab1p8000,1,32,cinccino|cloyster|pelipper|pikachualola|umbreon|venomoth,ampharos|cinccino|duraludon|hitmonchan|kommoo|magearnaoriginal,5,1,0.104,6,0,0.0
battle-gen9randombattle-5625,v1,random,v1Ad73f2ab1p8000,1,20,eternatus|golduck|hitmonchan|mew|serperior|zarude,espeon|grafaiai|magnezone|pyroar|slowking|trevenant,5,1,1.0,6,0,0.0
battle-gen9randombattle-5626,v1,random,v1Ad73f2ab1p8000,1,34,inteleon|ninetalesalola|raichualola|registeel|spidops|taurospaldeablaze,appletun|frosmoth|gardevoir|komala|porygonz|spiritomb,2,4,3.077,6,0,0.0
battle-gen9randombattle-5627,v1,random,v1Ad73f2ab1p8000,1,29,blaziken|dialga|misdreavus|salamence|screamtail|stonjourner,darkrai|empoleon|greninja|jumpluff|noctowl|sneasler,3,3,2.057,6,0,0.0
battle-gen9randombattle-5628,v1,random,v1Ad73f2ab1p8000,1,47,bellossom|decidueyehisui|phione|suicune|tyranitar|uxie,grafaiai|grimmsnarl|kingambit|mudsdale|uxie|walkingwake,2,4,3.859,6,0,0.0
battle-gen9randombattle-5629,v1,random,v1Ad73f2ab1p8000,1,31,brutebonnet|delphox|dragapult|hitmonlee|jirachi|noctowl,azumarill|florges|forretress|gothitelle|greedent|rotomfrost,3,3,3.0,6,0,0.0
battle-gen9randombattle-5630,v1,random,v1Ad73f2ab1p8000,1,32,dachsbun|honchkrow|misdreavus|palafin|regice|revavroom,illumise|irontreads|kingambit|lugia|milotic|scrafty,3,3,2.944,6,0,0.0
battle-gen9randombattle-5631,v1,random,v1Ad73f2ab1p8000,1,23,dragonite|gholdengo|ironvaliant|morpeko|scyther|tsareena,espeon|giratina|lokix|mukalola|quagsire|sceptile,1,5,4.447,6,0,0.0
battle-gen9randombattle-5632,v1,random,v1Ad73f2ab1p8000,1,13,ampharos|banette|hippowdon|hydreigon|perrserker|regieleki,golduck|haxorus|ludicolo|malamar|staraptor|zangoose,2,4,3.902,6,0,0.0
battle-gen9randombattle-5633,v1,random,v1Ad73f2ab1p8000,1,35,baxcalibur|comfey|gastrodoneast|houndstone|veluza|zekrom,bellibolt|glastrier|poliwrath|reshiram|torkoal|zarude,3,3,3.0,6,0,0.0
battle-gen9randombattle-5634,v1,random,v1Ad73f2ab1p8000,1,24,flamigo|garganacl|passimian|porygonz|qwilfishhisui|yanmega,araquanid|cetitan|diancie|floatzel|goodrahisui|sneasler,4,2,1.632,6,0,0.0
battle-gen9randombattle-5635,v1,random,v1Ad73f2ab1p8000,1,25,amoonguss|eelektross|enamorustherian|lumineon|pawmot|terapagosterastal,cresselia|diancie|furret|honchkrow|luvdisc|suicune,4,2,1.753,6,0,0.0
battle-gen9randombattle-5636,v1,random,v1Ad73f2ab1p8000,1,27,beartic|bellossom|conkeldurr|kyogre|maushold|pelipper,chimecho|lumineon|mimikyu|miraidon|slaking|walkingwake,3,3,3.0,6,0,0.0
battle-gen9randombattle-5637,v1,random,v1Ad73f2ab1p8000,1,13,exeggutor|groudon|luvdisc|pyroar|reuniclus|typhlosionhisui,dedenne|floatzel|magcargo|roaringmoon|tornadus|venomoth,1,5,4.008,6,0,0.0
battle-gen9randombattle-5638,v1,random,v1Ad73f2ab1p8000,1,21,feraligatr|hypno|indeedee|phione|raikou|weavile,barraskewda|dialgaorigin|dragalge|gallade|heatran|lunala,2,4,3.788,6,0,0.0
battle-gen9randombattle-5639,v1,random,v1Ad73f2ab1p8000,1,15,grumpig|ironthorns|lycanrocmidnight|mesprit|skuntank|smeargle,armarouge|cetitan|electivire|ironthorns|mabosstiff|vivillonhighplains,3,3,3.0,6,0,0.0
battle-gen9randombattle-5640,v1,random,v1Ad73f2ab1p8000,1,22,basculinbluestriped|chienpao|flamigo|mewtwo|miraidon|thundurus,cresselia|haxorus|ironcrown|kingdra|plusle|toxtricity,3,3,2.41,6,0,0.0
