battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randombattle-56363,v6,v3,v3B2979c873p8000,0,20,charizard|gliscor|lycanroc|mesprit|slaking|urshifurapidstrike,archaludon|latios|pawmot|samurotthisui|tauros|toedscruel,6,0,0.0,5,1,1.0,closecombat|crunch|earthquake|gigaimpact|outrage|psychicnoise|recharge|uturn
battle-gen9randombattle-56364,v6,v3,v3B2979c873p8000,0,14,arceuspsychic|basculinbluestriped|lokix|milotic|munkidori|pikachuworld,arcanine|cinccino|dondozo|meganium,6,0,0.0,3,1,0.59,bodypress|doubleedge|firstimpression|scald|sludgewave|volttackle
battle-gen9randombattle-56365,v6,v3,v3B2979c873p8000,0,16,arboliva|ironmoth|keldeoresolute|mimikyubusted|oricoriopau|ursaluna,altaria|chesnaught|dugtrioalola|lucario|misdreavus|volcarona,6,0,0.0,5,1,0.69,drainpunch|earthpower|facade|fireblast|headlongrush|hurricane|hydropump|sludgewave
battle-gen9randombattle-56366,v6,v3,v6A2979c873p8000,1,21,arceusfighting|eternatus|latios|slaking|venomoth|zarude,coalossal|dragonite|eiscue|lilligant|qwilfish|swampert,3,3,3.0,6,0,0.0,bodypress|dracometeor|dynamaxcannon|gigaimpact|recharge
battle-gen9randombattle-56367,v6,v3,v3B2979c873p8000,0,19,ironmoth|muk|piloswine|scovillain|thundurus|whimsicott,barraskewda|floatzel|greedent|rabsca|talonflame|uxie,6,0,0.0,5,1,0.51,earthquake|focusblast|gigadrain|iciclecrash|knockoff|overheat|poisonjab|sludgewave|thunderbolt
battle-gen9randombattle-56368,v6,v3,v6A2979c873p8000,1,19,bisharp|calyrexshadow|delibird|garganacl|suicune|weezinggalar,arceussteel|basculegionf|bastiodon|bombirdier|flapple|skeledirge,5,1,0.272,6,0,0.0,astralbarrage|bodypress|bravebird|gunkshot|icespinner|saltcure|scald|suckerpunch
battle-gen9randombattle-56369,v6,v3,v6A2979c873p8000,1,19,excadrill|gogoat|haxorus|porygon2|tentacruel|veluza,duraludon|froslass|gogoat|kyogre|urshifu|vespiquen,5,1,0.37,6,0,0.0,earthquake|hornleech|outrage|psychocut|shadowball|surf|terablast
battle-gen9randombattle-56370,v6,v3,v6A2979c873p8000,1,19,cacturne|glalie|hoopa|moltresgalar|sudowoodo|tropius,baxcalibur|bellossom|charizard|copperajah|komala|spidops,5,1,0.505,6,0,0.0,airslash|drainpunch|fierywrath|focusblast|freezedry|headsmash|hurricane|suckerpunch
battle-gen9randombattle-56371,v6,v3,v3B2979c873p8000,0,19,dipplin|hitmonchan|rabsca|slaking|slowbrogalar|vaporeon,leafeon|pachirisu|rabsca|sinistchamasterpiece|walkingwake,6,0,0.0,4,1,1.0,bugbuzz|dragonpulse|drainpunch|gigaimpact|icebeam|recharge|shellsidearm
battle-gen9randombattle-56372,v6,v3,v3B2979c873p8000,0,15,crabominable|glimmora|vileplume|whimsicott|wugtrio|zangoose,espathra|krookodile|kyogre|luvdisc|malamar,6,0,0.0,4,1,0.17,closecombat|gigadrain|knockoff|meteorbeam|moonblast|sludgebomb|throatchop
battle-gen9randombattle-56373,v6,v3,v6A2979c873p8000,1,16,appletun|araquanid|electrodehisui|infernape|maushold|skeledirge,carbink|ironhands|mudsdale|stonjourner|torterra|yanmega,3,3,2.069,6,0,0.0,appleacid|bite|closecombat|hydropump|leechlife|overheat
battle-gen9randombattle-56374,v6,v3,v6A2979c873p8000,1,20,arceusfairy|dedenne|excadrill|magcargo|moltresgalar|regigigas,charizard|glastrier|ironthorns|pincurchin|sinistchamasterpiece|whiscash,5,1,0.475,6,0,0.0,bodyslam|dazzlinggleam|earthpower|fireblast|hurricane|rockslide|thunderbolt
battle-gen9randombattle-56375,v6,v3,v6A2979c873p8000,1,21,houndoom|munkidori|politoed|regice|salazzle|sunflora,armarouge|chansey|chimecho|gliscor|sableye|slitherwing,5,1,0.129,6,0,0.0,darkpulse|fireblast|flamethrower|psychicnoise|sludgewave|solarbeam|surf|thunderbolt
battle-gen9randombattle-56376,v6,v3,v3B2979c873p8000,0,22,hippowdon|latios|oinkolognef|tsareena|whiscash|wigglytuff,deoxysdefense|heracross|mewtwo|mienshao|rotomheat|slaking,6,0,0.0,5,1,0.91,bodyslam|dazzlinggleam|dracometeor|earthquake|powerwhip|stoneedge
battle-gen9randombattle-56377,v6,v3,v6A2979c873p8000,1,28,abomasnow|dedenne|palkia|regidrago|toucannon|toxicroak,lumineon|oinkolognef|pachirisu|politoed|sunflora|uxie,2,4,3.138,6,0,0.0,beakblast|dazzlinggleam|gunkshot|struggle|thunderbolt
battle-gen9randombattle-56378,v6,v3,v3B2979c873p8000,0,16,galvantula|infernape|regirock|staraptor|torkoal|walkingwake,dipplin|eelektross|eternatus|fezandipiti|glalie,6,0,0.0,4,1,1.0,bugbuzz|doubleedge|dracometeor|lavaplume|overheat|stoneedge
battle-gen9randombattle-56379,v6,v3,v3B2979c873p8000,0,18,dunsparce|gothitelle|ironboulder|kyurem|misdreavus|reshiram,eiscue|meowsticf|poliwrath|scrafty|walkingwake|zangoose,6,0,0.0,5,1,1.0,bodyslam|drainingkiss|focusblast|outrage|shadowball|zenheadbutt
battle-gen9randombattle-56380,v6,v3,v6A2979c873p8000,1,21,basculegionf|bellossom|mamoswine|milotic|porygon2|tornadus,darkrai|entei|lanturn|latias|rotomheat|screamtail,4,2,1.511,6,0,0.0,earthquake|focusblast|gigadrain|icebeam|scald|triattack
battle-gen9randombattle-56381,v6,v3,v6A2979c873p8000,1,13,galvantula|honchkrow|incineroar|magnezone|whimsicott|zacian,azumarill|cinderace|mismagius|stonjourner|terrakion|wyrdeer,4,2,1.672,6,0,0.0,bravebird|energyball|knockoff|suckerpunch|thunder|thunderbolt|trailblaze|wildcharge
battle-gen9randombattle-56382,v6,v3,v6A2979c873p8000,1,19,dugtrioalola|fezandipiti|gengar|mesprit|spidops|zarudedada,indeedeef|masquerain|ogerponcornerstone|okidogi|pikachusinnoh|tentacruel,4,2,1.806,6,0,0.0,earthquake|gunkshot|knockoff|powerwhip|psychic
battle-gen9randombattle-56383,v6,v3,v6A2979c873p8000,1,22,alomomola|avalugg|comfey|cryogonal|inteleon|skarmory,articunogalar|drednaw|hoopaunbound|slitherwing|sylveon|toxapex,3,3,2.546,6,0,0.0,avalanche|drainingkiss|flipturn|gigadrain|hydropump|icebeam
battle-gen9randombattle-56384,v6,v3,v3B2979c873p8000,0,14,barraskewda|lurantis|metagross|reshiram|toxicroak|vaporeon,alomomola|grumpig|kingdra|rhyperior|rillaboom,6,0,0.0,3,2,0.91,closecombat|earthquake|leafstorm|outrage|scald|waterfall
battle-gen9randombattle-56385,v6,v3,v3B2979c873p8000,0,14,brambleghast|cetitan|flamigo|flapple|reuniclus|swampert,arceus|cobalion|cryogonal|mandibuzz,6,0,0.0,4,0,0.0,closecombat|focusblast|icebeam|iciclecrash|outrage|powerwhip|superpower
battle-gen9randombattle-56386,v6,v3,v6A2979c873p8000,1,18,mamoswine|meganium|salamence|staraptor|uxie|venomoth,beartic|blastoise|blaziken|kingambit|rayquaza|scizor,5,1,0.628,6,0,0.0,bravebird|earthquake|outrage|psychicnoise|sludgewave
battle-gen9randombattle-56387,v6,v3,v3B2979c873p8000,0,20,altaria|magcargo|phione|reuniclus|sceptile|toxapex,clodsire|conkeldurr|drifblim|klawf|scyther|sudowoodo,6,0,0.0,5,1,1.0,bravebird|earthquake|focusblast|gigadrain|liquidation|powergem|psyshock|scald
battle-gen9randombattle-56388,v6,v3,v6A2979c873p8000,1,19,annihilape|appletun|gougingfire|hitmontop|oranguru|raichu,arceuspsychic|gastrodon|mew|miraidon|smeargle|terapagos,3,3,2.35,6,0,0.0,closecombat|dragonpulse|drainpunch|earthquake|gunkshot|outrage
battle-gen9randombattle-56389,v6,v3,v6A2979c873p8000,1,17,bastiodon|cobalion|cyclizar|haxorus|illumise|virizion,ambipom|floatzel|grimmsnarl|irontreads|mandibuzz|politoed,5,1,0.613,6,0,0.0,bodypress|bugbuzz|closecombat|dracometeor|foulplay|ironhead|leafblade|outrage
battle-gen9randombattle-56390,v6,v3,v3B2979c873p8000,0,16,altaria|eelektross|golemalola|pelipper|porygon2|rampardos,chimecho|ironthorns|miniorindigo|okidogi|whiscash|wugtrio,6,0,0.0,5,1,0.68,bravebird|discharge|earthquake|hydropump|rockslide|terablast|zenheadbutt
battle-gen9randombattle-56391,v6,v3,v3B2979c873p8000,0,14,dipplin|dondozo|lilliganthisui|munkidori|palkiaorigin|taurospaldeablaze,greedent|jolteon|kleavor|lapras|skeledirge|whiscash,6,0,0.0,5,1,0.68,closecombat|dragonpulse|leafblade|psyshock|spacialrend|stoneedge|wavecrash
battle-gen9randombattle-56392,v6,v3,v3B2979c873p8000,0,24,alomomola|arbok|gougingfire|malamar|manaphy|misdreavus,archaludon|milotic|munkidori|porygon2|screamtail,6,0,0.0,4,1,0.12,earthquake|flipturn|outrage|scald|shadowball|superpower|surf
battle-gen9randombattle-56393,v6,v3,v3B2979c873p8000,0,15,araquanid|ariados|darkrai|gothitelle|taurospaldeaaqua|zebstrika,alcremiesaltedcream|arboliva|eiscue|magmortar|rotom,6,0,0.0,4,1,0.58,darkpulse|leechlife|liquidation|overheat|poisonjab|sludgebomb|supercellslam
