battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randombattle-13104,v2,simple_heuristic,v2Ab68a01b1p8000,1,12,bruxish|donphan|goodra|heatran|plusle|regidrago,altaria|bruxish|heracross|kricketune|mew|poliwrath,3,3,2.476,6,0,0.0
battle-gen9randombattle-13105,v2,simple_heuristic,v2Ab68a01b1p8000,1,19,arbok|dewgong|goodrahisui|keldeoresolute|munkidori|scrafty,dewgong|ironmoth|klefki|rabsca|regidrago|taurospaldeaaqua,4,2,1.875,6,0,0.0
battle-gen9randombattle-13106,v2,simple_heuristic,v2Ab68a01b1p8000,1,16,hitmonlee|hoopa|hypno|kricketune|magearnaoriginal|pawmot,blissey|hydreigon|orthworm|pikachusinnoh|reuniclus|skarmory,5,1,1.0,6,0,0.0
battle-gen9randombattle-13107,v2,simple_heuristic,Oppb68a01b1p8000,0,19,azumarill|blissey|charizard|leafeon|oinkolognef|slowking,fezandipiti|ironboulder|latias|zebstrika,6,0,0.0,2,2,0.25
battle-gen9randombattle-13108,v2,simple_heuristic,Oppb68a01b1p8000,0,22,flapple|galvantula|hariyama|irontreads|ribombee|staraptor,blissey|brutebonnet|goodrahisui|lugia|necrozma|vespiquen,6,0,0.0,5,1,0.5
battle-gen9randombattle-13109,v2,simple_heuristic,Oppb68a01b1p8000,0,14,charizard|espeon|golduck|slitherwing|tsareena|veluza,basculinbluestriped|golurk|houndoom|wugtrio,6,0,0.0,4,0,0.0
battle-gen9randombattle-13110,v2,simple_heuristic,Oppb68a01b1p8000,0,24,arcanine|cloyster|dondozo|heatran|hydreigon|hypno,articuno|eelektross|latias|magnezone|zangoose,6,0,0.0,3,2,0.96
battle-gen9randombattle-13111,v2,simple_heuristic,Oppb68a01b1p8000,0,16,donphan|dragapult|pikachuhoenn|quaquaval|staraptor|taurospaldeablaze,gothitelle|oinkolognef|slitherwing|talonflame|tentacruel|toxicroak,6,0,0.0,5,1,0.71
battle-gen9randombattle-13112,v2,simple_heuristic,Oppb68a01b1p8000,0,14,chesnaught|dunsparce|garchomp|irontreads|rillaboom|slowking,ironhands|okidogi|polteageist|skuntank,6,0,0.0,3,1,0.34
battle-gen9randombattle-13113,v2,simple_heuristic,Oppb68a01b1p8000,0,17,bellibolt|cinccino|farigiraf|ironcrown|magmortar|virizion,electivire|falinks|ironleaves|tinkaton,6,0,0.0,4,0,0.0
battle-gen9randombattle-13114,v2,simple_heuristic,v2Ab68a01b1p8000,1,19,alcremiecaramelswirl|drifblim|klawf|mismagius|tentacruel|vaporeon,dragalge|irontreads|latios|lycanrocdusk|slaking|tropius,3,3,2.184,6,0,0.0
battle-gen9randombattle-13115,v2,simple_heuristic,Oppb68a01b1p8000,0,12,brutebonnet|dudunsparcethreesegment|excadrill|flareon|honchkrow|serperior,articuno|falinks|hitmonchan|overqwil,6,0,0.0,3,1,0.9
battle-gen9randombattle-13116,v2,simple_heuristic,Oppb68a01b1p8000,0,16,cobalion|gothitelle|granbull|magcargo|quagsire|squawkabilly,altaria|emboar|hatterene|kyogre|qwilfish|skuntank,6,0,0.0,5,1,0.4
battle-gen9randombattle-13117,v2,simple_heuristic,v2Ab68a01b1p8000,1,14,hydreigon|metagross|typhlosionhisui|vileplume|virizion|whiscash,florges|hitmonlee|pachirisu|perrserker|rabsca|rotomfan,4,2,1.193,6,0,0.0
battle-gen9randombattle-13118,v2,simple_heuristic,v2Ab68a01b1p8000,1,15,arceusdragon|lurantis|noctowl|ogerponwellspring|pincurchin|tauros,alomomola|bombirdier|frosmoth|scrafty|volcanion|zamazentacrowned,4,2,1.751,6,0,0.0
battle-gen9randombattle-13119,v2,simple_heuristic,Oppb68a01b1p8000,0,20,froslass|mew|mienshao|regigigas|suicune|terrakion,flareon|glimmora|magearnaoriginal|noivern|staraptor|zangoose,6,0,0.0,5,1,1.0
battle-gen9randombattle-13120,v2,simple_heuristic,v2Ab68a01b1p8000,1,10,arbok|emboar|gogoat|mew|politoed|toxapex,blaziken|honchkrow|meloetta|mewtwo|rampardos|revavroom,4,2,1.069,6,0,0.0
battle-gen9randombattle-13121,v2,simple_heuristic,Oppb68a01b1p8000,0,26,emboar|golurk|honchkrow|mandibuzz|metagross|quagsire,altaria|hitmonlee|latios|spidops|uxie|vileplume,6,0,0.0,5,1,1.0
battle-gen9randombattle-13122,v2,simple_heuristic,Oppb68a01b1p8000,0,20,basculegion|camerupt|dudunsparce|magearnaoriginal|mukalola|sceptile,mismagius|perrserker|ragingbolt|salazzle|trevenant,6,0,0.0,3,2,2.0
battle-gen9randombattle-13123,v2,simple_heuristic,Oppb68a01b1p8000,0,16,golduck|grafaiai|houndstone|pincurchin|sylveon|toxtricity,cresselia|empoleon|latios|morpeko|tropius,6,0,0.0,4,1,0.44
battle-gen9randombattle-13124,v2,simple_heuristic,Oppb68a01b1p8000,0,21,chesnaught|heatran|latias|quagsire|sinistcha|zamazenta,bellossom|cacturne|clefable|delphox|gliscor,6,0,0.0,4,1,0.18
battle-gen9randombattle-13125,v2,simple_heuristic,v2Ab68a01b1p8000,1,20,camerupt|golurk|klefki|screamtail|sunflora|vivilloncontinental,brutebonnet|dachsbun|hitmonlee|kleavor|perrserker|porygonz,5,1,0.147,6,0,0.0
battle-gen9randombattle-13126,v2,simple_heuristic,v2Ab68a01b1p8000,1,16,azelf|hawlucha|lilligant|lugia|luxray|zoroark,deoxys|ironvaliant|medicham|probopass|rotomwash|toxapex,3,3,2.647,6,0,0.0
battle-gen9randombattle-13127,v2,simple_heuristic,v2Ab68a01b1p8000,1,14,conkeldurr|florgeswhite|grafaiai|infernape|lycanrocmidnight|serperior,basculinbluestriped|malamar|mienshao|rhyperior|sceptile|whimsicott,5,1,0.904,6,0,0.0
battle-gen9randombattle-13128,v2,simple_heuristic,v2Ab68a01b1p8000,1,20,duraludon|grumpig|meowscarada|slowkinggalar|weezinggalar|yanmega,klefki|lugia|mienshao|regidrago|urshifurapidstrike|zangoose,5,1,0.149,6,0,0.0
battle-gen9randombattle-13129,v2,simple_heuristic,v2Ab68a01b1p8000,1,17,banette|ditto|flamigo|floatzel|giratinaorigin|heatran,dewgong|enamorus|garchomp|gengar|mismagius|palafin,4,2,1.103,6,0,0.0
battle-gen9randombattle-13130,v2,simple_heuristic,Oppb68a01b1p8000,0,18,comfey|deoxysattack|kleavor|mismagius|scrafty|smeargle,azelf|camerupt|palkiaorigin|toucannon|ursaluna|wugtrio,6,0,0.0,4,2,1.09
battle-gen9randombattle-13131,v2,simple_heuristic,v2Ab68a01b1p8000,1,21,dedenne|ludicolo|mudsdale|orthworm|pincurchin|shayminsky,cyclizar|hitmonchan|keldeoresolute|masquerain|phione|sylveon,5,1,0.272,6,0,0.0
