battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randombattle-15609,v3,simple_heuristic,Oppe37e16ccp8000,0,16,golemalola|gothitelle|mienshao|miraidon|ogerponcornerstone|sandslashalola,indeedeef|klefki|regigigas|sandaconda,6,0,0.0,3,1,0.02,closecombat|darkpulse|dracometeor|earthquake|ironhead|powerwhip
battle-gen9randombattle-15610,v3,simple_heuristic,Oppe37e16ccp8000,0,15,glimmora|mienshao|mudsdale|scrafty|skarmory|suicune,brambleghast|charizard|comfey|minun|staraptor,6,0,0.0,4,1,0.05,bravebird|drainpunch|earthquake|meteorbeam|scald|stoneedge
battle-gen9randombattle-15611,v3,simple_heuristic,Oppe37e16ccp8000,0,20,clefable|cramorant|dugtrio|oranguru|swalot|venusaur,annihilape|archaludon|braviaryhisui|ceruledge|plusle|volcarona,6,0,0.0,5,1,0.66,bravebird|earthquake|energyball|fireblast|hypervoice|moonblast
battle-gen9randombattle-15612,v3,simple_heuristic,Oppe37e16ccp8000,0,17,clawitzer|grimmsnarl|jolteon|necrozmadawnwings|regieleki|venusaur,carbink|darkrai|honchkrow|jolteon|ludicolo|muk,6,0,0.0,5,1,0.2,aurasphere|earthpower|moongeistbeam|photongeyser|spiritbreak|thunderbolt|uturn
battle-gen9randombattle-15613,v3,simple_heuristic,Oppe37e16ccp8000,0,17,abomasnow|armarouge|delibird|hydreigon|taurospaldeablaze|wochien,duraludon|electrode|falinks|flapple|necrozmaduskmane|sinistcha,6,0,0.0,5,1,1.0,armorcannon|blizzard|bravebird|closecombat|dracometeor|earthquake|knockoff
battle-gen9randombattle-15614,v3,simple_heuristic,v3Ae37e16ccp8000,1,15,banette|froslass|hitmontop|meowscarada|pelipper|raikou,banette|dunsparce|lucario|lugia|revavroom|terrakion,3,3,2.392,6,0,0.0,poltergeist|scald|shadowsneak|surf|thunderbolt|tripleaxel
battle-gen9randombattle-15615,v3,simple_heuristic,Oppe37e16ccp8000,0,20,bronzong|hitmonlee|pachirisu|regice|sunflora|tyranitar,brambleghast|frosmoth|mienshao|raichu|skarmory|tauros,6,0,0.0,5,1,0.46,bodypress|closecombat|discharge|icebeam|ironhead|knockoff|psychicnoise|solarbeam|stoneedge
battle-gen9randombattle-15616,v3,simple_heuristic,Oppe37e16ccp8000,0,20,feraligatr|glalie|gougingfire|meowstic|necrozmaduskmane|ursalunabloodmoon,bronzong|chiyu|toedscruel,6,0,0.0,2,1,0.52,alluringvoice|bloodmoon|earthquake|freezedry|icepunch|liquidation|outrage|vacuumwave
battle-gen9randombattle-15617,v3,simple_heuristic,Oppe37e16ccp8000,0,18,baxcalibur|electivire|lunala|rabsca|sableye|zangoose,cinccino|glimmora|jirachi|koraidon|kricketune|wigglytuff,6,0,0.0,5,1,1.0,bugbuzz|closecombat|earthquake|knockoff|psychic|psyshock|supercellslam
battle-gen9randombattle-15618,v3,simple_heuristic,Oppe37e16ccp8000,0,14,dugtrioalola|lanturn|noctowl|samurotthisui|shayminsky|slaking,kommoo|pecharunt|shiftry,6,0,0.0,2,1,0.11,ceaselessedge|earthpower|gigaimpact|hurricane|ironhead|recharge|sacredsword|thunderbolt
