battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randombattle-55863,v5,v3,v3B3265ec24p8000,0,20,araquanid|dragapult|florgesorange|hitmonlee|morpeko|tsareena,calyrexshadow|gardevoir|mamoswine|palkiaorigin|palossand|regieleki,6,0,0.0,5,1,0.26,aurawheel|hydropump|leechlife|poisonjab|powerwhip|shadowball|terablast
battle-gen9randombattle-55864,v5,v3,v3B3265ec24p8000,0,24,heracross|inteleon|mew|qwilfish|salazzle|solgaleo,drifblim|farigiraf|milotic|sandyshocks|tropius,6,0,0.0,4,1,0.96,earthquake|flamethrower|psychicnoise|sunsteelstrike|uturn
battle-gen9randombattle-55865,v5,v3,v5A3265ec24p8000,1,31,dipplin|dusknoir|gothitelle|lurantis|manaphy|regice,articuno|dunsparce|houndstone|stonjourner|sudowoodo|toxapex,5,1,0.25,6,0,0.0,focusblast|focuspunch|gigadrain|hydropump|knockoff|thunderbolt
battle-gen9randombattle-55866,v5,v3,v3B3265ec24p8000,0,18,articunogalar|blaziken|donphan|dragonite|hitmonlee|meowstic,dodrio|eternatus|grafaiai|hariyama|rabsca|suicune,6,0,0.0,5,1,0.47,alluringvoice|closecombat|hurricane|iceshard|outrage
battle-gen9randombattle-55867,v5,v3,v5A3265ec24p8000,1,16,alcremiematchacream|bombirdier|chansey|clawitzer|skeledirge|whimsicott,ambipom|beartic|cyclizar|luvdisc|medicham|walkingwake,4,2,1.026,6,0,0.0,alluringvoice|moonblast|shadowball|suckerpunch|thunderwave|uturn
battle-gen9randombattle-55868,v5,v3,v3B3265ec24p8000,0,19,azelf|falinks|gougingfire|masquerain|mudsdale|sandslash,ironjugulis|noctowl|probopass|sneasler|virizion,6,0,0.0,4,1,0.45,closecombat|earthquake|hurricane|outrage|stoneedge|uturn
battle-gen9randombattle-55869,v5,v3,v5A3265ec24p8000,1,21,feraligatr|gothitelle|hippowdon|magnezone|masquerain|wugtrio,arbok|illumise|luxray|ogerpon|scyther|squawkabillyyellow,5,1,1.0,6,0,0.0,aquajet|darkpulse|discharge|hurricane|icepunch|stoneedge
battle-gen9randombattle-55870,v5,v3,v3B3265ec24p8000,0,17,basculin|giratina|illumise|lilligant|lucario|skeledirge,ironhands|ludicolo|milotic|snorlax,6,0,0.0,3,1,0.19,aquajet|bugbuzz|defog|petaldance|shadowball|torchsong|vacuumwave
battle-gen9randombattle-55871,v5,v3,v5A3265ec24p8000,1,23,charizard|hypno|pelipper|solgaleo|victreebel|zebstrika,appletun|grumpig|honchkrow|orthworm|pincurchin|suicune,5,1,0.39,6,0,0.0,closecombat|flareblitz|psychicnoise|supercellslam|uturn|weatherball
battle-gen9randombattle-55872,v5,v3,v3B3265ec24p8000,0,18,drednaw|ogerponhearthflame|skeledirge|skuntank|venomoth|zacian,dusknoir|eelektross|falinks|rayquaza|wigglytuff,6,0,0.0,5,0,0.0,closecombat|ivycudgel|knockoff|sludgewave|stoneedge|torchsong
battle-gen9randombattle-55873,v5,v3,v3B3265ec24p8000,0,18,ceruledge|reuniclus|sableye|sneasler|vespiquen|victreebel,ceruledge|kingdra|toedscruel|venomoth|vikavolt,6,0,0.0,4,1,1.0,closecombat|focusblast|hurricane|knockoff|shadowsneak|weatherball
battle-gen9randombattle-55874,v5,v3,v3B3265ec24p8000,0,22,chandelure|dugtrioalola|mimikyubusted|shiftry|skuntank|venusaur,darkrai|delphox|dudunsparcethreesegment|duraludon|solgaleo,6,0,0.0,4,1,0.72,drainpunch|energyball|leafblade|shadowsneak|sludgebomb|substitute|suckerpunch
battle-gen9randombattle-55875,v5,v3,v5A3265ec24p8000,1,14,clefable|espathra|grumpig|overqwil|porygon2|roaringmoon,ditto|feraligatr|mabosstiff|regirock|sinistchamasterpiece|toxapex,3,3,2.901,6,0,0.0,crunch|earthquake|focusblast|moonblast
battle-gen9randombattle-55876,v5,v3,v5A3265ec24p8000,1,17,flamigo|hydrapple|necrozmaduskmane|tatsugiri|toxtricity|yanmega,ceruledge|dipplin|regieleki|skarmory|spidops|wigglytuff,4,2,1.576,6,0,0.0,airslash|bravebird|earthpower|earthquake|overdrive|sunsteelstrike
battle-gen9randombattle-55877,v5,v3,v3B3265ec24p8000,0,17,cinccino|hitmonchan|ironcrown|rotomfrost|slowkinggalar|toucannon,charizard|dragalge|flygon|hitmonchan|keldeoresolute|lycanrocdusk,6,0,0.0,5,1,0.67,blizzard|boomburst|bulletseed|drainpunch|psyshock|sludgebomb|tailslap|thunderbolt
battle-gen9randombattle-55878,v5,v3,v5A3265ec24p8000,1,16,chienpao|dipplin|feraligatr|honchkrow|sunflora|volcanion,basculinbluestriped|feraligatr|meloetta|reshiram|urshifu|uxie,4,2,1.137,6,0,0.0,dragonpulse|gigadrain|liquidation|sludgebomb|suckerpunch
battle-gen9randombattle-55879,v5,v3,v5A3265ec24p8000,1,25,gastrodon|glalie|gyarados|hypno|medicham|zebstrika,eelektross|kingambit|lycanrocmidnight|palafin|sandaconda|zangoose,5,1,0.66,6,0,0.0,bulletpunch|earthquake|focusblast|freezedry|supercellslam|waterfall
battle-gen9randombattle-55880,v5,v3,v5A3265ec24p8000,1,26,dipplin|duraludon|eelektross|golduck|tinkaton|vileplume,blastoise|landorus|lucario|manaphy|stonjourner|urshifu,5,1,0.5,6,0,0.0,discharge|dracometeor|dragonpulse|gigadrain|hydropump|icebeam|knockoff|playrough|sludgebomb|suckerpunch|uturn
battle-gen9randombattle-55881,v5,v3,v5A3265ec24p8000,1,16,basculinbluestriped|chandelure|copperajah|rillaboom|torkoal|whimsicott,flareon|grumpig|meowscarada|roaringmoon|virizion|weezinggalar,3,3,3.0,6,0,0.0,energyball|fireblast|knockoff|playrough|uturn
battle-gen9randombattle-55882,v5,v3,v3B3265ec24p8000,0,23,ambipom|dragalge|gallade|ludicolo|rayquaza|wyrdeer,armarouge|suicune,6,0,0.0,1,1,0.66,doubleedge|dracometeor|earthquake|fakeout|leafstorm|psychocut
battle-gen9randombattle-55883,v5,v3,v3B3265ec24p8000,0,21,bastiodon|delibird|landorus|registeel|toxapex|vileplume,cryogonal|lucario|poliwrath|salamence|vileplume,6,0,0.0,4,1,0.82,bodypress|drillrun|earthpower|gigadrain|iceshard|ironhead|liquidation
battle-gen9randombattle-55884,v5,v3,v3B3265ec24p8000,0,19,chansey|farigiraf|glaceon|latias|meowscarada|mismagius,chandelure|crawdaunt|gothitelle|medicham,6,0,0.0,3,1,1.0,bodyslam|dracometeor|flowertrick|freezedry|mysticalfire|thunderwave|tripleaxel
battle-gen9randombattle-55885,v5,v3,v5A3265ec24p8000,1,21,fluttermane|garchomp|lycanrocdusk|pawmot|talonflame|terapagosterastal,breloom|cresselia|cryogonal|hydrapple|lapras|sudowoodo,5,1,0.339,6,0,0.0,accelerock|doubleshock|mysticalfire|outrage|overheat|terastarstorm
battle-gen9randombattle-55886,v5,v3,v3B3265ec24p8000,0,17,lurantis|mew|overqwil|passimian|yanmega|zacian,chesnaught|eternatus|regice,6,0,0.0,2,1,0.36,bugbuzz|gunkshot|knockoff|leechlife|uturn|wildcharge
battle-gen9randombattle-55887,v5,v3,v3B3265ec24p8000,0,20,chimecho|lokix|meganium|perrserker|sudowoodo|torkoal,basculegion|bastiodon|masquerain|morpeko|ragingbolt|spectrier,6,0,0.0,5,1,0.58,closecombat|dazzlinggleam|energyball|knockoff|lavaplume|suckerpunch
battle-gen9randombattle-55888,v5,v3,v5A3265ec24p8000,1,19,grimmsnarl|keldeoresolute|mew|registeel|samurott|skuntank,ariados|blastoise|clodsire|heatran|samurotthisui|solgaleo,3,3,1.694,6,0,0.0,flipturn|hydropump|ironhead|psychic|suckerpunch|vacuumwave
battle-gen9randombattle-55889,v5,v3,v5A3265ec24p8000,1,20,ampharos|cyclizar|masquerain|raichu|walkingwake|weezing,cinderace|enamorus|greedent|passimian|spidops|virizion,5,1,0.098,6,0,0.0,bugbuzz|dazzlinggleam|flipturn|hydropump|rapidspin|sludgebomb|terablast
battle-gen9randombattle-55890,v5,v3,v3B3265ec24p8000,0,20,ambipom|araquanid|kilowattrel|luxray|ribombee|toedscruel,espathra|reuniclus|salazzle|sylveon|victreebel,6,0,0.0,4,1,0.92,doubleedge|earthpower|hurricane|leechlife|moonblast|supercellslam|trailblaze|uturn
battle-gen9randombattle-55891,v5,v3,v3B3265ec24p8000,0,21,dipplin|espathra|kyuremblack|mudsdale|rhyperior|stonjourner,blissey|ceruledge|rayquaza|wyrdeer,6,0,0.0,3,1,0.09,dazzlinggleam|earthquake|stoneedge|suckerpunch|terablast
battle-gen9randombattle-55892,v5,v3,v3B3265ec24p8000,0,22,glalie|gurdurr|palafin|skeledirge|volcarona|zapdosgalar,arceusground|farigiraf|leavanny|mew|rotomheat|venusaur,6,0,0.0,5,1,0.91,closecombat|freezedry|gigadrain|jetpunch|machpunch|terablast|torchsong
battle-gen9randombattle-55893,v5,v3,v3B3265ec24p8000,0,21,abomasnow|bruxish|dewgong|eelektross|gogoat|polteageist,mightyena|pawmot|rampardos|vigoroth|vivillon,6,0,0.0,4,1,0.23,earthquake|flipturn|icebeam|iceshard|knockoff|shadowball
battle-gen9randombattle-55894,v5,v3,v3B3265ec24p8000,0,11,ampharos|hippowdon|lilligant|scizor|sudowoodo|weezing,infernape|pelipper|poliwrath|vivillonarchipelago,6,0,0.0,3,1,1.0,earthquake|fireblast|knockoff|petaldance|stoneedge|voltswitch|woodhammer
battle-gen9randombattle-55895,v5,v3,v3B3265ec24p8000,0,20,eternatus|landorus|lycanroc|meowscarada|oinkologne|skarmory,ambipom|baxcalibur|gliscor|hypno|lumineon,6,0,0.0,4,1,0.67,bravebird|flamethrower|flowertrick|highhorsepower|psychic|stoneedge
battle-gen9randombattle-55896,v5,v3,v3B3265ec24p8000,0,20,beartic|clawitzer|coalossal|garchomp|gastrodon|jirachi,girafarig|infernape|roaringmoon|rotom|shiftry|spectrier,6,0,0.0,5,1,1.0,aquajet|earthquake|ironhead|outrage|rapidspin|uturn
battle-gen9randombattle-55897,v5,v3,v3B3265ec24p8000,0,21,ambipom|hydreigon|ironvaliant|salazzle|vespiquen|volcanion,dachsbun|garganacl|porygonz|sandyshocks|virizion,6,0,0.0,4,1,1.0,dracometeor|earthpower|fakeout|hurricane|moonblast|terablast
battle-gen9randombattle-55898,v5,v3,v3B3265ec24p8000,0,23,emboar|jirachi|moltresgalar|pikachualola|tropius|zarudedada,girafarig|infernape|ironcrown|ninetalesalola|phione,6,0,0.0,4,1,0.72,airslash|bodyslam|fierywrath|ironhead|powerwhip|surf|trailblaze
battle-gen9randombattle-55899,v5,v3,v3B3265ec24p8000,0,21,flapple|gastrodoneast|granbull|morpeko|mukalola|noctowl,basculinbluestriped|ditto|gumshoos|manaphy|regirock|toxicroak,6,0,0.0,6,0,0.0,aurawheel|earthquake|gravapple|hurricane|knockoff|playrough|shadowsneak
battle-gen9randombattle-55900,v5,v3,v5A3265ec24p8000,1,20,clawitzer|deoxysdefense|dewgong|indeedee|okidogi|vikavolt,blissey|crabominable|cyclizar|espeon|medicham|palossand,5,1,0.202,6,0,0.0,bugbuzz|dazzlinggleam|drainpunch|psychicnoise|surf|tripleaxel|voltswitch|waterpulse
battle-gen9randombattle-55901,v5,v3,v5A3265ec24p8000,1,18,darkrai|diancie|froslass|pelipper|rotomfan|urshifurapidstrike,azelf|bisharp|espeon|kingdra|magnezone|zangoose,3,3,2.314,6,0,0.0,airslash|aquajet|darkpulse|poltergeist|thunderbolt|tripleaxel
battle-gen9randombattle-55902,v5,v3,v3B3265ec24p8000,0,20,dunsparce|illumise|manaphy|rabsca|skarmory|staraptor,cinccino|clefable|ironmoth|veluza|zarudedada,6,0,0.0,4,1,1.0,bodypress|bodyslam|bugbuzz|icebeam|psychic|quickattack
battle-gen9randombattle-55903,v5,v3,v3B3265ec24p8000,0,20,basculin|giratina|greattusk|kingambit|plusle|smeargle,dunsparce|houndoom|ludicolo|rhydon|vespiquen|vikavolt,6,0,0.0,4,2,0.75,alluringvoice|aquajet|ceaselessedge|rapidspin|shadowball|suckerpunch|thunderbolt
battle-gen9randombattle-55904,v5,v3,v5A3265ec24p8000,1,21,bombirdier|floatzel|grumpig|kyogre|noivern|weezinggalar,decidueye|flamigo|gastrodon|grumpig|hitmontop|swanna,5,1,1.0,6,0,0.0,gunkshot|hurricane|shadowball|uturn
battle-gen9randombattle-55905,v5,v3,v3B3265ec24p8000,0,21,cacturne|cresselia|electivire|greninja|klefki|mismagius,magcargo|milotic|sceptile|snorlax|volcarona|wyrdeer,6,0,0.0,5,1,1.0,foulplay|hydropump|psyshock|shadowball|suckerpunch|supercellslam
battle-gen9randombattle-55906,v5,v3,v5A3265ec24p8000,1,27,arceuselectric|cloyster|ogerponwellspring|scizor|sneasler|spiritomb,ceruledge|gurdurr|probopass|reshiram|rotommow|shiftry,5,1,0.507,6,0,0.0,bulletpunch|closecombat|direclaw|iciclespear|ivycudgel|judgment|poltergeist
battle-gen9randombattle-55907,v5,v3,v3B3265ec24p8000,0,15,exeggutoralola|glimmora|grumpig|lapras|miraidon|volbeat,arceuspoison|ariados|oricorio,6,0,0.0,2,1,0.59,dracometeor|earthpower|flamethrower|shadowball|uturn|waterfall
battle-gen9randombattle-55908,v5,v3,v5A3265ec24p8000,1,15,eiscuenoice|fezandipiti|komala|kyogre|miraidon|noctowl,barraskewda|excadrill|falinks|hariyama|leavanny|vikavolt,4,2,0.728,6,0,0.0,dracometeor|electrodrift|gunkshot|hypervoice|liquidation|thunder|uturn
