battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randombattle-58925,v6,random,v6Ac90e6495p8000,1,34,darkrai|houndstone|mudsdale|orthworm|reshiram|roaringmoon,coalossal|dialga|kilowattrel|samurott|vespiquen|whiscash,3,3,2.778,6,0,0.0,blueflare|bodypress|darkpulse|dracometeor|earthpower|irontail|outrage
battle-gen9randombattle-58926,v6,random,v6Ac90e6495p8000,1,20,crawdaunt|glastrier|infernape|quaquaval|tinglu|zaciancrowned,okidogi|regigigas|sableye|shaymin|whiscash|wyrdeer,2,4,3.911,6,0,0.0,crabhammer|earthquake|flareblitz|knockoff|throatchop
battle-gen9randombattle-58927,v6,random,v6Ac90e6495p8000,1,23,cacturne|dedenne|florgesblue|goodra|squawkabilly|volbeat,dunsparce|hydreigon|overqwil|rampardos|scyther|torterra,2,4,4.0,6,0,0.0,dazzlinggleam|dracometeor|fireblast|moonblast|thunderbolt
battle-gen9randombattle-58928,v6,random,v6Ac90e6495p8000,1,53,farigiraf|grumpig|houndoom|ironhands|ogerponhearthflame|palafin,carbink|golurk|hitmonlee|lumineon|luxray|overqwil,5,1,1.0,6,0,0.0,darkpulse|drainpunch|fireblast|futuresight|icepunch|ivycudgel|sludgebomb|thunderpunch|wavecrash
battle-gen9randombattle-58929,v6,random,v6Ac90e6495p8000,1,24,ironvaliant|mukalola|palafin|quagsire|slitherwing|volbeat,cetitan|comfey|donphan|feraligatr|lapras|shayminsky,3,3,2.902,6,0,0.0,closecombat|drainpunch|icepunch|lunge|moonblast|poisonjab
battle-gen9randombattle-58930,v6,random,v6Ac90e6495p8000,1,57,ditto|drednaw|gothitelle|hitmonchan|primarina|whimsicott,breloom|gastrodoneast|lucario|regirock|sinistchamasterpiece|tornadus,2,4,3.966,6,0,0.0,drainpunch|leechseed|liquidation|moonblast|substitute
battle-gen9randombattle-58931,v6,random,v6Ac90e6495p8000,1,23,cinderace|golem|hatterene|ironthorns|tornadus|toucannon,armarouge|goodrahisui|kricketune|morpeko|screamtail|swanna,3,3,2.808,6,0,0.0,bleakwindstorm|drainingkiss|earthquake|explosion|heatwave|mysticalfire|psychicnoise|wildcharge
battle-gen9randombattle-58932,v6,random,v6Ac90e6495p8000,1,15,komala|lilligant|lumineon|mew|talonflame|tyranitar,bruxish|farigiraf|polteageistantique|porygon2|raikou|weavile,1,5,4.437,6,0,0.0,hydropump|knockoff|stoneedge
battle-gen9randombattle-58933,v6,random,v6Ac90e6495p8000,1,18,haxorus|indeedeef|jolteon|latios|misdreavus|morpeko,arceuspoison|duraludon|jolteon|toucannon|venusaur|volbeat,1,5,4.496,6,0,0.0,aurawheel|earthquake|outrage
battle-gen9randombattle-58934,v6,random,v6Ac90e6495p8000,1,24,altaria|forretress|gumshoos|magnezone|phione|scrafty,flareon|kleavor|magearna|palossand|weavile|zangoose,0,6,5.19,6,0,0.0,ironhead
battle-gen9randombattle-58935,v6,random,v6Ac90e6495p8000,1,15,cinderace|ironleaves|kingdra|lanturn|regieleki|ursaring,barraskewda|blaziken|hypno|meowstic|primarina|slitherwing,2,4,3.27,6,0,0.0,explosion|outrage|scald|thunderbolt|wavecrash
battle-gen9randombattle-58936,v6,random,v6Ac90e6495p8000,1,22,appletun|cryogonal|gallade|metagross|regice|rotomwash,donphan|medicham|mimikyubusted|mismagius|morpeko|pachirisu,2,4,3.278,6,0,0.0,dracometeor|icebeam|terablast
battle-gen9randombattle-58937,v6,random,v6Ac90e6495p8000,1,23,armarouge|bellibolt|calyrexice|chansey|komala|plusle,cacturne|gardevoir|minun|muk|regice|tornadus,2,4,2.627,6,0,0.0,alluringvoice|seismictoss|thunderbolt|uturn
battle-gen9randombattle-58938,v6,random,v6Ac90e6495p8000,1,24,cyclizar|golduck|hariyama|masquerain|ogerponhearthflame|volcanion,bastiodon|klawf|kyogre|manaphy|rabsca|scyther,2,4,3.429,6,0,0.0,closecombat|earthpower|powerwhip|steameruption
battle-gen9randombattle-58939,v6,random,v6Ac90e6495p8000,1,17,ariados|barraskewda|cetitan|cobalion|munkidori|rhydon,ampharos|golduck|lumineon|qwilfishhisui|sandslashalola|snorlax,2,4,3.494,6,0,0.0,closecombat|earthquake|focusblast|psyshock|sludgewave|stoneedge
battle-gen9randombattle-58940,v6,random,Oppc90e6495p8000,0,31,articuno|mew|mismagius|sylveon|terrakion|toxapex,ambipom|moltresgalar|muk|necrozmadawnwings|reshiram|rillaboom,6,0,0.0,5,1,0.17,bravebird|closecombat|dazzlinggleam|earthquake|hypervoice|liquidation|shadowball
