battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randombattle-59175,v6,self,v6A51c939ddp8000,1,21,araquanid|brambleghast|espathra|furret|lycanrocdusk|volcarona,arboliva|chienpao|hariyama|masquerain|snorlax|tentacruel,5,1,1.0,6,0,0.0,dazzlinggleam|doubleedge|fierydance|leechlife|liquidation|powerwhip|psychicfangs|storedpower
battle-gen9randombattle-59176,v6,self,v6B51c939ddp8000,0,14,arceuspoison|cetitan|enamorus|ironthorns|morpeko|torterra,crawdaunt|duraludon|hariyama|klefki|roaringmoon|torkoal,6,0,0.0,5,1,0.85,aurawheel|earthquake|gunkshot|headlongrush|icespinner|superpower|wildcharge
battle-gen9randombattle-59177,v6,self,v6A51c939ddp8000,1,20,dusknoir|fezandipiti|palafin|pincurchin|primarina|scovillain,froslass|sandslash|serperior|spidops|tornadustherian|vigoroth,5,1,0.023,6,0,0.0,earthquake|fireblast|gunkshot|moonblast|playrough|wavecrash|zingzap
battle-gen9randombattle-59178,v6,self,v6B51c939ddp8000,0,18,coalossal|entei|ninetalesalola|pawmot|phione|rotommow,dedenne|ditto|mightyena|sandyshocks|sunflora|zarudedada,6,0,0.0,5,1,1.0,blizzard|closecombat|flamethrower|flareblitz|leafstorm|moonblast|scald
battle-gen9randombattle-59179,v6,self,v6A51c939ddp8000,1,15,bellibolt|duraludon|excadrill|lumineon|luvdisc|noctowl,alomomola|flamigo|greedent|hoopaunbound|mewtwo|torterra,5,1,0.516,6,0,0.0,dracometeor|earthquake|hurricane|hydropump|icebeam|surf|thunderbolt
battle-gen9randombattle-59180,v6,self,v6A51c939ddp8000,1,14,conkeldurr|darkrai|mew|porygon2|rhyperior|veluza,comfey|pyroar|regidrago|regieleki|ribombee|tauros,3,3,2.164,6,0,0.0,aquacutter|closecombat|earthquake|psychocut|stoneedge|triattack
battle-gen9randombattle-59181,v6,self,v6B51c939ddp8000,0,23,archaludon|eelektross|keldeoresolute|lunala|mewtwo|orthworm,basculinbluestriped|delibird|drifblim|fezandipiti|hippowdon|porygon2,6,0,0.0,5,1,0.36,bodypress|discharge|dracometeor|hydropump|moongeistbeam|psystrike|secretsword|shedtail
battle-gen9randombattle-59182,v6,self,v6A51c939ddp8000,1,17,breloom|chimecho|kilowattrel|kyuremwhite|toucannon|ursaring,barraskewda|empoleon|gliscor|heracross|pecharunt|tyranitar,5,1,0.496,6,0,0.0,boomburst|dazzlinggleam|dracometeor|hurricane|rocktomb|throatchop|thunderbolt
battle-gen9randombattle-59183,v6,self,v6A51c939ddp8000,1,20,hippowdon|keldeoresolute|palkia|ribombee|thundurustherian|tinkaton,bellibolt|honchkrow|reshiram|sandaconda|slaking|volcanion,5,1,1.0,6,0,0.0,dracometeor|earthquake|gigatonhammer|moonblast|playrough|sludgewave|surf|thunderbolt
battle-gen9randombattle-59184,v6,self,v6B51c939ddp8000,0,13,copperajah|dachsbun|greninja|klefki|oricoriosensu|stonjourner,electivire|enamorus|magcargo|raichu|veluza,6,0,0.0,3,2,0.94,dazzlinggleam|earthquake|foulplay|hurricane|hydropump|playrough|stoneedge|superpower
battle-gen9randombattle-59185,v6,self,v6B51c939ddp8000,0,17,arceus|mienshao|moltresgalar|oinkolognef|probopass|scovillain,camerupt|chimecho|feraligatr|ogerponhearthflame|terrakion,6,0,0.0,4,1,0.03,bodyslam|extremespeed|flashcannon|highjumpkick|hurricane|leafstorm
