battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randombattle-20609,v4,v2,v2B24ddecf2p8000,0,25,arboliva|cetitan|milotic|pikachupartner|raikou|sceptile,krookodile|lunala|mausholdfour|misdreavus|quagsire,6,0,0.0,4,1,0.55,hypervoice|iceshard|leafstorm|rockslide|scald|surf|thunderbolt
battle-gen9randombattle-20610,v4,v2,v4A24ddecf2p8000,1,15,granbull|illumise|mudsdale|sandyshocks|scovillain|trevenant,arboliva|chesnaught|dugtrioalola|gothitelle|milotic|quaquaval,2,4,3.861,6,0,0.0,bugbuzz|drainpunch|leafstorm|poltergeist
battle-gen9randombattle-20611,v4,v2,v4A24ddecf2p8000,1,15,banette|basculegionf|diancie|gardevoir|greattusk|taurospaldeacombat,kyogre|lucario|lugia|metagross|salazzle|vespiquen,3,3,2.567,6,0,0.0,diamondstorm|moonblast|shadowball|shadowsneak
battle-gen9randombattle-20612,v4,v2,v4A24ddecf2p8000,1,18,banette|floatzel|indeedee|skuntank|sunflora|trevenant,annihilape|cobalion|latias|lycanrocmidnight|manaphy|porygonz,5,1,0.903,6,0,0.0,drainpunch|earthpower|expandingforce|poltergeist|shadowsneak|suckerpunch|wavecrash
battle-gen9randombattle-20613,v4,v2,v4A24ddecf2p8000,1,25,clawitzer|dodrio|dugtrioalola|orthworm|slowking|uxie,carbink|espathra|garganacl|hoopa|revavroom|scovillain,5,1,1.0,6,0,0.0,bodypress|drillrun|knockoff|psychicnoise|psyshock|scald|suckerpunch|waterpulse
battle-gen9randombattle-20614,v4,v2,v2B24ddecf2p8000,0,27,alomomola|arceuspoison|dunsparce|regidrago|registeel|weezing,greninja|hitmonchan|mew|necrozma|polteageist|quaquaval,6,0,0.0,5,1,1.0,bodypress|bodyslam|earthquake|extremespeed|fireblast|ironhead|scald
battle-gen9randombattle-20615,v4,v2,v4A24ddecf2p8000,1,20,arcaninehisui|cetitan|donphan|heracross|hydreigon|latios,chienpao|decidueye|houndoom|minun|sawsbuck|staraptor,6,0,0.0,6,0,0.0,dracometeor|earthquake|extremespeed|iceshard|liquidation|rapidspin
battle-gen9randombattle-20616,v4,v2,v2B24ddecf2p8000,0,26,amoonguss|chienpao|hariyama|maushold|mightyena|vespiquen,chesnaught|lapras|lunala|regice|skeledirge|tentacruel,6,0,0.0,5,1,1.0,airslash|bite|bulletpunch|closecombat|crunch|iciclecrash|sludgebomb
battle-gen9randombattle-20617,v4,v2,v2B24ddecf2p8000,0,21,azelf|flamigo|frosmoth|luvdisc|mabosstiff|staraptor,azumarill|brutebonnet|glimmora|krookodile|lumineon|mewtwo,6,0,0.0,5,1,0.54,bravebird|bugbuzz|fireblast|hurricane|surf|throatchop|wildcharge
battle-gen9randombattle-20618,v4,v2,v4A24ddecf2p8000,1,23,cramorant|dipplin|misdreavus|necrozmadawnwings|passimian|umbreon,houndstone|inteleon|klawf|meganium|mudsdale|muk,4,2,1.236,6,0,0.0,drainpunch|foulplay|gigadrain|shadowball|surf
battle-gen9randombattle-20619,v4,v2,v2B24ddecf2p8000,0,30,glimmora|pachirisu|rillaboom|skuntank|toedscruel|walkingwake,farigiraf|rotomfrost|volcanion,6,0,0.0,3,0,0.0,flamethrower|flipturn|gigadrain|sludgewave|suckerpunch|thunderbolt|woodhammer
battle-gen9randombattle-20620,v4,v2,v2B24ddecf2p8000,0,25,annihilape|granbull|kricketune|manaphy|pecharunt|samurott,corviknight|girafarig|palossand|swalot|sylveon|tsareena,6,0,0.0,5,1,0.67,drainpunch|icebeam|knockoff|malignantchain|playrough|pounce|shadowball|surf
battle-gen9randombattle-20621,v4,v2,v4A24ddecf2p8000,1,16,clawitzer|grumpig|lugia|mabosstiff|mudsdale|yanmega,cinderace|entei|fluttermane|frosmoth|gengar|venusaur,5,1,0.464,6,0,0.0,bugbuzz|earthpower|earthquake|psychicfangs|psychicnoise|waterpulse
battle-gen9randombattle-20622,v4,v2,v2B24ddecf2p8000,0,14,gardevoir|gumshoos|revavroom|sawsbucksummer|taurospaldeacombat|wochien,flygon|infernape|okidogi|sandaconda|vikavolt,6,0,0.0,4,1,0.23,doubleedge|ironhead|knockoff|psychic|throatchop|uturn
battle-gen9randombattle-20623,v4,v2,v2B24ddecf2p8000,0,18,clodsire|hitmonchan|ironthorns|mausholdfour|persianalola|staraptor,cramorant|dipplin|metagross|zebstrika,6,0,0.0,4,0,0.0,bite|darkpulse|doubleedge|earthquake|knockoff|poisonjab|wildcharge
battle-gen9randombattle-20624,v4,v2,v4A24ddecf2p8000,1,16,basculinbluestriped|kricketune|pelipper|persianalola|toxtricity|typhlosion,gallade|gliscor|lurantis|oricoriopompom|passimian|toxtricity,4,2,1.222,6,0,0.0,boomburst|darkpulse|eruption|hydropump|pounce|uturn
battle-gen9randombattle-20625,v4,v2,v2B24ddecf2p8000,0,25,gurdurr|ironcrown|lycanroc|mandibuzz|registeel|sinistcha,clodsire|falinks|furret|grumpig|hatterene|reshiram,6,0,0.0,5,1,0.24,accelerock|drainpunch|foulplay|ironhead|machpunch|matchagotcha|shadowball|tachyoncutter|uturn
battle-gen9randombattle-20626,v4,v2,v2B24ddecf2p8000,0,21,bisharp|charizard|cyclizar|flapple|pecharunt|screamtail,gyarados|ironhands|pikachuworld|regigigas|sandaconda|taurospaldeablaze,6,0,0.0,5,1,0.3,dazzlinggleam|flamethrower|hurricane|malignantchain|outrage|rapidspin|shadowball|suckerpunch
battle-gen9randombattle-20627,v4,v2,v4A24ddecf2p8000,1,17,arceusbug|greedent|greninja|kommoo|sinistcha|wugtrio,bellibolt|corviknight|greattusk|tyranitar|ursalunabloodmoon|ursaring,4,2,1.39,6,0,0.0,aquajet|clangingscales|doubleedge|icebeam|knockoff|shadowball
battle-gen9randombattle-20628,v4,v2,v4A24ddecf2p8000,1,27,corviknight|cresselia|gardevoir|gastrodoneast|inteleon|ironhands,crawdaunt|dodrio|latias|raichu|sandslashalola|zoroarkhisui,5,1,0.133,6,0,0.0,bravebird|earthquake|fakeout|focusblast|hydropump|moonblast|psyshock
battle-gen9randombattle-20629,v4,v2,v4A24ddecf2p8000,1,24,ambipom|armarouge|copperajah|dewgong|entei|luvdisc,appletun|arceuswater|banette|lumineon|sandslashalola|umbreon,5,1,0.259,6,0,0.0,armorcannon|doubleedge|ironhead|knockoff|sacredfire|surf|whirlpool
battle-gen9randombattle-20630,v4,v2,v4A24ddecf2p8000,1,18,archaludon|honchkrow|ironleaves|pikachupartner|pyroar|rayquaza,carbink|lapras|munkidori|phione|torkoal|volbeat,4,2,1.144,6,0,0.0,bodypress|dracometeor|fireblast|outrage|psyblade|surf
battle-gen9randombattle-20631,v4,v2,v2B24ddecf2p8000,0,22,kyuremwhite|snorlax|solgaleo|toucannon|uxie|zekrom,articunogalar|bombirdier|floatzel|gumshoos|persian|regidrago,6,0,0.0,5,1,0.25,bodyslam|boomburst|dracometeor|psychic|uturn
battle-gen9randombattle-20632,v4,v2,v2B24ddecf2p8000,0,34,clodsire|cobalion|cresselia|hydrapple|komala|reshiram,blissey|bronzong|honchkrow|kyogre|mesprit,6,0,0.0,4,1,0.1,ficklebeam|flashcannon|gigadrain|knockoff|moonblast|poisonjab|stoneedge
battle-gen9randombattle-20633,v4,v2,v4A24ddecf2p8000,1,33,bellossom|flamigo|spectrier|swanna|uxie|zarudedada,cacturne|dugtrio|golduck|gothitelle|mudsdale|zoroark,5,1,0.803,6,0,0.0,closecombat|hydropump|knockoff|moonblast|psychicnoise|terablast|uturn
battle-gen9randombattle-20634,v4,v2,v2B24ddecf2p8000,0,19,empoleon|porygon2|pyroar|rillaboom|thundurus|toedscruel,falinks|goodra|weezing,6,0,0.0,2,1,0.8,earthpower|focusblast|hypervoice|knockoff|terablast|woodhammer
battle-gen9randombattle-20635,v4,v2,v2B24ddecf2p8000,0,24,copperajah|dusknoir|hatterene|persian|thundurustherian|torterra,arbok|brambleghast|forretress|haxorus|heatran|lapras,6,0,0.0,5,1,0.18,doubleedge|fakeout|headlongrush|mysticalfire|shadowsneak|superpower|thunderbolt
battle-gen9randombattle-20636,v4,v2,v2B24ddecf2p8000,0,10,eiscuenoice|gardevoir|honchkrow|serperior|stonjourner|venomoth,arbok|magmortar|palkiaorigin|revavroom,6,0,0.0,3,1,0.45,earthquake|icespinner|leafstorm|psyshock|sludgewave|suckerpunch
battle-gen9randombattle-20637,v4,v2,v4A24ddecf2p8000,1,15,brambleghast|dragapult|eelektross|magmortar|skarmory|weavile,conkeldurr|duraludon|ogerponwellspring|samurotthisui|sceptile|scizor,4,2,2.0,6,0,0.0,bodypress|bravebird|discharge|dragondarts|fireblast|powerwhip|rapidspin|scorchingsands|uturn
battle-gen9randombattle-20638,v4,v2,v4A24ddecf2p8000,1,21,arcaninehisui|deoxys|dragonite|electrodehisui|ironjugulis|scizor,bastiodon|flapple|frosmoth|hariyama|latios|magearna,5,1,0.472,6,0,0.0,bulletpunch|closecombat|darkpulse|earthpower|earthquake|extremespeed|outrage|voltswitch
battle-gen9randombattle-20639,v4,v2,v2B24ddecf2p8000,0,17,crawdaunt|glalie|grimmsnarl|rabsca|serperior|smeargle,magmortar|palkia|sinistcha|slowbro|vikavolt,6,0,0.0,4,1,0.27,ceaselessedge|earthquake|freezedry|knockoff|leafstorm|psychic|suckerpunch
battle-gen9randombattle-20640,v4,v2,v2B24ddecf2p8000,0,19,armarouge|beartic|drifblim|golurk|rampardos|regidrago,chesnaught|galvantula|tinkaton|volcarona|walkingwake,6,0,0.0,4,1,0.27,closecombat|dracometeor|earthquake|energyball|shadowball|stoneedge
battle-gen9randombattle-20641,v4,v2,v2B24ddecf2p8000,0,21,araquanid|ceruledge|grimmsnarl|mausholdfour|ogerponwellspring|passimian,cinccino|krookodile|lapras|phione|polteageistantique|tsareena,6,0,0.0,5,1,0.61,bite|bitterblade|closecombat|knockoff|leechlife|populationbomb|powerwhip|shadowsneak|suckerpunch
battle-gen9randombattle-20642,v4,v2,v2B24ddecf2p8000,0,21,basculegion|dragonite|electrodehisui|farigiraf|manaphy|tyranitar,bisharp|hitmonchan|veluza,6,0,0.0,2,1,1.0,aquajet|bodyslam|earthquake|gigadrain|hydropump|icebeam|ironhead|outrage
battle-gen9randombattle-20643,v4,v2,v4A24ddecf2p8000,1,20,azelf|dialgaorigin|ditto|kyogre|regirock|thundurus,dudunsparcethreesegment|manaphy|venomoth|volcanion|zamazenta|zangoose,5,1,1.0,6,0,0.0,energyball|flashcannon|knockoff|psychic|stoneedge|thunder|thunderbolt
battle-gen9randombattle-20644,v4,v2,v2B24ddecf2p8000,0,32,abomasnow|eternatus|oinkologne|ribombee|swanna|zarude,espeon|golduck|inteleon|malamar|misdreavus,6,0,0.0,3,2,1.56,bodyslam|bravebird|closecombat|earthquake|flamethrower|highhorsepower|iceshard|lashout|terablast
battle-gen9randombattle-20645,v4,v2,v2B24ddecf2p8000,0,22,azelf|cacturne|coalossal|dudunsparce|keldeoresolute|squawkabillyyellow,dunsparce|fezandipiti|glalie|hitmonlee|samurotthisui|weezing,6,0,0.0,5,1,0.34,boomburst|bravebird|psychic|quickattack|shadowball|stoneedge|suckerpunch|vacuumwave
battle-gen9randombattle-20646,v4,v2,v4A24ddecf2p8000,1,17,giratina|lucario|ogerpon|orthworm|sudowoodo|sylveon,bronzong|entei|girafarig|revavroom|sceptile|squawkabilly,4,2,1.599,6,0,0.0,bodypress|closecombat|dragonpulse|suckerpunch|superpower
battle-gen9randombattle-20647,v4,v2,v4A24ddecf2p8000,1,17,cresselia|kommoo|mabosstiff|terrakion|tsareena|vespiquen,beartic|cinccino|cyclizar|dragonite|mesprit|regieleki,3,3,1.342,6,0,0.0,closecombat|crunch|psyshock|thunderbolt|tripleaxel|uturn
battle-gen9randombattle-20648,v4,v2,v2B24ddecf2p8000,0,29,chiyu|comfey|flareon|lumineon|ogerponcornerstone|rhyperior,azelf|chansey|moltres|skeledirge|tropius|zacian,6,0,0.0,5,1,0.37,drainingkiss|gigadrain|hydropump|powerwhip|psychic|stoneedge|trailblaze|uturn
battle-gen9randombattle-20649,v4,v2,v4A24ddecf2p8000,1,21,cetitan|chimecho|corviknight|masquerain|passimian|porygon2,farigiraf|mienshao|persianalola|qwilfishhisui|sandaconda|zapdos,5,1,0.901,6,0,0.0,bodypress|dazzlinggleam|gunkshot|hydropump|iceshard|triattack
battle-gen9randombattle-20650,v4,v2,v2B24ddecf2p8000,0,18,entei|exeggutoralola|gengar|grafaiai|hawlucha|mausholdfour,darkrai|noctowl|pawmot|vespiquen,6,0,0.0,3,1,0.33,bite|extremespeed|flamethrower|focusblast|gunkshot|stoneedge
battle-gen9randombattle-20651,v4,v2,v4A24ddecf2p8000,1,19,clodsire|garganacl|kingdra|rotomfrost|serperior|spiritomb,houndoom|hypno|kommoo|lunala|rhyperior|sawsbuck,4,2,1.181,6,0,0.0,blizzard|earthquake|leafstorm|poisonjab|saltcure|suckerpunch
battle-gen9randombattle-20652,v4,v2,v4A24ddecf2p8000,1,18,empoleon|glaceon|golurk|infernape|ironjugulis|venusaur,bruxish|gardevoir|lokix|porygonz|qwilfishhisui|reshiram,5,1,0.183,6,0,0.0,closecombat|flipturn|freezedry|hurricane|overheat|sludgebomb|stoneedge
battle-gen9randombattle-20653,v4,v2,v4A24ddecf2p8000,1,19,dodrio|lycanrocdusk|manaphy|morpeko|rhyperior|squawkabillyblue,ceruledge|decidueye|dialga|miniorviolet|swanna|whimsicott,1,5,2.499,6,0,0.0,aurawheel|bravebird|energyball|hydropump|icebeam|stoneedge
battle-gen9randombattle-20654,v4,v2,v4A24ddecf2p8000,1,18,chienpao|dudunsparcethreesegment|floatzel|meowscarada|mesprit|venomoth,baxcalibur|dugtrio|grimmsnarl|houndoom|regidrago|vikavolt,3,3,2.091,6,0,0.0,dazzlinggleam|icespinner|sludgewave|suckerpunch|wavecrash
battle-gen9randombattle-20655,v4,v2,v4A24ddecf2p8000,1,17,annihilape|delibird|eiscue|lumineon|oinkolognef|sawsbucksummer,cramorant|dipplin|kingdra|magearna|metagross|sunflora,4,2,1.358,6,0,0.0,bodyslam|bravebird|drainpunch|highhorsepower|hornleech|hydropump
battle-gen9randombattle-20656,v4,v2,v2B24ddecf2p8000,0,18,deoxysattack|froslass|gougingfire|greninja|leafeon|mamoswine,drifblim|houndstone|hydreigon|taurospaldeablaze|toxicroak|yanmega,6,0,0.0,5,1,0.16,extremespeed|icebeam|iceshard|leafblade|outrage|poltergeist|psychoboost|tripleaxel
battle-gen9randombattle-20657,v4,v2,v2B24ddecf2p8000,0,21,cetitan|dugtrio|kilowattrel|lycanrocdusk|munkidori|snorlax,arboliva|groudon|jolteon|skuntank|tentacruel,6,0,0.0,4,1,0.8,bodyslam|closecombat|earthquake|hurricane|iceshard|sludgewave|suckerpunch|thunderbolt|uturn
battle-gen9randombattle-20658,v4,v2,v2B24ddecf2p8000,0,17,bellibolt|bisharp|drednaw|exeggutoralola|slitherwing|wugtrio,annihilape|okidogi|seviper|squawkabillyblue,6,0,0.0,3,1,0.49,aquajet|closecombat|flamethrower|muddywater|stoneedge|suckerpunch
battle-gen9randombattle-20659,v4,v2,v2B24ddecf2p8000,0,18,articuno|donphan|exeggutoralola|lokix|palkiaorigin|porygon2,dudunsparce|glastrier|magnezone|torterra,6,0,0.0,3,1,0.04,bravebird|fireblast|firstimpression|freezedry|gigadrain|iceshard|knockoff|terablast
battle-gen9randombattle-20660,v4,v2,v2B24ddecf2p8000,0,31,emboar|jirachi|noctowl|tatsugiri|vileplume|vivillonmonsoon,barraskewda|cinccino|goodrahisui|gothitelle|magnezone|oranguru,6,0,0.0,5,1,0.33,gigadrain|hurricane|ironhead|surf|trailblaze
battle-gen9randombattle-20661,v4,v2,v4A24ddecf2p8000,1,27,chesnaught|cinderace|dipplin|frosmoth|luvdisc|ursaluna,arceuselectric|farigiraf|greninja|hawlucha|raikou|tentacruel,5,1,0.502,6,0,0.0,bodypress|facade|gigadrain|icebeam|suckerpunch|surf
battle-gen9randombattle-20662,v4,v2,v2B24ddecf2p8000,0,21,ceruledge|feraligatr|glaceon|illumise|palkia|sawsbuck,breloom|crabominable|enamorustherian|luvdisc|magearna|tauros,6,0,0.0,5,1,0.79,bugbuzz|closecombat|doubleedge|fireblast|freezedry|liquidation|spacialrend
battle-gen9randombattle-20663,v4,v2,v2B24ddecf2p8000,0,21,blissey|hydreigon|minun|ninetales|palafin|slowkinggalar,bastiodon|gurdurr|ironvaliant|sandaconda|wochien,6,0,0.0,4,1,0.8,dracometeor|scorchingsands|seismictoss|sludgebomb|thunderbolt|uturn|wavecrash
battle-gen9randombattle-20664,v4,v2,v2B24ddecf2p8000,0,66,chandelure|mesprit|mightyena|necrozmaduskmane|taurospaldeaaqua|zacian,blissey|duraludon|kommoo|mudsdale|rotomwash|torkoal,6,0,0.0,5,1,0.68,crunch|fireblast|psychicfangs|shadowball|struggle|suckerpunch|sunsteelstrike|thunderbolt|uturn|wavecrash
battle-gen9randombattle-20665,v4,v2,v2B24ddecf2p8000,0,18,cinderace|electivire|hatterene|ironleaves|keldeoresolute|quagsire,flygon|maushold|mimikyu|raichualola|reshiram|seviper,6,0,0.0,5,1,0.7,earthquake|hydropump|leafblade|psychicnoise|pyroball|supercellslam
battle-gen9randombattle-20666,v4,v2,v2B24ddecf2p8000,0,17,forretress|lugia|persian|taurospaldeaaqua|virizion|weezinggalar,arboliva|azelf|furret|registeel|volcanion|walkingwake,6,0,0.0,5,1,0.23,closecombat|doubleedge|gunkshot|ironhead|knockoff|leafblade|psychicnoise|stoneedge
