battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randombattle-8104,v1,max_power,Oppbba23e73p8000,0,19,blissey|chandelure|hoopaunbound|palkia|samurotthisui|sawsbuckwinter,dedenne|glastrier|okidogi|passimian|slowking,6,0,0.0,5,0,0.0
battle-gen9randombattle-8105,v1,max_power,v1Abba23e73p8000,1,20,fezandipiti|greninja|hatterene|lumineon|mienshao|ragingbolt,ironvaliant|magearna|quagsire|spectrier|volcanion|zekrom,5,1,0.313,6,0,0.0
battle-gen9randombattle-8106,v1,max_power,v1Abba23e73p8000,1,18,breloom|chiyu|komala|lanturn|lokix|toxicroak,darkrai|giratina|gougingfire|hippowdon|meloetta|piloswine,5,1,0.903,6,0,0.0
battle-gen9randombattle-8107,v1,max_power,Oppbba23e73p8000,0,14,cetitan|charizard|kricketune|pikachukalos|skuntank|sunflora,cryogonal|drednaw|plusle|stonjourner|vaporeon,6,0,0.0,4,1,1.0
battle-gen9randombattle-8108,v1,max_power,Oppbba23e73p8000,0,10,dodrio|persianalola|rillaboom|stonjourner|sudowoodo|vikavolt,arboliva|glastrier|heracross,6,0,0.0,2,1,0.48
battle-gen9randombattle-8109,v1,max_power,v1Abba23e73p8000,1,19,palafin|pecharunt|regirock|scovillain|staraptor|vivillonelegant,ironboulder|perrserker|porygonz|sandaconda|skarmory|vileplume,3,3,2.239,6,0,0.0
battle-gen9randombattle-8110,v1,max_power,v1Abba23e73p8000,1,25,bronzong|cramorant|exeggutor|giratinaorigin|mukalola|tornadustherian,bastiodon|falinks|glalie|klefki|shayminsky|suicune,4,2,1.716,6,0,0.0
battle-gen9randombattle-8111,v1,max_power,v1Abba23e73p8000,1,13,dragonite|incineroar|mabosstiff|regieleki|tsareena|wugtrio,flareon|garchomp|greedent|ironbundle|oranguru|tsareena,5,1,0.903,6,0,0.0
battle-gen9randombattle-8112,v1,max_power,v1Abba23e73p8000,1,16,chienpao|lunala|serperior|slitherwing|sneasler|spiritomb,annihilape|crabominable|gholdengo|hypno|regieleki|wochien,4,2,1.629,6,0,0.0
battle-gen9randombattle-8113,v1,max_power,v1Abba23e73p8000,1,16,carbink|florges|medicham|skuntank|slaking|venusaur,brambleghast|coalossal|dialga|pelipper|rayquaza|vaporeon,2,4,3.313,6,0,0.0
battle-gen9randombattle-8114,v1,max_power,v1Abba23e73p8000,1,22,dunsparce|eternatus|feraligatr|ironhands|mamoswine|qwilfish,darkrai|lunala|porygon2|sneasler|spidops|wyrdeer,4,2,1.539,6,0,0.0
battle-gen9randombattle-8115,v1,max_power,v1Abba23e73p8000,1,20,arceusfairy|cresselia|dedenne|hoopa|ironmoth|mandibuzz,hariyama|ironleaves|koraidon|reshiram|tinkaton|typhlosionhisui,4,2,1.486,6,0,0.0
battle-gen9randombattle-8116,v1,max_power,v1Abba23e73p8000,1,10,breloom|entei|falinks|flareon|kingdra|swanna,golem|klefki|necrozmadawnwings|porygonz|primarina|registeel,4,2,1.216,6,0,0.0
battle-gen9randombattle-8117,v1,max_power,v1Abba23e73p8000,1,20,blaziken|dugtrio|enamorustherian|mismagius|oranguru|scrafty,hitmonchan|ironboulder|irontreads|lurantis|regieleki|snorlax,5,1,0.934,6,0,0.0
battle-gen9randombattle-8118,v1,max_power,v1Abba23e73p8000,1,17,amoonguss|cetitan|cloyster|miniorgreen|pawmot|rotom,flamigo|mightyena|milotic|qwilfishhisui|regirock|sneasler,4,2,1.901,6,0,0.0
battle-gen9randombattle-8119,v1,max_power,v1Abba23e73p8000,1,18,brambleghast|clawitzer|greedent|irontreads|manaphy|maushold,deoxysattack|gogoat|kyurem|leavanny|lumineon|regigigas,3,3,1.536,6,0,0.0
battle-gen9randombattle-8120,v1,max_power,v1Abba23e73p8000,1,29,hariyama|illumise|miniorviolet|skeledirge|snorlax|zarude,dachsbun|latios|rotom|uxie|weezing|zebstrika,3,3,3.0,6,0,0.0
