battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randombattle-59425,v6,max_power,v6Ab13419c2p8000,1,23,arceus|articuno|cinderace|metagross|poliwrath|zapdos,corviknight|floatzel|froslass|greedent|mewtwo|registeel,3,3,3.0,6,0,0.0,earthquake|extremespeed|hurricane|pyroball|shadowclaw|swordsdance|thunderbolt
battle-gen9randombattle-59426,v6,max_power,v6Ab13419c2p8000,1,26,emboar|gastrodoneast|giratina|meowscarada|pincurchin|tropius,ditto|indeedeef|keldeoresolute|oricoriopompom|perrserker|scizor,4,2,1.513,6,0,0.0,dragonpulse|drainpunch|dualwingbeat|knockoff|thunderbolt
battle-gen9randombattle-59427,v6,max_power,Oppb13419c2p8000,0,20,cobalion|greedent|hitmontop|irontreads|swalot|venomoth,cramorant|entei|ironvaliant|kommoo|ogerpon|whiscash,6,0,0.0,5,1,0.1,closecombat|doubleedge|earthquake|flashcannon|ironhead|sludgewave
battle-gen9randombattle-59428,v6,max_power,Oppb13419c2p8000,0,21,furret|inteleon|koraidon|magnezone|mamoswine|ragingbolt,feraligatr|ironbundle|ninetalesalola|okidogi|salazzle|slitherwing,6,0,0.0,5,1,1.0,collisioncourse|discharge|doubleedge|dracometeor|earthquake|flareblitz|hydropump|thunderbolt
battle-gen9randombattle-59429,v6,max_power,v6Ab13419c2p8000,1,15,arceussteel|fezandipiti|mausholdfour|necrozmadawnwings|raikou|urshifurapidstrike,coalossal|gyarados|kingdra|koraidon|lokix|sceptile,3,3,2.07,6,0,0.0,earthquake|gunkshot|judgment|photongeyser|playrough|thunderbolt
battle-gen9randombattle-59430,v6,max_power,v6Ab13419c2p8000,1,15,coalossal|honchkrow|quaquaval|scizor|vivillonsandstorm|weezing,chansey|cobalion|komala|kricketune|salamence|spidops,3,3,2.934,6,0,0.0,bravebird|bulletpunch|fireblast|overheat|stoneedge
battle-gen9randombattle-59431,v6,max_power,v6Ab13419c2p8000,1,28,dondozo|enamorus|golurk|kricketune|lunala|toxtricity,ceruledge|chesnaught|golem|milotic|volcanion|whimsicott,4,2,1.071,6,0,0.0,moongeistbeam|playrough|pounce|sludgewave|wavecrash
battle-gen9randombattle-59432,v6,max_power,v6Ab13419c2p8000,1,16,dunsparce|garganacl|granbull|groudon|salazzle|slitherwing,chandelure|clawitzer|ironleaves|metagross|mudsdale|sceptile,4,2,1.841,6,0,0.0,closecombat|earthquake|fireblast|leechlife|playrough|precipiceblades|stoneedge
battle-gen9randombattle-59433,v6,max_power,v6Ab13419c2p8000,1,18,ambipom|appletun|golduck|metagross|sceptile|urshifurapidstrike,beartic|girafarig|glimmora|kommoo|reshiram|reuniclus,5,1,0.901,6,0,0.0,closecombat|doubleedge|dracometeor|earthquake|hydropump|knockoff|rockslide
battle-gen9randombattle-59434,v6,max_power,v6Ab13419c2p8000,1,13,corviknight|dondozo|incineroar|latias|walkingwake|zebstrika,cinccino|garchomp|mimikyu|passimian|ribombee|urshifu,4,2,1.657,6,0,0.0,bravebird|dracometeor|overheat|psyshock|wavecrash
battle-gen9randombattle-59435,v6,max_power,v6Ab13419c2p8000,1,14,falinks|flapple|glaceon|greninja|sudowoodo|swalot,brutebonnet|donphan|drednaw|falinks|skuntank|staraptor,4,2,1.926,6,0,0.0,closecombat|freezedry|headsmash|outrage|sludgebomb|woodhammer
