battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randombattle-129268,v3,random,v3A922b53fe,1,17,bisharp|crawdaunt|grafaiai|haxorus|hitmontop|quagsire,entei|flamigo|glimmora|ironbundle|regice|regidrago,2,4,3.695,6,0,0.0,crabhammer|earthquake|icebeam|outrage
battle-gen9randombattle-129269,v3,random,v3A922b53fe,1,26,comfey|dragonite|giratinaorigin|glalie|granbull|spectrier,cinderace|crabominable|fezandipiti|gastrodoneast|jumpluff|pyroar,2,4,3.024,6,0,0.0,dracometeor|earthquake|playrough|shadowball|terablast
battle-gen9randombattle-129270,v3,random,v3A922b53fe,1,21,chiyu|cyclizar|inteleon|muk|terrakion|zacian,carbink|gougingfire|haxorus|hoopa|irontreads|rabsca,5,1,1.0,6,0,0.0,closecombat|crunch|gunkshot|hydropump|playrough|psychic|rapidspin
battle-gen9randombattle-129271,v3,random,v3A922b53fe,1,22,crawdaunt|gothitelle|greattusk|landorustherian|metagross|registeel,diancie|froslass|meganium|necrozmadawnwings|salazzle|solgaleo,1,5,3.854,6,0,0.0,bodypress|earthquake|ironhead|knockoff|stoneedge
battle-gen9randombattle-129272,v3,random,Opp922b53fe,0,50,donphan|dragalge|dugtrioalola|phione|yanmega|zoroark,cresselia|haxorus|leavanny|ludicolo|lunala|tinkaton,6,0,0.0,5,1,0.45,airslash|bugbuzz|darkpulse|dracometeor|earthquake|focusblast|scald|stoneedge
battle-gen9randombattle-129273,v3,random,v3A922b53fe,1,18,braviaryhisui|gastrodoneast|heatran|oinkolognef|pecharunt|trevenant,avalugg|bellossom|flareon|indeedee|overqwil|primarina,1,5,4.726,6,0,0.0,bodyslam|drainpunch|highhorsepower|poltergeist
battle-gen9randombattle-129274,v3,random,v3A922b53fe,1,26,blastoise|bronzong|fluttermane|qwilfish|toxtricity|vespiquen,arcaninehisui|clodsire|lapras|pawmot|slaking|tatsugiri,2,4,3.918,6,0,0.0,bodypress|gunkshot|ironhead
battle-gen9randombattle-129275,v3,random,v3A922b53fe,1,37,chesnaught|dewgong|ironbundle|jirachi|sunflora|zebstrika,corviknight|empoleon|hydreigon|pikachukalos|snorlax|veluza,2,4,4.0,6,0,0.0,bodypress|hydropump|icebeam|knockoff|surf
battle-gen9randombattle-129276,v3,random,v3A922b53fe,1,11,appletun|espeon|heracross|regidrago|skarmory|toucannon,dugtrio|fezandipiti|fluttermane|greedent|mausholdfour|meowstic,2,4,3.901,6,0,0.0,beakblast|boomburst|dragonclaw|psychic
battle-gen9randombattle-129277,v3,random,v3A922b53fe,1,25,chienpao|gougingfire|ludicolo|sneasler|tatsugiri|zarude,corviknight|feraligatr|latias|registeel|urshifu|veluza,5,1,0.903,6,0,0.0,dracometeor|gunkshot|hydropump|leafstorm|outrage|powerwhip|sacredsword
battle-gen9randombattle-129278,v3,random,v3A922b53fe,1,22,gardevoir|lapras|lucario|manaphy|slowkinggalar|volcarona,amoonguss|bellibolt|hypno|inteleon|oinkolognef|zapdosgalar,2,4,2.479,6,0,0.0,aurasphere|flashcannon|moonblast|psychic|psyshock|sludgebomb|sparklingaria
battle-gen9randombattle-129279,v3,random,v3A922b53fe,1,24,delphox|dragalge|latias|leavanny|ogerponhearthflame|regieleki,ariados|bronzong|deoxysattack|entei|sinistchamasterpiece|stonjourner,1,5,4.753,6,0,0.0,dracometeor|fireblast|psyshock
battle-gen9randombattle-129280,v3,random,v3A922b53fe,1,14,golemalola|kingambit|reuniclus|torterra|toucannon|yanmega,kommoo|meowscarada|ogerpon|oricorio|piloswine|salazzle,0,6,5.012,6,0,0.0,focusblast|psychic
battle-gen9randombattle-129281,v3,random,v3A922b53fe,1,25,golemalola|jolteon|lunala|misdreavus|porygonz|wyrdeer,ceruledge|granbull|mamoswine|sandaconda|spectrier|ursaring,1,5,4.026,6,0,0.0,moongeistbeam|psyshock|shadowball
battle-gen9randombattle-129282,v3,random,v3A922b53fe,1,28,ambipom|crawdaunt|delphox|exeggutoralola|latias|whiscash,ariados|bronzong|leafeon|probopass|squawkabillyblue|vigoroth,4,2,1.513,6,0,0.0,crabhammer|doubleedge|dracometeor|flamethrower|knockoff|psyshock|woodhammer
battle-gen9randombattle-129283,v3,random,v3A922b53fe,1,22,arbok|delibird|goodra|magcargo|rampardos|samurott,bastiodon|beartic|chesnaught|scizor|sneasler|veluza,2,4,3.66,6,0,0.0,bravebird|earthpower|fireblast|firepunch|freezedry|powergem
battle-gen9randombattle-129284,v3,random,v3A922b53fe,1,23,dachsbun|kricketune|luvdisc|miniorindigo|stonjourner|typhlosion,clodsire|floatzel|ironhands|maushold|ogerpon|tauros,2,4,3.406,6,0,0.0,acrobatics|bodypress|earthquake|playrough|powergem|surf
battle-gen9randombattle-129285,v3,random,v3A922b53fe,1,19,fezandipiti|mabosstiff|mightyena|misdreavus|pyroar|wyrdeer,bruxish|copperajah|ironbundle|mimikyubusted|spectrier|umbreon,1,5,4.009,6,0,0.0,drainingkiss|earthquake|psychicnoise|shadowball
battle-gen9randombattle-129286,v3,random,Opp922b53fe,0,26,cyclizar|lurantis|passimian|pecharunt|spectrier|vivillontundra,espathra|fezandipiti|maushold|slitherwing|staraptor|zarude,6,0,0.0,5,1,0.26,dracometeor|drainingkiss|hurricane|knockoff|leafstorm|malignantchain|rapidspin|shadowball|superpower
battle-gen9randombattle-129287,v3,random,v3A922b53fe,1,32,delphox|gurdurr|leavanny|serperior|smeargle|vigoroth,araquanid|arceusdragon|gallade|klefki|necrozmaduskmane|vivillonocean,3,3,3.0,6,0,0.0,bodyslam|ceaselessedge|knockoff
battle-gen9randombattle-129288,v3,random,v3A922b53fe,1,21,azelf|chiyu|furret|houndstone|ludicolo|palossand,chimecho|darkrai|keldeoresolute|talonflame|ursaring|weavile,1,5,5.0,6,0,0.0,earthpower|fireblast|knockoff|psychic
battle-gen9randombattle-129289,v3,random,v3A922b53fe,1,24,ambipom|dewgong|glimmora|meowstic|tauros|torterra,brutebonnet|cramorant|deoxysspeed|hydreigon|lapras|ragingbolt,2,4,4.0,6,0,0.0,headlongrush|icebeam|knockoff|meteorbeam|rockblast|surf|uturn
battle-gen9randombattle-129290,v3,random,v3A922b53fe,1,24,arceusfire|excadrill|frosmoth|hitmonlee|thundurus|umbreon,cetitan|latias|palkiaorigin|raikou|terrakion|zebstrika,1,5,4.327,6,0,0.0,acrobatics|foulplay|knockoff|thunderbolt
battle-gen9randombattle-129291,v3,random,v3A922b53fe,1,33,donphan|goodrahisui|malamar|pachirisu|polteageistantique|vivillonsavanna,ironjugulis|klefki|moltres|palossand|regirock|swampert,3,3,2.615,6,0,0.0,dracometeor|earthquake|fireblast|hurricane|shadowball|uturn
battle-gen9randombattle-129292,v3,random,v3A922b53fe,1,19,braviary|kyurem|lugia|milotic|scizor|zebstrika,feraligatr|garchomp|granbull|overqwil|palafinhero|sceptile,4,2,1.663,6,0,0.0,aeroblast|bravebird|bulletpunch|closecombat|earthpower|highhorsepower|iciclespear|supercellslam|terablast
battle-gen9randombattle-129293,v3,random,v3A922b53fe,1,23,bombirdier|dunsparce|inteleon|primarina|regieleki|salazzle,hippowdon|indeedee|metagross|sunflora|thundurus|wugtrio,3,3,3.0,6,0,0.0,bodyslam|bravebird|fireblast|knockoff|moonblast|uturn
battle-gen9randombattle-129294,v3,random,v3A922b53fe,1,22,alomomola|bronzong|donphan|fezandipiti|landorustherian|necrozma,beartic|dunsparce|hariyama|lucario|metagross|mew,2,4,3.686,6,0,0.0,earthquake|knockoff|photongeyser|psychicnoise
battle-gen9randombattle-129295,v3,random,v3A922b53fe,1,33,keldeoresolute|lilliganthisui|qwilfishhisui|regirock|torkoal|wochien,flapple|giratina|kingambit|ninetalesalola|persian|wigglytuff,2,4,4.0,6,0,0.0,bodypress|fireblast|knockoff|solarbeam|stoneedge
