battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randombattle-129168,v6,v1,v6Aa51e30fb,1,13,gallade|jolteon|kingdra|meloetta|revavroom|slaking,banette|brambleghast|dondozo|reuniclus|sunflora|terrakion,4,2,1.191,6,0,0.0,closecombat|gunkshot|knockoff|nightslash|outrage|sacredsword|shadowball|thunderbolt
battle-gen9randombattle-129169,v6,v1,v1Ba51e30fb,0,12,ampharos|articunogalar|kricketune|suicune|sunflora|yanmega,furret|koraidon|sandyshocks|sceptile,6,0,0.0,3,1,0.57,airslash|focusblast|hurricane|leafstorm|pounce|scald
battle-gen9randombattle-129170,v6,v1,v6Aa51e30fb,1,15,mamoswine|noctowl|persianalola|shiftry|slowbrogalar|wigglytuff,carbink|cyclizar|froslass|landorustherian|leafeon|venomoth,3,3,2.233,6,0,0.0,dazzlinggleam|earthquake|foulplay|iciclecrash|leafblade|psychic|shellsidearm|surf
battle-gen9randombattle-129171,v6,v1,v1Ba51e30fb,0,12,brutebonnet|cresselia|cyclizar|komala|lunala|vikavolt,latias|spectrier|terrakion,6,0,0.0,2,1,0.36,bugbuzz|dracometeor|earthquake|energyball|moongeistbeam|psyshock|seedbomb
battle-gen9randombattle-129172,v6,v1,v1Ba51e30fb,0,17,bellossom|dusknoir|granbull|ironjugulis|piloswine|rotommow,barraskewda|hatterene|ironbundle|ogerpon|pawmot|slaking,6,0,0.0,5,1,0.25,earthquake|focuspunch|gigadrain|hurricane|leafstorm|playrough|poltergeist|sludgebomb
battle-gen9randombattle-129173,v6,v1,v6Aa51e30fb,1,12,alcremie|armarouge|dragalge|greedent|moltresgalar|quaquaval,clodsire|espeon|mimikyu|skarmory|toxtricity|zarude,4,2,1.319,6,0,0.0,alluringvoice|aquastep|armorcannon|bodyslam|fierywrath|hurricane|knockoff|psyshock
battle-gen9randombattle-129174,v6,v1,v6Aa51e30fb,1,14,bombirdier|conkeldurr|indeedeef|ironboulder|sunflora|sylveon,dedenne|gholdengo|mienshao|mudsdale|serperior|tinglu,3,3,2.263,6,0,0.0,closecombat|leafstorm|suckerpunch|wish
battle-gen9randombattle-129175,v6,v1,v6Aa51e30fb,1,12,cacturne|flareon|flygon|groudon|indeedee|perrserker,delphox|espathra|infernape|meganium|phione|toxapex,3,3,2.055,6,0,0.0,closecombat|earthquake|expandingforce|flareblitz|outrage
battle-gen9randombattle-129176,v6,v1,v1Ba51e30fb,0,17,alcremiecaramelswirl|ampharos|archaludon|conkeldurr|excadrill|greedent,conkeldurr|dudunsparcethreesegment|gallade|haxorus|kingambit|sylveon,6,0,0.0,5,1,0.33,alluringvoice|closecombat|dazzlinggleam|doubleedge|dracometeor|earthquake|flashcannon
battle-gen9randombattle-129177,v6,v1,v1Ba51e30fb,0,13,gastrodon|koraidon|lucario|miraidon|sceptile|slaking,bellossom|charizard|conkeldurr|flareon|ironbundle|regidrago,6,0,0.0,5,1,1.0,closecombat|electrodrift|flareblitz|focusblast|gigaimpact|recharge|sludgebomb
battle-gen9randombattle-129178,v6,v1,v1Ba51e30fb,0,12,decidueye|hariyama|ironjugulis|mew|pincurchin|rabsca,banette|ironleaves|kleavor|medicham|swampert|vileplume,6,0,0.0,5,1,0.61,closecombat|darkpulse|hurricane|meteorbeam|psychic|spiritshackle|thunderbolt
battle-gen9randombattle-129179,v6,v1,v1Ba51e30fb,0,22,cryogonal|ditto|duraludon|eelektross|miniorblue|spidops,cinccino|exeggutor|flapple|garganacl|ironmoth|regice,6,0,0.0,4,2,1.31,acrobatics|closecombat|dracometeor|flashcannon|icebeam|powergem|thunderbolt|uturn
battle-gen9randombattle-129180,v6,v1,v1Ba51e30fb,0,16,brutebonnet|delibird|gumshoos|typhlosionhisui|ursaring|uxie,ariados|bastiodon|bellossom|golurk|volcanion,6,0,0.0,4,1,0.52,closecombat|doubleedge|focusblast|freezedry|psychicnoise|suckerpunch
battle-gen9randombattle-129181,v6,v1,v1Ba51e30fb,0,25,ampharos|ceruledge|deoxysspeed|forretress|honchkrow|lumineon,blaziken|bombirdier|delibird|farigiraf|jolteon|lapras,6,0,0.0,5,1,1.0,bravebird|focusblast|hydropump|icebeam|ironhead|poltergeist|thunderbolt|uturn
battle-gen9randombattle-129182,v6,v1,v1Ba51e30fb,0,17,forretress|grumpig|palossand|phione|raichualola|toedscruel,cobalion|dachsbun|lunala|slitherwing|spiritomb,6,0,0.0,4,1,0.69,alluringvoice|earthpower|ironhead|psyshock|scald|shadowball|sludgebomb
battle-gen9randombattle-129183,v6,v1,v1Ba51e30fb,0,19,golemalola|ironcrown|kommoo|milotic|miniorgreen|piloswine,grafaiai|terapagos|umbreon|volbeat|whiscash,6,0,0.0,3,2,1.18,closecombat|earthquake|explosion|focusblast|scald
battle-gen9randombattle-129184,v6,v1,v6Aa51e30fb,1,14,arboliva|ceruledge|hawlucha|houndoom|metagross|oinkologne,kilowattrel|lugia|magearna|mamoswine|toxtricity|trevenant,3,3,3.0,6,0,0.0,bitterblade|bodyslam|darkpulse|earthquake|fireblast|highhorsepower|lashout|psychicfangs
battle-gen9randombattle-129185,v6,v1,v1Ba51e30fb,0,14,altaria|ambipom|fluttermane|furret|glastrier|salazzle,basculin|ironhands|oricoriosensu|regirock,6,0,0.0,3,1,0.06,closecombat|doubleedge|earthquake|flamethrower|knockoff|moonblast
battle-gen9randombattle-129186,v6,v1,v1Ba51e30fb,0,17,carbink|copperajah|gastrodoneast|gougingfire|hariyama|walkingwake,gyarados|kingambit|kricketune|mewtwo|sawsbuckwinter|walkingwake,6,0,0.0,5,1,0.75,closecombat|dracometeor|earthquake|ironhead|moonblast|outrage|stoneedge
battle-gen9randombattle-129187,v6,v1,v6Aa51e30fb,1,25,bastiodon|flygon|mewtwo|pachirisu|primarina|scovillain,alcremierubyswirl|deoxysattack|galvantula|mesprit|mudsdale|snorlax,5,1,0.381,6,0,0.0,bodypress|darkpulse|discharge|flamethrower|foulplay|moonblast|outrage|psystrike
battle-gen9randombattle-129188,v6,v1,v1Ba51e30fb,0,17,ceruledge|dunsparce|furret|glaceon|palossand|primarina,clawitzer|dudunsparce|gumshoos|latias|perrserker|sylveon,6,0,0.0,5,1,0.01,bodyslam|doubleedge|earthpower|freezedry|hydropump|mudshot|poltergeist|shadowball
battle-gen9randombattle-129189,v6,v1,v1Ba51e30fb,0,20,arceusrock|cresselia|klefki|swanna|toxicroak|vivilloncontinental,clodsire|gastrodon|jirachi|kommoo|passimian|zekrom,6,0,0.0,5,1,0.24,earthquake|gunkshot|hurricane|hydropump|moonblast|playrough|psyshock
battle-gen9randombattle-129190,v6,v1,v6Aa51e30fb,1,17,gholdengo|gougingfire|gurdurr|malamar|slowbrogalar|ursaring,golduck|hawlucha|infernape|mabosstiff|overqwil|skarmory,5,1,0.353,6,0,0.0,closecombat|drainpunch|earthquake|outrage|psychic|shadowball|shellsidearm|superpower
battle-gen9randombattle-129191,v6,v1,v1Ba51e30fb,0,19,cyclizar|duraludon|kricketune|morpeko|palafin|solgaleo,chimecho|ninetales|politoed|suicune,6,0,0.0,3,1,0.03,aurawheel|dracometeor|flashcannon|knockoff|psychicfangs|sunsteelstrike|wavecrash
battle-gen9randombattle-129192,v6,v1,v1Ba51e30fb,0,14,delibird|garganacl|mienshao|mismagius|oricoriopompom|pecharunt,gothitelle|grumpig|toxtricity|yanmega,6,0,0.0,3,1,1.0,hurricane|icespinner|saltcure|shadowball|uturn
battle-gen9randombattle-129193,v6,v1,v1Ba51e30fb,0,18,electrode|lapras|mandibuzz|ogerpon|scizor|vaporeon,dunsparce|glimmora|golduck|lurantis|zekrom,6,0,0.0,4,1,0.61,bulletpunch|closecombat|earthquake|explosion|foulplay|iciclespear|scald|superpower|waterfall
battle-gen9randombattle-129194,v6,v1,v1Ba51e30fb,0,19,alomomola|comfey|cramorant|kingambit|rillaboom|volbeat,komala|kricketune|lurantis|magearna|toxapex|ursaluna,6,0,0.0,5,1,0.09,bravebird|flipturn|kowtowcleave|lunge|surf|terablast|woodhammer
