battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-61089,v1,random,v1Ab728c380p8000,1,13,bruxish|drednaw|farigiraf|groudon|regigigas|roaringmoon,chimecho|conkeldurr|mienshao|pecharunt|toedscruel|zangoose,2,4,3.579,6,0,0.0
battle-gen9randomdoublesbattle-61090,v1,random,v1Ab728c380p8000,1,13,bellossom|cloyster|eternatus|jolteon|sawsbucksummer|tatsugiri,cresselia|magmortar|medicham|polteageist|sableye|slitherwing,2,4,3.206,6,0,0.0
battle-gen9randomdoublesbattle-61091,v1,random,v1Ab728c380p8000,1,8,alcremiemintcream|klefki|lumineon|murkrow|typhlosionhisui|zapdos,arcaninehisui|dusknoir|keldeoresolute|miraidon|ragingbolt|torterra,2,4,3.315,6,0,0.0
battle-gen9randomdoublesbattle-61092,v1,random,v1Ab728c380p8000,1,10,alomomola|glaceon|lokix|persian|screamtail|vespiquen,gallade|krookodile|luvdisc|magmortar|meowsticf|noivern,1,5,4.69,6,0,0.0
battle-gen9randomdoublesbattle-61093,v1,random,v1Ab728c380p8000,1,10,crawdaunt|glaceon|kommoo|oricorio|overqwil|shayminsky,carbink|cetitan|chimecho|flapple|masquerain|victreebel,2,4,2.991,6,0,0.0
battle-gen9randomdoublesbattle-61094,v1,random,v1Ab728c380p8000,1,8,appletun|ironjugulis|kyuremblack|mamoswine|scizor|wigglytuff,appletun|arboliva|fluttermane|heatran|mamoswine|murkrow,2,4,3.016,6,0,0.0
battle-gen9randomdoublesbattle-61095,v1,random,v1Ab728c380p8000,1,10,metagross|minun|murkrow|necrozmaduskmane|scovillain|wochien,galvantula|haxorus|hippowdon|jirachi|scrafty|venomoth,2,4,4.0,6,0,0.0
battle-gen9randomdoublesbattle-61096,v1,random,v1Ab728c380p8000,1,10,meowscarada|registeel|skarmory|spiritomb|sylveon|talonflame,amoonguss|kleavor|mesprit|overqwil|rabsca|zebstrika,2,4,3.833,6,0,0.0
battle-gen9randomdoublesbattle-61097,v1,random,v1Ab728c380p8000,1,6,ampharos|articunogalar|hippowdon|indeedeef|kingambit|shaymin,clefable|floatzel|gholdengo|lilliganthisui|mew|murkrow,0,6,5.664,6,0,0.0
battle-gen9randomdoublesbattle-61098,v1,random,v1Ab728c380p8000,1,9,bombirdier|clefairy|manaphy|morpeko|victreebel|virizion,diancie|lanturn|mewtwo|oranguru|qwilfish|scovillain,2,4,2.759,6,0,0.0
battle-gen9randomdoublesbattle-61099,v1,random,v1Ab728c380p8000,1,9,bellibolt|falinks|ironjugulis|manaphy|mewtwo|slowking,ariados|clawitzer|dodrio|florgesblue|mienshao|rillaboom,2,4,3.422,6,0,0.0
battle-gen9randomdoublesbattle-61100,v1,random,v1Ab728c380p8000,1,10,altaria|camerupt|darkrai|ditto|sinistcha|zekrom,abomasnow|ceruledge|dedenne|honchkrow|ironleaves|wyrdeer,2,4,3.965,6,0,0.0
battle-gen9randomdoublesbattle-61101,v1,random,v1Ab728c380p8000,1,8,greninja|ironvaliant|pincurchin|scyther|skeledirge|volcanion,azelf|glalie|kingdra|luvdisc|raikou|regieleki,3,3,2.16,6,0,0.0
battle-gen9randomdoublesbattle-61102,v1,random,v1Ab728c380p8000,1,7,barraskewda|magmar|okidogi|palkia|rabsca|staraptor,drednaw|lilliganthisui|passimian|seviper|spidops|stonjourner,1,5,4.921,6,0,0.0
battle-gen9randomdoublesbattle-61103,v1,random,v1Ab728c380p8000,1,5,araquanid|gumshoos|krookodile|magearnaoriginal|weavile|zekrom,annihilape|cinderace|froslass|goodra|gumshoos|ironmoth,0,6,5.587,6,0,0.0
battle-gen9randomdoublesbattle-61104,v1,random,v1Ab728c380p8000,1,6,abomasnow|floatzel|florges|groudon|kleavor|zarude,greedent|haxorus|magmortar|ogerpon|scyther|seviper,1,5,3.796,6,0,0.0
battle-gen9randomdoublesbattle-61105,v1,random,v1Ab728c380p8000,1,6,glastrier|moltresgalar|noivern|rillaboom|samurotthisui|wigglytuff,dragapult|indeedee|ironcrown|kommoo|morpeko|pikachualola,2,4,3.887,6,0,0.0
battle-gen9randomdoublesbattle-61106,v1,random,v1Ab728c380p8000,1,13,electivire|illumise|lumineon|rotomfrost|sandaconda|vespiquen,armarouge|chesnaught|cinccino|magmar|ragingbolt|sunflora,2,4,3.627,6,0,0.0
battle-gen9randomdoublesbattle-61107,v1,random,v1Ab728c380p8000,1,9,hariyama|heracross|ironthorns|regigigas|thundurus|umbreon,arceusgrass|eelektross|greedent|klefki|regidrago|stonjourner,2,4,3.312,6,0,0.0
battle-gen9randomdoublesbattle-61108,v1,random,v1Ab728c380p8000,1,7,grumpig|kilowattrel|ninetalesalola|slowbrogalar|volbeat|zekrom,bombirdier|cinderace|dondozo|inteleon|sandaconda|scrafty,1,5,3.701,6,0,0.0
battle-gen9randomdoublesbattle-61109,v1,random,v1Ab728c380p8000,1,8,feraligatr|furret|lanturn|lucario|miraidon|victreebel,bombirdier|hariyama|inteleon|kingambit|latios|rotomheat,3,3,2.054,6,0,0.0
battle-gen9randomdoublesbattle-61110,v1,random,v1Ab728c380p8000,1,6,glalie|komala|pawmot|poliwrath|rayquaza|sceptile,alcremiecaramelswirl|glalie|klawf|kyogre|pachirisu|venusaur,2,4,4.0,6,0,0.0
battle-gen9randomdoublesbattle-61111,v1,random,v1Ab728c380p8000,1,11,crawdaunt|irontreads|meowstic|rampardos|revavroom|slowking,chandelure|greedent|groudon|hydreigon|mamoswine|rotomfan,3,3,2.152,6,0,0.0
battle-gen9randomdoublesbattle-61112,v1,random,v1Ab728c380p8000,1,7,ironjugulis|jirachi|oinkolognef|tyranitar|uxie|vileplume,avalugghisui|corviknight|donphan|glalie|latios|rhyperior,1,5,4.68,6,0,0.0
battle-gen9randomdoublesbattle-61113,v1,random,v1Ab728c380p8000,1,7,azelf|flygon|granbull|hydreigon|incineroar|sandslash,clefable|goodrahisui|ironleaves|minun|perrserker|torterra,2,4,3.802,6,0,0.0
battle-gen9randomdoublesbattle-61114,v1,random,v1Ab728c380p8000,1,11,bronzong|coalossal|ironjugulis|quagsire|regigigas|uxie,cryogonal|dondozo|gliscor|scovillain|spectrier|typhlosion,1,5,4.139,6,0,0.0
battle-gen9randomdoublesbattle-61115,v1,random,v1Ab728c380p8000,1,8,bombirdier|comfey|greattusk|hoopaunbound|rhyperior|zangoose,deoxysspeed|hitmonlee|kilowattrel|magmortar|noctowl|taurospaldeablaze,1,5,4.601,6,0,0.0
battle-gen9randomdoublesbattle-61116,v1,random,v1Ab728c380p8000,1,11,azelf|baxcalibur|beartic|rillaboom|sandyshocks|smeargle,brambleghast|gardevoir|magmortar|oranguru|scrafty|toxapex,2,4,3.254,6,0,0.0
battle-gen9randomdoublesbattle-61117,v1,random,v1Ab728c380p8000,1,9,dugtrio|enamorustherian|kleavor|palafin|registeel|volcarona,dodrio|entei|gothitelle|meowsticf|ogerponcornerstone|perrserker,2,4,3.972,6,0,0.0
battle-gen9randomdoublesbattle-61118,v1,random,v1Ab728c380p8000,1,9,conkeldurr|overqwil|regidrago|scyther|tatsugiri|ursalunabloodmoon,alcremielemoncream|cinccino|conkeldurr|gougingfire|rampardos|regigigas,1,5,4.053,6,0,0.0
battle-gen9randomdoublesbattle-61119,v1,random,v1Ab728c380p8000,1,7,darkrai|klefki|lapras|reshiram|tatsugiri|victreebel,amoonguss|clefable|luvdisc|miraidon|murkrow|zangoose,1,5,4.307,6,0,0.0
battle-gen9randomdoublesbattle-61120,v1,random,v1Ab728c380p8000,1,5,chiyu|cinccino|gardevoir|hydrapple|medicham|victreebel,cyclizar|flamigo|froslass|frosmoth|glimmora|kingdra,1,5,5.0,6,0,0.0
battle-gen9randomdoublesbattle-61121,v1,random,v1Ab728c380p8000,1,11,alcremiemintcream|gougingfire|kingambit|palkia|toedscruel|vaporeon,arcanine|cacturne|ironthorns|latias|scovillain|zaciancrowned,2,4,2.351,6,0,0.0
battle-gen9randomdoublesbattle-61122,v1,random,v1Ab728c380p8000,1,12,dachsbun|enamorustherian|hypno|mabosstiff|mienshao|necrozmadawnwings,delphox|metagross|oinkolognef|oricoriosensu|tauros|tornadus,2,4,3.648,6,0,0.0
battle-gen9randomdoublesbattle-61123,v1,random,v1Ab728c380p8000,1,9,calyrexice|giratinaorigin|hitmontop|manaphy|skarmory|weavile,clefable|dusknoir|ironjugulis|mudsdale|ninetales|regidrago,1,5,5.0,6,0,0.0
battle-gen9randomdoublesbattle-61124,v1,random,v1Ab728c380p8000,1,6,cinderace|gliscor|gothitelle|ninetales|venusaur|wigglytuff,breloom|comfey|copperajah|rhydon|wyrdeer|zamazenta,1,5,4.277,6,0,0.0
battle-gen9randomdoublesbattle-61125,v1,random,v1Ab728c380p8000,1,9,espeon|excadrill|garganacl|lanturn|ogerponhearthflame|samurotthisui,dipplin|electabuzz|kricketune|reshiram|skarmory|vikavolt,1,5,4.861,6,0,0.0
battle-gen9randomdoublesbattle-61126,v1,random,v1Ab728c380p8000,1,8,arbok|crawdaunt|goodra|grimmsnarl|miniorviolet|tinkaton,dragapult|drednaw|galvantula|miniorindigo|sableye|venusaur,2,4,4.0,6,0,0.0
battle-gen9randomdoublesbattle-61127,v1,random,v1Ab728c380p8000,1,8,galvantula|krookodile|magmortar|regirock|screamtail|taurospaldeaaqua,baxcalibur|dragalge|kilowattrel|magmar|maushold|sceptile,2,4,3.36,6,0,0.0
battle-gen9randomdoublesbattle-61128,v1,random,v1Ab728c380p8000,1,8,chienpao|dragalge|drednaw|haxorus|passimian|thundurus,dragalge|fezandipiti|mandibuzz|urshifurapidstrike|zacian|zekrom,1,5,4.508,6,0,0.0
battle-gen9randomdoublesbattle-61129,v1,random,v1Ab728c380p8000,1,9,florgeswhite|grumpig|jirachi|kleavor|ninetalesalola|persian,froslass|giratinaorigin|lokix|phione|terapagos|vileplume,2,4,3.167,6,0,0.0
battle-gen9randomdoublesbattle-61130,v1,random,v1Ab728c380p8000,1,13,appletun|koraidon|lapras|ninetalesalola|oricorio|wyrdeer,bellossom|deoxysdefense|dewgong|ironthorns|sceptile|zamazentacrowned,1,5,4.103,6,0,0.0
battle-gen9randomdoublesbattle-61131,v1,random,v1Ab728c380p8000,1,10,chimecho|gholdengo|irontreads|ironvaliant|leavanny|persianalola,ariados|ceruledge|irontreads|spiritomb|swampert|toxtricity,1,5,4.39,6,0,0.0
battle-gen9randomdoublesbattle-61132,v1,random,v1Ab728c380p8000,1,9,banette|blaziken|darkrai|gyarados|minun|skuntank,arceusbug|clefable|cyclizar|klefki|magmortar|perrserker,2,4,3.672,6,0,0.0
battle-gen9randomdoublesbattle-61133,v1,random,v1Ab728c380p8000,1,7,houndoom|inteleon|mandibuzz|scovillain|tatsugiri|terrakion,basculinbluestriped|beartic|chiyu|murkrow|swampert|venusaur,1,5,4.66,6,0,0.0
battle-gen9randomdoublesbattle-61134,v1,random,v1Ab728c380p8000,1,7,lucario|okidogi|regidrago|sinistchamasterpiece|skuntank|ursalunabloodmoon,arceusfairy|ditto|koraidon|magnezone|stonjourner|urshifurapidstrike,2,4,3.434,6,0,0.0
battle-gen9randomdoublesbattle-61135,v1,random,v1Ab728c380p8000,1,7,ampharos|hypno|kilowattrel|rhyperior|slowking|vileplume,chiyu|granbull|hitmontop|ironjugulis|volcanion|weezing,1,5,4.519,6,0,0.0
battle-gen9randomdoublesbattle-61136,v1,random,v1Ab728c380p8000,1,9,deoxys|eelektross|electrode|malamar|quaquaval|slitherwing,golemalola|lumineon|meganium|moltres|noctowl|palkia,2,4,3.901,6,0,0.0
battle-gen9randomdoublesbattle-61137,v1,random,v1Ab728c380p8000,1,14,blaziken|garchomp|hariyama|latios|qwilfish|spectrier,gothitelle|qwilfish|ragingbolt|regice|suicune|wochien,4,2,0.801,6,0,0.0
battle-gen9randomdoublesbattle-61138,v1,random,v1Ab728c380p8000,1,6,arceusfairy|basculegion|electivire|passimian|ursalunabloodmoon|weavile,diancie|grafaiai|kyogre|pincurchin|porygon2|rillaboom,0,6,5.113,6,0,0.0
battle-gen9randomdoublesbattle-61139,v1,random,v1Ab728c380p8000,1,7,brambleghast|groudon|hooh|kingdra|leafeon|raikou,basculegion|copperajah|cramorant|flapple|sandyshocks|skeledirge,1,5,4.848,6,0,0.0
battle-gen9randomdoublesbattle-61140,v1,random,v1Ab728c380p8000,1,18,houndoom|munkidori|quaquaval|regice|rotomfan|terapagos,alcremierubycream|altaria|glaceon|glalie|jirachi|minun,1,5,3.168,6,0,0.0
battle-gen9randomdoublesbattle-61141,v1,random,v1Ab728c380p8000,1,7,armarouge|articuno|braviary|garganacl|quaquaval|rotom,charizard|fluttermane|mightyena|passimian|toxapex|vikavolt,2,4,3.528,6,0,0.0
battle-gen9randomdoublesbattle-61142,v1,random,v1Ab728c380p8000,1,7,brambleghast|copperajah|hatterene|plusle|quaquaval|samurotthisui,arceusfighting|eternatus|pikachusinnoh|sawsbuckautumn|seviper|slaking,3,3,2.067,6,0,0.0
battle-gen9randomdoublesbattle-61143,v1,random,v1Ab728c380p8000,1,8,coalossal|salamence|sinistcha|skarmory|smeargle|weezinggalar,eternatus|floatzel|hitmonlee|miniorviolet|spiritomb|ursalunabloodmoon,1,5,4.22,6,0,0.0
battle-gen9randomdoublesbattle-61144,v1,random,v1Ab728c380p8000,1,11,donphan|ironmoth|kingambit|milotic|mismagius|skeledirge,arceusground|azelf|dragalge|hoopaunbound|regidrago|urshifurapidstrike,1,5,4.117,6,0,0.0
battle-gen9randomdoublesbattle-61145,v1,random,v1Ab728c380p8000,1,10,alomomola|grafaiai|mimikyubusted|miraidon|tatsugiri|wochien,cobalion|conkeldurr|espeon|gumshoos|victreebel|weavile,3,3,1.368,6,0,0.0
battle-gen9randomdoublesbattle-61146,v1,random,v1Ab728c380p8000,1,9,delibird|drifblim|espathra|ludicolo|pachirisu|tentacruel,goodrahisui|skuntank|torterra|toucannon|typhlosionhisui|vikavolt,3,3,1.98,6,0,0.0
battle-gen9randomdoublesbattle-61147,v1,random,v1Ab728c380p8000,1,6,calyrexice|giratinaorigin|lycanroc|pawmot|staraptor|vikavolt,glimmora|grafaiai|hatterene|rampardos|regigigas|volcarona,2,4,2.879,6,0,0.0
battle-gen9randomdoublesbattle-61148,v1,random,v1Ab728c380p8000,1,6,diancie|kyogre|leafeon|regigigas|spidops|veluza,bellibolt|golurk|jumpluff|reuniclus|snorlax|wyrdeer,1,5,4.51,6,0,0.0
