battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-60337,v2,random,Oppea65a6a1p8000,0,26,bronzong|chiyu|mabosstiff|sudowoodo|suicune|wugtrio,arbok|cobalion|glastrier|overqwil|toucannon|weavile,6,0,0.0,3,3,2.1
battle-gen9randomdoublesbattle-60338,v2,random,v2Aea65a6a1p8000,1,13,articuno|blastoise|chiyu|gholdengo|regirock|toedscruel,kingambit|mienshao|noivern|sandaconda|terrakion|ursaluna,5,1,0.535,6,0,0.0
battle-gen9randomdoublesbattle-60339,v2,random,Oppea65a6a1p8000,0,13,cinccino|gardevoir|gengar|jumpluff|necrozma|wugtrio,alcremiematchacream|cinderace|gardevoir|moltresgalar|swalot,6,0,0.0,0,5,3.84
battle-gen9randomdoublesbattle-60340,v2,random,Oppea65a6a1p8000,0,9,abomasnow|bruxish|indeedeef|quagsire|scyther|swalot,araquanid|crawdaunt|emboar|gardevoir|jirachi,6,0,0.0,1,4,3.26
battle-gen9randomdoublesbattle-60341,v2,random,Oppea65a6a1p8000,0,11,electrode|ironleaves|salazzle|scyther|sneasler|weavile,cacturne|dedenne|dusknoir|electabuzz|greattusk|skarmory,6,0,0.0,1,5,3.98
battle-gen9randomdoublesbattle-60342,v2,random,Oppea65a6a1p8000,0,11,eelektross|groudon|koraidon|ludicolo|swalot|vivillonmodern,barraskewda|frosmoth|gallade|heatran|hitmonchan|overqwil,6,0,0.0,5,1,1.0
battle-gen9randomdoublesbattle-60343,v2,random,Oppea65a6a1p8000,0,12,alcremiesaltedcream|bellossom|cloyster|magnezone|noivern|pachirisu,gastrodoneast|gholdengo|hoopaunbound|klawf|torterra|toucannon,6,0,0.0,1,5,4.48
battle-gen9randomdoublesbattle-60344,v2,random,Oppea65a6a1p8000,0,7,dragalge|haxorus|mewtwo|sceptile|scizor|skarmory,entei|gengar|mamoswine|mesprit|porygonz|tyranitar,6,0,0.0,2,4,3.24
battle-gen9randomdoublesbattle-60345,v2,random,Oppea65a6a1p8000,0,10,armarouge|gardevoir|ironbundle|palafin|zamazentacrowned|zangoose,bastiodon|luvdisc|mew|screamtail|tornadustherian,6,0,0.0,1,4,3.33
battle-gen9randomdoublesbattle-60346,v2,random,Oppea65a6a1p8000,0,9,empoleon|flareon|gumshoos|milotic|torterra|virizion,blastoise|electabuzz|granbull|indeedee|pikachusinnoh|yanmega,6,0,0.0,2,4,3.79
battle-gen9randomdoublesbattle-60347,v2,random,Oppea65a6a1p8000,0,10,dewgong|hatterene|hydreigon|palkiaorigin|passimian|revavroom,eelektross|entei|frosmoth|garchomp|medicham|quaquaval,6,0,0.0,1,5,3.69
battle-gen9randomdoublesbattle-60348,v2,random,Oppea65a6a1p8000,0,10,duraludon|hippowdon|ogerpon|orthworm|palafin|uxie,decidueyehisui|manaphy|mightyena|ninetales|tauros,6,0,0.0,0,5,2.36
battle-gen9randomdoublesbattle-60349,v2,random,Oppea65a6a1p8000,0,11,braviary|farigiraf|scovillain|suicune|tinkaton|zapdosgalar,chandelure|empoleon|ironleaves|lucario|mimikyu,6,0,0.0,0,5,3.15
battle-gen9randomdoublesbattle-60350,v2,random,Oppea65a6a1p8000,0,10,altaria|glimmora|grumpig|luxray|slitherwing|tsareena,bombirdier|deoxys|passimian|virizion|zebstrika,6,0,0.0,0,5,3.69
battle-gen9randomdoublesbattle-60351,v2,random,Oppea65a6a1p8000,0,6,braviary|garganacl|inteleon|persian|politoed|umbreon,eiscue|hippowdon|sunflora|zebstrika,6,0,0.0,1,3,2.31
battle-gen9randomdoublesbattle-60352,v2,random,Oppea65a6a1p8000,0,17,electabuzz|lugia|necrozma|sinistchamasterpiece|terrakion|torkoal,articuno|cobalion|goodra|leafeon|rampardos|suicune,6,0,0.0,4,2,1.79
battle-gen9randomdoublesbattle-60353,v2,random,Oppea65a6a1p8000,0,15,dipplin|galvantula|kingdra|milotic|pawmot|sinistchamasterpiece,annihilape|chimecho|golurk|haxorus|manaphy|sandslashalola,6,0,0.0,1,5,3.84
battle-gen9randomdoublesbattle-60354,v2,random,Oppea65a6a1p8000,0,11,excadrill|flamigo|greattusk|manaphy|munkidori|tinkaton,decidueye|diancie|galvantula|jumpluff|latias|zangoose,6,0,0.0,0,6,5.32
battle-gen9randomdoublesbattle-60355,v2,random,Oppea65a6a1p8000,0,12,beartic|hippowdon|keldeoresolute|miraidon|pachirisu|veluza,chimecho|gothitelle|hawlucha|rotomwash|skarmory|zamazentacrowned,6,0,0.0,0,6,5.4
battle-gen9randomdoublesbattle-60356,v2,random,Oppea65a6a1p8000,0,10,enamorustherian|leafeon|mamoswine|scrafty|trevenant|typhlosion,alcremiecaramelswirl|azelf|dodrio|thundurus|wigglytuff,6,0,0.0,0,5,3.86
battle-gen9randomdoublesbattle-60357,v2,random,Oppea65a6a1p8000,0,9,cinderace|klefki|kyogre|squawkabillywhite|swanna|zekrom,cinderace|dipplin|dragapult|golurk|torkoal,6,0,0.0,2,3,1.47
battle-gen9randomdoublesbattle-60358,v2,random,Oppea65a6a1p8000,0,11,gougingfire|grimmsnarl|meowsticf|munkidori|raikou|ursalunabloodmoon,avalugg|cramorant|delibird|hatterene|medicham|ogerpon,6,0,0.0,3,3,1.81
battle-gen9randomdoublesbattle-60359,v2,random,Oppea65a6a1p8000,0,15,golduck|keldeoresolute|mightyena|ogerpon|okidogi|pyroar,arboliva|eelektross|ironleaves|koraidon|persianalola|pyroar,6,0,0.0,1,5,3.91
battle-gen9randomdoublesbattle-60360,v2,random,Oppea65a6a1p8000,0,16,ariados|chandelure|hydrapple|hydreigon|solgaleo|wigglytuff,annihilape|hoopaunbound|hypno|mamoswine|pecharunt|toxapex,6,0,0.0,3,3,0.68
battle-gen9randomdoublesbattle-60361,v2,random,Oppea65a6a1p8000,0,8,cinderace|hariyama|hatterene|indeedeef|ragingbolt|scizor,darkrai|glimmora|hatterene|hawlucha|ironboulder|masquerain,6,0,0.0,2,4,2.71
battle-gen9randomdoublesbattle-60362,v2,random,Oppea65a6a1p8000,0,9,cinccino|drednaw|lunala|palossand|tyranitar|zaciancrowned,baxcalibur|golduck|indeedee|oricorio,6,0,0.0,3,1,0.37
battle-gen9randomdoublesbattle-60363,v2,random,Oppea65a6a1p8000,0,10,ditto|espeon|golduck|hatterene|kyogre|landorus,arbok|greedent|groudon|hitmonchan|rillaboom|sawsbucksummer,6,0,0.0,4,2,1.49
battle-gen9randomdoublesbattle-60364,v2,random,v2Aea65a6a1p8000,1,5,hydreigon|lanturn|pikachuunova|torkoal|tornadustherian|wyrdeer,crabominable|espathra|farigiraf|greattusk|muk|sawsbuck,0,6,5.394,6,0,0.0
battle-gen9randomdoublesbattle-60365,v2,random,Oppea65a6a1p8000,0,22,amoonguss|brambleghast|emboar|sylveon|tatsugiri|tentacruel,bastiodon|cramorant|gothitelle|serperior|swalot|vivillongarden,6,0,0.0,2,4,2.1
battle-gen9randomdoublesbattle-60366,v2,random,Oppea65a6a1p8000,0,17,corviknight|glalie|malamar|mienshao|sableye|snorlax,coalossal|deoxysattack|electabuzz|magmar|regigigas|scrafty,6,0,0.0,1,5,3.54
battle-gen9randomdoublesbattle-60367,v2,random,Oppea65a6a1p8000,0,7,charizard|clefable|drifblim|electabuzz|mismagius|samurott,chienpao|chiyu|flamigo|flareon|houndstone|seviper,6,0,0.0,0,6,5.63
battle-gen9randomdoublesbattle-60368,v2,random,Oppea65a6a1p8000,0,14,grimmsnarl|groudon|malamar|rayquaza|skeledirge|toxapex,fezandipiti|orthworm|probopass|wyrdeer,6,0,0.0,1,3,1.65
battle-gen9randomdoublesbattle-60369,v2,random,Oppea65a6a1p8000,0,14,grumpig|heatran|ironbundle|regice|ribombee|taurospaldeaaqua,cobalion|gumshoos|klawf|sandslash|shayminsky,6,0,0.0,1,4,1.95
battle-gen9randomdoublesbattle-60370,v2,random,Oppea65a6a1p8000,0,11,brambleghast|hoopaunbound|houndoom|magearnaoriginal|mew|noivern,hypno|moltresgalar|roaringmoon|volbeat,6,0,0.0,0,4,2.81
battle-gen9randomdoublesbattle-60371,v2,random,Oppea65a6a1p8000,0,15,eelektross|exeggutor|gholdengo|luxray|mabosstiff|yanmega,arceuselectric|dondozo|leavanny|manaphy|miraidon|taurospaldeacombat,6,0,0.0,2,4,3.65
battle-gen9randomdoublesbattle-60372,v2,random,Oppea65a6a1p8000,0,9,basculin|hitmontop|ironmoth|samurotthisui|spidops|staraptor,brambleghast|dedenne|ironboulder|minun|squawkabillyyellow|weavile,6,0,0.0,2,4,2.63
battle-gen9randomdoublesbattle-60373,v2,random,Oppea65a6a1p8000,0,7,crabominable|dragapult|galvantula|gholdengo|manaphy|quagsire,banette|baxcalibur|darkrai|flapple|pikachuworld,6,0,0.0,1,4,3.05
battle-gen9randomdoublesbattle-60374,v2,random,Oppea65a6a1p8000,0,9,blaziken|gothitelle|samurott|sudowoodo|walkingwake|weezing,calyrex|koraidon|mismagius|tentacruel,6,0,0.0,1,3,2.42
battle-gen9randomdoublesbattle-60375,v2,random,Oppea65a6a1p8000,0,9,crawdaunt|flamigo|meganium|mesprit|qwilfish|scovillain,dialga|klawf|lurantis|mesprit|mew,6,0,0.0,0,5,4.11
battle-gen9randomdoublesbattle-60376,v2,random,Oppea65a6a1p8000,0,9,dachsbun|garchomp|groudon|quaquaval|slaking|whimsicott,conkeldurr|garganacl|lumineon|passimian|rotomfrost,6,0,0.0,0,5,3.04
battle-gen9randomdoublesbattle-60377,v2,random,Oppea65a6a1p8000,0,7,dedenne|deoxys|glalie|regieleki|solgaleo|wugtrio,annihilape|calyrexice|ironboulder|tatsugiri|tauros|tornadustherian,6,0,0.0,2,4,3.48
