battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-62339,v2,simple_heuristic,Opp4d7676aep8000,0,9,azumarill|bombirdier|bronzong|falinks|maushold|ogerponcornerstone,clefable|dondozo|drednaw|frosmoth|gallade|kyurem,6,0,0.0,6,0,0.0
battle-gen9randomdoublesbattle-62340,v2,simple_heuristic,v2A4d7676aep8000,1,7,cetitan|crabominable|dachsbun|feraligatr|lilliganthisui|torkoal,entei|glastrier|kommoo|pawmot|regieleki|slaking,4,2,1.038,6,0,0.0
battle-gen9randomdoublesbattle-62341,v2,simple_heuristic,v2A4d7676aep8000,1,8,gastrodoneast|malamar|ribombee|screamtail|staraptor|yanmega,brutebonnet|falinks|fezandipiti|leavanny|rayquaza|wyrdeer,4,2,1.81,6,0,0.0
battle-gen9randomdoublesbattle-62342,v2,simple_heuristic,v2A4d7676aep8000,1,8,mewtwo|rotomwash|slitherwing|trevenant|weavile|wigglytuff,araquanid|giratina|glaceon|okidogi|rotomfan|terrakion,4,2,2.0,6,0,0.0
battle-gen9randomdoublesbattle-62343,v2,simple_heuristic,Opp4d7676aep8000,0,8,araquanid|arbok|floatzel|lilligant|okidogi|skarmory,deoxysspeed|dipplin|meganium|regieleki|salazzle|whiscash,6,0,0.0,4,2,1.33
battle-gen9randomdoublesbattle-62344,v2,simple_heuristic,Opp4d7676aep8000,0,7,bruxish|dedenne|mausholdfour|pecharunt|rampardos|torterra,groudon|mew|slowkinggalar|terapagos|tyranitar|zoroarkhisui,6,0,0.0,4,2,1.01
battle-gen9randomdoublesbattle-62345,v2,simple_heuristic,Opp4d7676aep8000,0,7,garganacl|ironbundle|qwilfish|rillaboom|victreebel|wyrdeer,appletun|chimecho|goodra|ironhands|noctowl|swampert,6,0,0.0,4,2,1.49
battle-gen9randomdoublesbattle-62346,v2,simple_heuristic,Opp4d7676aep8000,0,8,grumpig|lugia|minun|regice|regieleki|scovillain,conkeldurr|scovillain|slaking|squawkabillywhite|wochien|zekrom,6,0,0.0,5,1,0.89
battle-gen9randomdoublesbattle-62347,v2,simple_heuristic,Opp4d7676aep8000,0,6,decidueyehisui|dodrio|gengar|indeedeef|sneasler|sylveon,barraskewda|flareon|meowsticf|milotic|munkidori|porygon2,6,0,0.0,4,2,1.81
battle-gen9randomdoublesbattle-62348,v2,simple_heuristic,v2A4d7676aep8000,1,12,copperajah|meloetta|mightyena|screamtail|slitherwing|trevenant,dragonite|furret|palafin|palkia|registeel|wochien,5,1,0.019,6,0,0.0
battle-gen9randomdoublesbattle-62349,v2,simple_heuristic,Opp4d7676aep8000,0,6,chiyu|deoxysattack|donphan|honchkrow|salamence|zebstrika,alcremierubyswirl|bellibolt|gyarados|mamoswine|tropius,6,0,0.0,3,2,0.52
battle-gen9randomdoublesbattle-62350,v2,simple_heuristic,v2A4d7676aep8000,1,7,coalossal|dachsbun|munkidori|politoed|slowkinggalar|smeargle,ampharos|basculegion|conkeldurr|ironvaliant|kleavor|ursaluna,4,2,1.542,6,0,0.0
battle-gen9randomdoublesbattle-62351,v2,simple_heuristic,Opp4d7676aep8000,0,21,comfey|keldeoresolute|kleavor|spidops|victreebel|zoroarkhisui,illumise|klawf|lugia|malamar|perrserker|scovillain,6,0,0.0,5,1,0.53
battle-gen9randomdoublesbattle-62352,v2,simple_heuristic,v2A4d7676aep8000,1,7,glimmora|kilowattrel|palossand|pelipper|victreebel|zamazenta,gougingfire|hawlucha|sandslashalola|smeargle|venomoth|whiscash,4,2,1.126,6,0,0.0
