battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-61339,v1,max_power,v1Ad216bb43p8000,1,13,glimmora|mamoswine|phione|toxapex|weavile|wochien,carbink|enamorustherian|gougingfire|masquerain|meowscarada|mismagius,3,3,2.237,6,0,0.0
battle-gen9randomdoublesbattle-61340,v1,max_power,v1Ad216bb43p8000,1,9,falinks|hypno|sableye|scizor|sylveon|whiscash,abomasnow|braviaryhisui|eternatus|gastrodoneast|jolteon|rotomfan,4,2,1.529,6,0,0.0
battle-gen9randomdoublesbattle-61341,v1,max_power,Oppd216bb43p8000,0,6,azumarill|gothitelle|heracross|rayquaza|taurospaldeablaze|zaciancrowned,dialga|mesprit|noctowl|pikachualola|primarina,6,0,0.0,3,2,0.95
battle-gen9randomdoublesbattle-61342,v1,max_power,v1Ad216bb43p8000,1,5,dachsbun|politoed|rampardos|sandyshocks|screamtail|slowbrogalar,cramorant|drifblim|gumshoos|lurantis|sableye|terrakion,3,3,2.169,6,0,0.0
battle-gen9randomdoublesbattle-61343,v1,max_power,v1Ad216bb43p8000,1,6,chienpao|delphox|dewgong|luxray|milotic|taurospaldeablaze,armarouge|cramorant|ironvaliant|komala|mausholdfour|solgaleo,3,3,2.234,6,0,0.0
battle-gen9randomdoublesbattle-61344,v1,max_power,v1Ad216bb43p8000,1,10,coalossal|medicham|minior|sawsbucksummer|slaking|volcanion,alcremierubyswirl|cinccino|comfey|flamigo|glaceon|koraidon,3,3,2.629,6,0,0.0
battle-gen9randomdoublesbattle-61345,v1,max_power,v1Ad216bb43p8000,1,9,diancie|dodrio|klefki|minun|wyrdeer|zamazenta,arcaninehisui|gougingfire|hitmontop|plusle|virizion|zangoose,4,2,0.934,6,0,0.0
battle-gen9randomdoublesbattle-61346,v1,max_power,Oppd216bb43p8000,0,12,clawitzer|dachsbun|dipplin|krookodile|ragingbolt|zebstrika,arbok|dedenne|serperior|spidops|toedscruel|toxtricitylowkey,6,0,0.0,5,1,0.24
battle-gen9randomdoublesbattle-61347,v1,max_power,Oppd216bb43p8000,0,7,brutebonnet|chienpao|infernape|ragingbolt|regirock|shayminsky,calyrexice|chienpao|gastrodoneast|hydrapple|kilowattrel|pincurchin,6,0,0.0,4,2,1.38
battle-gen9randomdoublesbattle-61348,v1,max_power,Oppd216bb43p8000,0,6,glaceon|gumshoos|haxorus|illumise|ironthorns|vivillonsavanna,entei|floatzel|kilowattrel|metagross|sunflora,6,0,0.0,3,2,1.09
battle-gen9randomdoublesbattle-61349,v1,max_power,v1Ad216bb43p8000,1,11,electivire|heracross|landorustherian|palkiaorigin|vaporeon|vespiquen,fezandipiti|incineroar|oranguru|smeargle|spiritomb|toxapex,4,2,1.01,6,0,0.0
battle-gen9randomdoublesbattle-61350,v1,max_power,v1Ad216bb43p8000,1,9,chiyu|comfey|dudunsparcethreesegment|latios|pawmot|spiritomb,calyrexice|gallade|houndstone|mudsdale|sceptile|smeargle,3,3,2.619,6,0,0.0
battle-gen9randomdoublesbattle-61351,v1,max_power,Oppd216bb43p8000,0,13,blissey|chesnaught|magmortar|mew|noivern|regieleki,arceusrock|blissey|clawitzer|politoed|revavroom|zangoose,6,0,0.0,5,1,0.81
battle-gen9randomdoublesbattle-61352,v1,max_power,v1Ad216bb43p8000,1,9,golemalola|polteageistantique|reuniclus|scovillain|spectrier|vileplume,emboar|exeggutoralola|miraidon|sableye|toxapex|vileplume,3,3,1.482,6,0,0.0
battle-gen9randomdoublesbattle-61353,v1,max_power,v1Ad216bb43p8000,1,7,chimecho|galvantula|gholdengo|kingambit|regigigas|samurott,cacturne|chiyu|ironthorns|ogerponwellspring|uxie|zapdos,3,3,1.889,6,0,0.0
battle-gen9randomdoublesbattle-61354,v1,max_power,v1Ad216bb43p8000,1,7,eiscuenoice|gengar|granbull|greedent|orthworm|zaciancrowned,flapple|floatzel|lapras|lucario|serperior|umbreon,3,3,2.176,6,0,0.0
