battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-62089,v2,v6,v2Aa5e6da02p8000,1,7,delibird|dudunsparce|indeedee|irontreads|morpeko|raichu,basculinbluestriped|coalossal|copperajah|dragonite|stonjourner|walkingwake,4,2,1.511,6,0,0.0
battle-gen9randomdoublesbattle-62090,v2,v6,v6Ba5e6da02p8000,0,9,delibird|flygon|grimmsnarl|screamtail|volbeat|zapdos,crabominable|illumise|polteageist|vigoroth|zangoose,6,0,0.0,3,2,1.41
battle-gen9randomdoublesbattle-62091,v2,v6,v6Ba5e6da02p8000,0,5,cacturne|clodsire|decidueye|galvantula|magcargo|volcarona,gardevoir|grafaiai|poliwrath,6,0,0.0,1,2,0.84
battle-gen9randomdoublesbattle-62092,v2,v6,v6Ba5e6da02p8000,0,6,gengar|glimmora|lugia|orthworm|sandslash|wigglytuff,koraidon|magcargo|regirock|registeel|salamence|vivillonpolar,6,0,0.0,4,2,1.95
battle-gen9randomdoublesbattle-62093,v2,v6,v2Aa5e6da02p8000,1,11,araquanid|okidogi|pikachusinnoh|reshiram|umbreon|vileplume,espathra|magcargo|orthworm|politoed|terrakion|tsareena,5,1,0.554,6,0,0.0
battle-gen9randomdoublesbattle-62094,v2,v6,v2Aa5e6da02p8000,1,7,exeggutoralola|froslass|houndoom|koraidon|whiscash|yanmega,dialga|glalie|haxorus|oranguru|rotomfan|victreebel,4,2,1.526,6,0,0.0
battle-gen9randomdoublesbattle-62095,v2,v6,v2Aa5e6da02p8000,1,6,alcremierainbowswirl|araquanid|chiyu|dialgaorigin|leafeon|rotommow,annihilape|fluttermane|keldeoresolute|klawf|komala|vileplume,4,2,1.673,6,0,0.0
battle-gen9randomdoublesbattle-62096,v2,v6,v6Ba5e6da02p8000,0,9,appletun|charizard|cobalion|farigiraf|glimmora|mienshao,cinderace|corviknight|florgesyellow|haxorus|mudsdale|ursaluna,6,0,0.0,4,2,1.39
battle-gen9randomdoublesbattle-62097,v2,v6,v6Ba5e6da02p8000,0,7,incineroar|inteleon|magearna|passimian|qwilfish|rillaboom,armarouge|heatran|masquerain|medicham|orthworm|toedscruel,6,0,0.0,5,1,1.0
battle-gen9randomdoublesbattle-62098,v2,v6,v6Ba5e6da02p8000,0,5,arceuspsychic|bombirdier|dodrio|jolteon|orthworm|vileplume,crawdaunt|cyclizar|electivire|ironmoth|medicham,6,0,0.0,3,2,1.08
battle-gen9randomdoublesbattle-62099,v2,v6,v6Ba5e6da02p8000,0,7,ambipom|kingdra|lumineon|lurantis|regice|tinglu,cinccino|granbull|leavanny|raichualola|urshifu,6,0,0.0,4,1,1.0
battle-gen9randomdoublesbattle-62100,v2,v6,v2Aa5e6da02p8000,1,9,conkeldurr|deoxys|ironhands|palafin|solgaleo|tornadustherian,deoxysspeed|emboar|lycanroc|oinkologne|ribombee|sableye,5,1,1.0,6,0,0.0
battle-gen9randomdoublesbattle-62101,v2,v6,v2Aa5e6da02p8000,1,7,blaziken|ceruledge|munkidori|palafin|swanna|vespiquen,giratinaorigin|latios|leavanny|mabosstiff|pelipper|regice,5,1,0.902,6,0,0.0
battle-gen9randomdoublesbattle-62102,v2,v6,v2Aa5e6da02p8000,1,10,charizard|hydrapple|lumineon|mewtwo|miraidon|pincurchin,furret|gastrodon|hatterene|slitherwing|toxtricitylowkey|uxie,4,2,2.0,6,0,0.0
battle-gen9randomdoublesbattle-62103,v2,v6,v2Aa5e6da02p8000,1,7,coalossal|drednaw|groudon|hydrapple|miraidon|screamtail,annihilape|archaludon|garganacl|granbull|hatterene|revavroom,4,2,2.0,6,0,0.0
battle-gen9randomdoublesbattle-62104,v2,v6,v6Ba5e6da02p8000,0,7,gliscor|persian|regidrago|shiftry|volcanion|walkingwake,banette|cyclizar|hippowdon|inteleon|oinkolognef|zarudedada,6,0,0.0,4,2,1.07
battle-gen9randomdoublesbattle-62105,v2,v6,v2Aa5e6da02p8000,1,11,flygon|ironboulder|krookodile|perrserker|torkoal|umbreon,deoxysattack|flapple|probopass|swampert|toxapex|wyrdeer,5,1,0.857,6,0,0.0
battle-gen9randomdoublesbattle-62106,v2,v6,v2Aa5e6da02p8000,1,9,beartic|flapple|houndoom|mamoswine|murkrow|pincurchin,chimecho|meloetta|regigigas|sunflora|tatsugiri|tentacruel,3,3,1.29,6,0,0.0
battle-gen9randomdoublesbattle-62107,v2,v6,v2Aa5e6da02p8000,1,9,banette|garganacl|meloetta|minun|vespiquen|virizion,cetitan|giratina|poliwrath|salazzle|sandslashalola|toedscruel,2,4,2.504,6,0,0.0
battle-gen9randomdoublesbattle-62108,v2,v6,v6Ba5e6da02p8000,0,7,clawitzer|dialgaorigin|lokix|murkrow|phione|toxtricitylowkey,flygon|klawf|mimikyu|ragingbolt|salazzle,6,0,0.0,3,2,1.37
battle-gen9randomdoublesbattle-62109,v2,v6,v2Aa5e6da02p8000,1,6,carbink|koraidon|mightyena|muk|spectrier|yanmega,crawdaunt|jirachi|komala|morpeko|raichu|scovillain,3,3,2.037,6,0,0.0
