battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-61589,v1,simple_heuristic,Opp4d980118p8000,0,9,chienpao|polteageist|reuniclus|scovillain|trevenant|volcarona,comfey|decidueyehisui|flapple|galvantula|magmortar,6,0,0.0,3,2,1.95
battle-gen9randomdoublesbattle-61590,v1,simple_heuristic,Opp4d980118p8000,0,7,florgesyellow|furret|ironvaliant|orthworm|spiritomb|zekrom,altaria|darkrai|meloetta|minun|torkoal,6,0,0.0,4,1,0.45
battle-gen9randomdoublesbattle-61591,v1,simple_heuristic,v1A4d980118p8000,1,8,calyrex|copperajah|dugtrio|giratina|oinkologne|slitherwing,banette|espeon|floatzel|hoopaunbound|landorustherian|pelipper,4,2,1.137,6,0,0.0
battle-gen9randomdoublesbattle-61592,v1,simple_heuristic,Opp4d980118p8000,0,7,avalugghisui|crawdaunt|deoxysattack|drednaw|hypno|staraptor,alcremie|banette|ironthorns|kingdra|leafeon|ninetales,6,0,0.0,4,2,0.75
battle-gen9randomdoublesbattle-61593,v1,simple_heuristic,Opp4d980118p8000,0,8,calyrex|clefairy|garchomp|hawlucha|lokix|swanna,altaria|beartic|dudunsparcethreesegment|screamtail|staraptor,6,0,0.0,3,2,0.74
battle-gen9randomdoublesbattle-61594,v1,simple_heuristic,v1A4d980118p8000,1,9,meloetta|ogerponhearthflame|oricoriopompom|persianalola|toucannon|zekrom,dewgong|dodrio|kingambit|metagross|noivern|stonjourner,4,2,1.701,6,0,0.0
battle-gen9randomdoublesbattle-61595,v1,simple_heuristic,Opp4d980118p8000,0,9,bellibolt|exeggutoralola|glimmora|milotic|passimian|wigglytuff,alcremie|banette|cyclizar|eternatus|magmar|rhydon,6,0,0.0,4,2,1.52
battle-gen9randomdoublesbattle-61596,v1,simple_heuristic,v1A4d980118p8000,1,7,delibird|meowstic|necrozma|qwilfish|sylveon|toucannon,basculinbluestriped|magmar|meowscarada|scyther|toxtricity|victreebel,3,3,1.535,6,0,0.0
battle-gen9randomdoublesbattle-61597,v1,simple_heuristic,Opp4d980118p8000,0,10,alomomola|empoleon|flygon|hawlucha|screamtail|toxicroak,bombirdier|chimecho|orthworm|torkoal,6,0,0.0,2,2,0.79
battle-gen9randomdoublesbattle-61598,v1,simple_heuristic,Opp4d980118p8000,0,7,crawdaunt|greedent|keldeoresolute|munkidori|noivern|swalot,deoxys|hawlucha|honchkrow|lokix|porygonz|tentacruel,6,0,0.0,4,2,0.45
battle-gen9randomdoublesbattle-61599,v1,simple_heuristic,v1A4d980118p8000,1,8,gothitelle|lanturn|manaphy|mausholdfour|plusle|vespiquen,dragapult|haxorus|pyroar|ribombee|sandslash|scovillain,3,3,1.507,6,0,0.0
battle-gen9randomdoublesbattle-61600,v1,simple_heuristic,Opp4d980118p8000,0,10,electivire|fluttermane|garganacl|meganium|perrserker|terapagosterastal,ironbundle|landorustherian|oranguru|overqwil|taurospaldeacombat|zoroarkhisui,6,0,0.0,5,1,0.85
battle-gen9randomdoublesbattle-61601,v1,simple_heuristic,Opp4d980118p8000,0,9,amoonguss|arbok|basculegionf|blastoise|eelektross|electivire,charizard|corviknight|glalie|hatterene|lycanrocmidnight|meganium,6,0,0.0,4,2,1.09
battle-gen9randomdoublesbattle-61602,v1,simple_heuristic,v1A4d980118p8000,1,6,honchkrow|hydrapple|ironthorns|mamoswine|scyther|tyranitar,blastoise|cetitan|reuniclus|slowking|taurospaldeablaze|torkoal,3,3,2.091,6,0,0.0
battle-gen9randomdoublesbattle-61603,v1,simple_heuristic,Opp4d980118p8000,0,8,amoonguss|appletun|grimmsnarl|regirock|revavroom|weavile,dragapult|infernape|lucario|magmortar|primarina|slowking,6,0,0.0,4,2,0.49
battle-gen9randomdoublesbattle-61604,v1,simple_heuristic,v1A4d980118p8000,1,9,bastiodon|farigiraf|magmortar|regigigas|reuniclus|zekrom,amoonguss|chesnaught|grimmsnarl|ironbundle|magmar|pachirisu,4,2,1.111,6,0,0.0
battle-gen9randomdoublesbattle-61605,v1,simple_heuristic,v1A4d980118p8000,1,7,arceusrock|honchkrow|kyuremwhite|slowbrogalar|tinkaton|veluza,camerupt|greattusk|qwilfish|roaringmoon|slowkinggalar|zapdosgalar,4,2,1.54,6,0,0.0
battle-gen9randomdoublesbattle-61606,v1,simple_heuristic,Opp4d980118p8000,0,10,arceuselectric|cetitan|gardevoir|solgaleo|tinglu|toedscruel,decidueyehisui|farigiraf|mewtwo|thundurustherian|vigoroth|vileplume,6,0,0.0,4,2,1.02
battle-gen9randomdoublesbattle-61607,v1,simple_heuristic,Opp4d980118p8000,0,9,bruxish|camerupt|dudunsparce|ironmoth|qwilfishhisui|sylveon,bastiodon|donphan|electivire|gogoat|heracross|tropius,6,0,0.0,6,0,0.0
battle-gen9randomdoublesbattle-61608,v1,simple_heuristic,Opp4d980118p8000,0,10,garganacl|hatterene|magmortar|meganium|passimian|spidops,gyarados|infernape|pikachusinnoh|quagsire|regice|venomoth,6,0,0.0,5,1,0.75
battle-gen9randomdoublesbattle-61609,v1,simple_heuristic,Opp4d980118p8000,0,6,dusknoir|gliscor|heracross|ogerponwellspring|raichualola|vaporeon,armarouge|copperajah|flapple|frosmoth|mesprit|sawsbuck,6,0,0.0,3,3,1.46
battle-gen9randomdoublesbattle-61610,v1,simple_heuristic,Opp4d980118p8000,0,4,ceruledge|crawdaunt|dragapult|dragonite|gumshoos|raichualola,dragapult|giratina|honchkrow,6,0,0.0,1,2,1.28
battle-gen9randomdoublesbattle-61611,v1,simple_heuristic,Opp4d980118p8000,0,5,honchkrow|kyurem|oinkolognef|reuniclus|sandslashalola|slitherwing,ironcrown|kleavor|magnezone|zangoose,6,0,0.0,2,2,0.08
battle-gen9randomdoublesbattle-61612,v1,simple_heuristic,Opp4d980118p8000,0,8,cyclizar|indeedee|jolteon|lucario|reshiram|vikavolt,galvantula|gogoat|greattusk|mightyena|noivern|ogerponwellspring,6,0,0.0,5,1,0.6
battle-gen9randomdoublesbattle-61613,v1,simple_heuristic,Opp4d980118p8000,0,8,cetitan|hydrapple|magmortar|oricoriopompom|walkingwake|wochien,alcremie|jolteon|kingdra|oricoriopompom|poliwrath|shiftry,6,0,0.0,5,1,0.58
battle-gen9randomdoublesbattle-61614,v1,simple_heuristic,v1A4d980118p8000,1,8,bastiodon|camerupt|cinccino|glalie|golduck|typhlosionhisui,clefairy|furret|kingambit|leavanny|magmar|rhydon,5,1,0.602,6,0,0.0
battle-gen9randomdoublesbattle-61615,v1,simple_heuristic,v1A4d980118p8000,1,5,basculegion|clodsire|falinks|jolteon|meowsticf|rotomfrost,electivire|forretress|golem|latios|luxray|walkingwake,4,2,2.0,6,0,0.0
battle-gen9randomdoublesbattle-61616,v1,simple_heuristic,v1A4d980118p8000,1,8,brambleghast|camerupt|dudunsparce|gallade|klawf|maushold,blastoise|gogoat|jumpluff|lucario|meloetta|raikou,4,2,0.572,6,0,0.0
battle-gen9randomdoublesbattle-61617,v1,simple_heuristic,Opp4d980118p8000,0,7,conkeldurr|grafaiai|hypno|ironmoth|latias|miniorviolet,gallade|golduck|haxorus|hooh|manaphy|skuntank,6,0,0.0,4,2,0.4
battle-gen9randomdoublesbattle-61618,v1,simple_heuristic,Opp4d980118p8000,0,8,bruxish|gastrodon|luxray|mandibuzz|rayquaza|ribombee,dachsbun|drifblim|granbull|sandyshocks|skarmory|sudowoodo,6,0,0.0,4,2,0.82
battle-gen9randomdoublesbattle-61619,v1,simple_heuristic,Opp4d980118p8000,0,7,cinccino|lunala|maushold|rotommow|slowking|zarude,chandelure|dragonite|hitmonchan|ludicolo|porygonz|rampardos,6,0,0.0,4,2,1.55
