battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp,moves_used
battle-gen9randomdoublesbattle-60587,v6,random,Oppefc9ffb1p8000,0,11,chandelure|dragalge|heracross|indeedeef|screamtail|vikavolt,araquanid|gholdengo|jolteon|oinkolognef|rhyperior,6,0,0.0,1,4,3.22,bugbuzz|closecombat|dracometeor|energyball|heatwave|hydropump|knockoff|megahorn|playrough|psychic|rockslide|shadowball|sludgebomb|thunderbolt
battle-gen9randomdoublesbattle-60588,v6,random,Oppefc9ffb1p8000,0,19,alomomola|bombirdier|inteleon|lunala|regigigas|roaringmoon,blissey|lapras|mienshao|pyroar|reshiram|veluza,6,0,0.0,0,6,5.34,acrobatics|bravebird|breakingswipe|doubleedge|hydropump|icebeam|icywind|knockoff|moongeistbeam|muddywater|rockslide|scald|suckerpunch
battle-gen9randomdoublesbattle-60589,v6,random,Oppefc9ffb1p8000,0,13,copperajah|hypno|ironmoth|sunflora|volcanion|whiscash,granbull|noivern|phione|politoed|porygonz|sylveon,6,0,0.0,2,4,2.65,acidspray|earthpower|energyball|heatwave|highhorsepower|icywind|knockoff|leafstorm|lowsweep|muddywater|psychic|sludgebomb|steameruption|stoneedge
battle-gen9randomdoublesbattle-60590,v6,random,Oppefc9ffb1p8000,0,9,abomasnow|comfey|krookodile|kyogre|toxicroak|tyranitar,breloom|greninja|ironbundle|meowsticf|mismagius|serperior,6,0,0.0,3,3,0.95,blizzard|closecombat|drainingkiss|fakeout|gunkshot|highhorsepower|icebeam|iceshard|knockoff|originpulse|stoneedge|suckerpunch|thunder|waterspout|woodhammer
battle-gen9randomdoublesbattle-60591,v6,random,Oppefc9ffb1p8000,0,13,cloyster|hydrapple|moltres|ragingbolt|slitherwing|slowbrogalar,avalugghisui|gliscor|ironleaves|manaphy|morpeko|zebstrika,6,0,0.0,0,6,4.4,bravebird|closecombat|dracometeor|earthpower|electroweb|fireblast|firstimpression|gigadrain|heatwave|hydropump|iciclespear|leafstorm|psychic|rockblast|shellsidearm|snarl|thunderclap|wildcharge
battle-gen9randomdoublesbattle-60592,v6,random,Oppefc9ffb1p8000,0,11,ambipom|mismagius|rayquaza|spidops|toxtricity|virizion,arboliva|eternatus|granbull|jirachi|torkoal,6,0,0.0,0,5,4.85,closecombat|dazzlinggleam|doubleedge|dracometeor|dragonascent|earthpower|fakeout|knockoff|leafstorm|lunge|overdrive|shadowball|sludgebomb|snarl|stoneedge|thunderbolt|uturn|voltswitch
battle-gen9randomdoublesbattle-60593,v6,random,Oppefc9ffb1p8000,0,14,bastiodon|dachsbun|flapple|giratinaorigin|thundurustherian|torkoal,appletun|bombirdier|heatran|malamar|shaymin|volcanion,6,0,0.0,1,5,2.47,bodypress|dracometeor|dragonrush|foulplay|gravapple|heatwave|playrough|poltergeist|shadowforce|snarl|solarbeam|suckerpunch|terablast|wildboltstorm
battle-gen9randomdoublesbattle-60594,v6,random,Oppefc9ffb1p8000,0,13,leavanny|smeargle|staraptor|sudowoodo|suicune|volcarona,arbok|carbink|decidueyehisui|jolteon|regidrago|venusaur,6,0,0.0,0,6,3.34,bravebird|bugbuzz|doubleedge|fakeout|headsmash|heatwave|highhorsepower|icebeam|leafblade|lunge|quickattack|scald|snarl|woodhammer
battle-gen9randomdoublesbattle-60595,v6,random,Oppefc9ffb1p8000,0,7,arbok|bellossom|carbink|hitmonchan|slitherwing|vigoroth,clawitzer|espeon|giratinaorigin|gogoat|lucario,6,0,0.0,0,5,4.02,bodypress|closecombat|doubleedge|fakeout|firstimpression|flareblitz|gigadrain|gunkshot|knockoff|moonblast|wildcharge
battle-gen9randomdoublesbattle-60596,v6,random,Oppefc9ffb1p8000,0,8,carbink|deoxysspeed|komala|kommoo|samurotthisui|weavile,appletun|avalugghisui|groudon|heracross|lycanrocdusk|trevenant,6,0,0.0,2,4,2.09,bodypress|ceaselessedge|clangingscales|doubleedge|drainpunch|flipturn|iceshard|ironhead|knockoff|moonblast|psychoboost|razorshell|sacredsword|superpower|tripleaxel|woodhammer
