battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-129368,v1,v2,v2Bfabbda4c,0,10,cinccino|clawitzer|coalossal|eiscuenoice|magmortar|toxapex,beartic|malamar|mightyena|regidrago|rotomfan,6,0,0.0,3,2,0.92
battle-gen9randomdoublesbattle-129369,v1,v2,v1Afabbda4c,1,6,garchomp|golduck|hariyama|houndoom|smeargle|zarude,calyrexshadow|charizard|hatterene|noivern|suicune|zangoose,4,2,1.104,6,0,0.0
battle-gen9randomdoublesbattle-129370,v1,v2,v1Afabbda4c,1,6,enamorus|falinks|greattusk|ironboulder|palkiaorigin|stonjourner,arboliva|drednaw|gothitelle|hawlucha|sawsbuckautumn|swalot,3,3,1.404,6,0,0.0
battle-gen9randomdoublesbattle-129371,v1,v2,v2Bfabbda4c,0,10,exeggutoralola|gardevoir|gholdengo|greedent|miniorviolet|toxapex,chandelure|emboar|ironjugulis|mismagius|moltresgalar|torterra,6,0,0.0,4,2,0.86
battle-gen9randomdoublesbattle-129372,v1,v2,v2Bfabbda4c,0,7,blastoise|exeggutor|ludicolo|lycanroc|rhyperior|taurospaldeacombat,corviknight|garganacl|golem|luvdisc|sylveon,6,0,0.0,3,2,0.85
battle-gen9randomdoublesbattle-129373,v1,v2,v2Bfabbda4c,0,8,arceuselectric|brambleghast|dedenne|ironbundle|regigigas|sceptile,magearnaoriginal|mesprit|ribombee|seviper|torterra|zebstrika,6,0,0.0,4,2,1.32
battle-gen9randomdoublesbattle-129374,v1,v2,v1Afabbda4c,1,9,ampharos|armarouge|braviaryhisui|honchkrow|perrserker|torterra,barraskewda|chiyu|electivire|floatzel|noivern|sudowoodo,5,1,0.108,6,0,0.0
battle-gen9randomdoublesbattle-129375,v1,v2,v1Afabbda4c,1,7,chandelure|dedenne|dudunsparce|porygonz|terrakion|vespiquen,clawitzer|gyarados|lucario|luxray|skeledirge|spectrier,2,4,2.932,6,0,0.0
battle-gen9randomdoublesbattle-129376,v1,v2,v1Afabbda4c,1,10,ariados|chesnaught|chimecho|greedent|grimmsnarl|volbeat,archaludon|blissey|diancie|plusle|regigigas|venusaur,4,2,1.401,6,0,0.0
battle-gen9randomdoublesbattle-129377,v1,v2,v2Bfabbda4c,0,9,banette|blaziken|cacturne|diancie|hawlucha|mudsdale,bronzong|golduck|groudon|manaphy|pyroar|skeledirge,6,0,0.0,5,1,0.41
battle-gen9randomdoublesbattle-129378,v1,v2,v2Bfabbda4c,0,7,basculegionf|ceruledge|ironleaves|komala|landorustherian|zekrom,bastiodon|froslass|qwilfishhisui|rillaboom|seviper|slowbro,6,0,0.0,4,2,1.12
battle-gen9randomdoublesbattle-129379,v1,v2,v1Afabbda4c,1,8,arceuspsychic|bellibolt|cyclizar|dachsbun|oinkologne|zamazenta,chesnaught|dragonite|inteleon|mismagius|terrakion|wigglytuff,5,1,0.422,6,0,0.0
battle-gen9randomdoublesbattle-129380,v1,v2,v1Afabbda4c,1,6,cinccino|flapple|gholdengo|mismagius|politoed|toxapex,annihilape|bruxish|dragalge|electivire|plusle|torterra,3,3,2.197,6,0,0.0
battle-gen9randomdoublesbattle-129381,v1,v2,v2Bfabbda4c,0,7,corviknight|dudunsparce|garchomp|probopass|shaymin|shiftry,altaria|beartic|gogoat|pachirisu|wigglytuff|zarudedada,6,0,0.0,5,1,0.91
battle-gen9randomdoublesbattle-129382,v1,v2,v2Bfabbda4c,0,10,chienpao|dedenne|drifblim|ironcrown|mudsdale|snorlax,appletun|azumarill|oinkologne|screamtail|skuntank|vileplume,6,0,0.0,4,2,1.65
battle-gen9randomdoublesbattle-129383,v1,v2,v1Afabbda4c,1,6,ambipom|ariados|flygon|metagross|overqwil|trevenant,calyrexshadow|gardevoir|houndoom|kingdra|toxapex|toxtricitylowkey,3,3,2.071,6,0,0.0
battle-gen9randomdoublesbattle-129384,v1,v2,v2Bfabbda4c,0,8,appletun|braviary|dewgong|gyarados|hitmonlee|ironhands,gardevoir|ironcrown|jumpluff|revavroom|tornadustherian|zekrom,6,0,0.0,5,1,0.69
battle-gen9randomdoublesbattle-129385,v1,v2,v2Bfabbda4c,0,8,alomomola|giratina|golurk|kyuremwhite|porygonz|rhyperior,avalugghisui|gothitelle|hydrapple|lurantis|phione,6,0,0.0,3,2,1.61
battle-gen9randomdoublesbattle-129386,v1,v2,v1Afabbda4c,1,7,camerupt|electivire|luvdisc|mukalola|quagsire|regidrago,chiyu|oranguru|rabsca|sandslashalola|smeargle|trevenant,4,2,2.0,6,0,0.0
battle-gen9randomdoublesbattle-129387,v1,v2,v2Bfabbda4c,0,10,arboliva|arceusground|charizard|glastrier|morpeko|ragingbolt,amoonguss|conkeldurr|dragonite|granbull|hippowdon|slowkinggalar,6,0,0.0,5,1,0.45
battle-gen9randomdoublesbattle-129388,v1,v2,v1Afabbda4c,1,9,blaziken|hitmonlee|ironcrown|latias|phione|slaking,archaludon|giratina|hitmonlee|ludicolo|meowsticf|palossand,4,2,1.179,6,0,0.0
battle-gen9randomdoublesbattle-129389,v1,v2,v2Bfabbda4c,0,9,bronzong|charizard|dudunsparce|gliscor|infernape|swampert,drednaw|mienshao|registeel|skarmory|uxie,6,0,0.0,3,2,1.35
battle-gen9randomdoublesbattle-129390,v1,v2,v2Bfabbda4c,0,6,chienpao|electivire|gliscor|plusle|rillaboom|zangoose,cyclizar|gastrodon|gougingfire|hitmonchan|phione|seviper,6,0,0.0,5,1,1.0
battle-gen9randomdoublesbattle-129391,v1,v2,v2Bfabbda4c,0,6,ditto|emboar|hydrapple|hydreigon|oinkolognef|phione,mabosstiff|sandyshocks|scizor|venomoth,6,0,0.0,3,1,0.56
battle-gen9randomdoublesbattle-129392,v1,v2,v1Afabbda4c,1,10,alomomola|chimecho|coalossal|jirachi|slaking|staraptor,blaziken|gardevoir|magnezone|plusle|poliwrath|sunflora,4,2,0.48,6,0,0.0
battle-gen9randomdoublesbattle-129393,v1,v2,v2Bfabbda4c,0,7,barraskewda|dodrio|drednaw|heatran|sandyshocks|sylveon,comfey|fezandipiti|golemalola|meowstic|rotom,6,0,0.0,3,2,1.03
battle-gen9randomdoublesbattle-129394,v1,v2,v1Afabbda4c,1,8,dipplin|eiscue|fezandipiti|frosmoth|lunala|rotommow,amoonguss|blaziken|chienpao|cramorant|latios|taurospaldeaaqua,4,2,1.383,6,0,0.0
battle-gen9randomdoublesbattle-129395,v1,v2,v2Bfabbda4c,0,9,chandelure|deoxysdefense|fezandipiti|stonjourner|toucannon|vigoroth,espathra|flygon|magcargo|rampardos|regigigas|tinkaton,6,0,0.0,4,2,1.13
battle-gen9randomdoublesbattle-129396,v1,v2,v2Bfabbda4c,0,10,altaria|okidogi|pincurchin|registeel|shiftry|vespiquen,clawitzer|donphan|mandibuzz|meganium|spectrier,6,0,0.0,3,2,1.48
battle-gen9randomdoublesbattle-129397,v1,v2,v1Afabbda4c,1,7,dipplin|dodrio|fezandipiti|hawlucha|uxie|weavile,annihilape|chiyu|landorus|munkidori|overqwil|walkingwake,3,3,2.445,6,0,0.0
battle-gen9randomdoublesbattle-129398,v1,v2,v2Bfabbda4c,0,10,bellibolt|greninja|jirachi|rhydon|salamence|smeargle,annihilape|cramorant|delibird|morpeko|overqwil|plusle,6,0,0.0,5,1,0.62
battle-gen9randomdoublesbattle-129399,v1,v2,v1Afabbda4c,1,8,arcaninehisui|furret|heracross|sneasler|walkingwake|zarude,cyclizar|hitmontop|lugia|luvdisc|urshifurapidstrike|weezinggalar,4,2,1.269,6,0,0.0
battle-gen9randomdoublesbattle-129400,v1,v2,v1Afabbda4c,1,8,cobalion|dusknoir|electrodehisui|shaymin|sneasler|suicune,cryogonal|excadrill|grafaiai|munkidori|quagsire|sunflora,4,2,1.282,6,0,0.0
battle-gen9randomdoublesbattle-129401,v1,v2,v2Bfabbda4c,0,8,cacturne|flareon|golduck|kommoo|skeledirge|zapdos,hitmonlee|klefki|mesprit|regieleki|sawsbuckwinter|vileplume,6,0,0.0,5,1,0.32
battle-gen9randomdoublesbattle-129402,v1,v2,v1Afabbda4c,1,7,beartic|grafaiai|scovillain|stonjourner|wyrdeer|zaciancrowned,chimecho|honchkrow|kingambit|kyogre|latios|regirock,4,2,1.866,6,0,0.0
battle-gen9randomdoublesbattle-129403,v1,v2,v2Bfabbda4c,0,8,baxcalibur|dusknoir|ironjugulis|regirock|venomoth|zekrom,entei|jirachi|regidrago|sceptile|umbreon,6,0,0.0,3,2,0.54
battle-gen9randomdoublesbattle-129404,v1,v2,v2Bfabbda4c,0,9,brambleghast|orthworm|snorlax|tentacruel|typhlosion|wigglytuff,bronzong|chandelure|darkrai|feraligatr|galvantula|vileplume,6,0,0.0,4,2,0.44
battle-gen9randomdoublesbattle-129405,v1,v2,v1Afabbda4c,1,10,arceusghost|goodrahisui|greninja|magmortar|toxapex|ursalunabloodmoon,cramorant|goodra|lugia|magearna|rhyperior|skuntank,2,4,3.013,6,0,0.0
battle-gen9randomdoublesbattle-129406,v1,v2,v1Afabbda4c,1,7,kyurem|noivern|raichu|revavroom|sandaconda|shiftry,honchkrow|ironboulder|ironhands|noivern|ogerponcornerstone|weezinggalar,5,1,0.611,6,0,0.0
battle-gen9randomdoublesbattle-129407,v1,v2,v2Bfabbda4c,0,7,deoxysspeed|latias|mandibuzz|quagsire|swanna|zangoose,arboliva|dachsbun|fezandipiti|mienshao|mudsdale|tornadus,6,0,0.0,5,1,1.0
battle-gen9randomdoublesbattle-129408,v1,v2,v2Bfabbda4c,0,10,corviknight|dipplin|gothitelle|lumineon|pyroar|vigoroth,corviknight|dachsbun|mewtwo|orthworm|slowbrogalar|wochien,6,0,0.0,4,2,1.02
battle-gen9randomdoublesbattle-129409,v1,v2,v1Afabbda4c,1,8,cinccino|jolteon|lugia|magnezone|metagross|toucannon,brambleghast|dialgaorigin|fezandipiti|grimmsnarl|mienshao|walkingwake,4,2,0.96,6,0,0.0
battle-gen9randomdoublesbattle-129410,v1,v2,v2Bfabbda4c,0,7,appletun|gyarados|ludicolo|palossand|regieleki|regigigas,annihilape|charizard|latios|mismagius|pyroar|vaporeon,6,0,0.0,4,2,1.93
battle-gen9randomdoublesbattle-129411,v1,v2,v2Bfabbda4c,0,6,cresselia|hitmontop|meloetta|palafin|pelipper|toucannon,deoxysattack|hydreigon|slowking|swampert,6,0,0.0,2,2,1.37
battle-gen9randomdoublesbattle-129412,v1,v2,v1Afabbda4c,1,7,fezandipiti|ironleaves|klefki|qwilfishhisui|snorlax|urshifurapidstrike,dugtrio|florgesyellow|greninja|magcargo|seviper|sunflora,3,3,2.12,6,0,0.0
battle-gen9randomdoublesbattle-129413,v1,v2,v2Bfabbda4c,0,11,excadrill|golduck|heatran|honchkrow|leafeon|manaphy,crawdaunt|dragapult|inteleon|taurospaldeacombat|tinkaton|torkoal,6,0,0.0,5,1,0.27
battle-gen9randomdoublesbattle-129414,v1,v2,v2Bfabbda4c,0,10,articuno|calyrex|drifblim|hypno|smeargle|vikavolt,archaludon|glalie|heatran|vespiquen|volcanion|whiscash,6,0,0.0,4,2,1.06
battle-gen9randomdoublesbattle-129415,v1,v2,v1Afabbda4c,1,5,galvantula|lilligant|sylveon|tatsugiri|torkoal|vespiquen,abomasnow|cloyster|houndoom|plusle|primarina|whimsicott,4,2,1.116,6,0,0.0
battle-gen9randomdoublesbattle-129416,v1,v2,v2Bfabbda4c,0,6,chimecho|dragalge|eelektross|illumise|polteageist|ursaluna,jumpluff|klawf|lumineon|slitherwing|uxie|volcarona,6,0,0.0,4,2,2.0
battle-gen9randomdoublesbattle-129417,v1,v2,v1Afabbda4c,1,7,electrode|lucario|mesprit|palossand|salazzle|spectrier,inteleon|kleavor|minun|polteageist|probopass|zamazenta,5,1,0.27,6,0,0.0
battle-gen9randomdoublesbattle-129418,v1,v2,v2Bfabbda4c,0,7,donphan|ironthorns|lucario|mandibuzz|slitherwing|wugtrio,calyrexshadow|dodrio|ironmoth|mewtwo|ogerponwellspring|skeledirge,6,0,0.0,5,1,0.59
battle-gen9randomdoublesbattle-129419,v1,v2,v1Afabbda4c,1,6,arceusrock|decidueye|ironjugulis|koraidon|skarmory|slaking,deoxys|drifblim|flareon|quaquaval|stonjourner|talonflame,6,0,0.0,6,0,0.0
