battle_id,winner,turns,team_us,team_opp
battle-gen9randomdoublesbattle-117167,opp,16,alomomola|camerupt|gougingfire|meowscarada|slowbro|torterra,infernape|mudsdale|poliwrath|revavroom|sceptile|solgaleo
battle-gen9randomdoublesbattle-117168,opp,21,armarouge|bombirdier|carbink|chandelure|luvdisc|meowsticf,charizard|chimecho|glaceon|ragingbolt|veluza|weezing
battle-gen9randomdoublesbattle-117169,us,17,bombirdier|brutebonnet|garganacl|lurantis|oricorio|walkingwake,barraskewda|cloyster|electrode|espathra|sandaconda|seviper
battle-gen9randomdoublesbattle-117170,opp,20,blastoise|brambleghast|frosmoth|groudon|meowstic|noctowl,calyrex|mewtwo|phione|polteageist|terrakion|toucannon
battle-gen9randomdoublesbattle-117171,us,17,ampharos|ironmoth|masquerain|persianalola|toucannon|victreebel,eternatus|indeedeef|ironboulder|kyuremblack|pelipper|zaciancrowned
battle-gen9randomdoublesbattle-117172,opp,13,ampharos|excadrill|kyogre|meowscarada|reshiram|roaringmoon,deoxysdefense|forretress|overqwil|reshiram|revavroom|slaking
battle-gen9randomdoublesbattle-117173,us,11,bombirdier|cyclizar|forretress|porygonz|vaporeon|wochien,beartic|bellibolt|flamigo|honchkrow|scizor|terrakion
battle-gen9randomdoublesbattle-117174,opp,17,barraskewda|infernape|ironvaliant|lanturn|tornadus|zangoose,azelf|blissey|cyclizar|donphan|mimikyu|torkoal
battle-gen9randomdoublesbattle-117175,opp,15,archaludon|dodrio|grimmsnarl|houndoom|vileplume|zapdosgalar,abomasnow|articunogalar|camerupt|dragalge|gothitelle|skuntank
battle-gen9randomdoublesbattle-117176,us,19,hitmonlee|minun|munkidori|spiritomb|tropius|ursalunabloodmoon,arceuspsychic|basculin|hypno|politoed|probopass|raichu
battle-gen9randomdoublesbattle-117177,opp,10,arceusdragon|basculegion|copperajah|koraidon|luvdisc|slitherwing,bellossom|fezandipiti|granbull|mausholdfour|politoed|snorlax
battle-gen9randomdoublesbattle-117178,opp,20,camerupt|dedenne|hitmonchan|lapras|rotommow|snorlax,copperajah|gyarados|heatran|lapras|leavanny|regieleki
battle-gen9randomdoublesbattle-117179,us,12,ceruledge|hitmontop|houndstone|persian|shayminsky|snorlax,barraskewda|dugtrioalola|ironthorns|lapras|pincurchin|venusaur
battle-gen9randomdoublesbattle-117180,us,23,appletun|clefairy|farigiraf|forretress|sylveon|tatsugiri,arcaninehisui|breloom|jirachi|latios|oinkologne|rillaboom
battle-gen9randomdoublesbattle-117181,opp,18,camerupt|flygon|gengar|latios|samurotthisui|serperior,banette|breloom|ludicolo|minioryellow|polteageistantique|slowkinggalar
battle-gen9randomdoublesbattle-117182,opp,15,dewgong|flareon|garchomp|indeedee|ironmoth|sandslashalola,chienpao|chimecho|galvantula|luxray|swampert|volcanion
battle-gen9randomdoublesbattle-117183,opp,14,barraskewda|chandelure|deoxys|incineroar|thundurus|whiscash,crawdaunt|eelektross|gyarados|medicham|skeledirge|vileplume
battle-gen9randomdoublesbattle-117184,opp,16,blissey|duraludon|flapple|gallade|kingambit|lanturn,decidueyehisui|leafeon|miraidon|regigigas|skarmory|toxapex
battle-gen9randomdoublesbattle-117185,us,15,charizard|mabosstiff|magcargo|mienshao|tinkaton|venomoth,irontreads|mienshao|probopass|swalot|toedscruel|venusaur
battle-gen9randomdoublesbattle-117186,opp,15,cresselia|feraligatr|gothitelle|hippowdon|sawsbucksummer|venusaur,braviary|coalossal|gastrodoneast|glaceon|pikachusinnoh|regirock
battle-gen9randomdoublesbattle-117187,opp,17,azelf|barraskewda|clodsire|lumineon|malamar|spiritomb,appletun|blaziken|lugia|pecharunt|venomoth|wigglytuff
battle-gen9randomdoublesbattle-117188,us,22,cramorant|gallade|goodra|raikou|terapagosterastal|zarude,amoonguss|beartic|dipplin|granbull|miniororange|rotomheat
battle-gen9randomdoublesbattle-117189,opp,16,bastiodon|gallade|glastrier|kyuremwhite|poliwrath|spidops,fluttermane|greedent|ironcrown|magnezone|meowsticf|sableye
battle-gen9randomdoublesbattle-117190,opp,25,dudunsparcethreesegment|klawf|luvdisc|palafinhero|perrserker|virizion,delibird|gougingfire|manaphy|registeel|reshiram|slaking
battle-gen9randomdoublesbattle-117191,us,22,gardevoir|hooh|milotic|porygon2|regice|sylveon,azelf|hawlucha|hoopaunbound|landorustherian|rhydon|seviper
battle-gen9randomdoublesbattle-117192,us,15,arcaninehisui|ludicolo|noctowl|phione|plusle|reshiram,cobalion|decidueye|garchomp|necrozmadawnwings|slaking|tatsugiri
battle-gen9randomdoublesbattle-117193,opp,14,flamigo|golduck|houndstone|regieleki|sandslash|urshifu,alcremiesaltedcream|altaria|bruxish|hatterene|magmortar|ogerponhearthflame
battle-gen9randomdoublesbattle-117194,us,11,azumarill|cacturne|indeedee|staraptor|veluza|zaciancrowned,cinderace|kilowattrel|lilliganthisui|okidogi|porygonz|volbeat
battle-gen9randomdoublesbattle-117195,opp,14,froslass|goodrahisui|luvdisc|quaquaval|toucannon|volcarona,ceruledge|dusknoir|flapple|inteleon|regirock|tentacruel
battle-gen9randomdoublesbattle-117196,us,15,cryogonal|empoleon|hitmontop|houndstone|lurantis|mesprit,avalugg|bombirdier|cinccino|taurospaldeacombat|torterra|venusaur
battle-gen9randomdoublesbattle-117197,us,24,braviary|empoleon|heatran|hypno|swalot|vespiquen,basculegion|braviaryhisui|lokix|magmortar|magnezone|smeargle
battle-gen9randomdoublesbattle-117198,opp,24,cinderace|hawlucha|hypno|ironbundle|trevenant|volbeat,bruxish|charizard|klefki|porygonz|slowbro|typhlosion
battle-gen9randomdoublesbattle-117199,us,25,drifblim|flamigo|glalie|glimmora|milotic|venusaur,clawitzer|crawdaunt|dialgaorigin|giratinaorigin|smeargle|weezing
battle-gen9randomdoublesbattle-117200,opp,29,illumise|lilliganthisui|mimikyubusted|sableye|sudowoodo|toedscruel,baxcalibur|heatran|malamar|meganium|tentacruel|zamazentacrowned
battle-gen9randomdoublesbattle-117201,us,17,basculegionf|dachsbun|lucario|reuniclus|swalot|wyrdeer,ironbundle|lunala|magmortar|mandibuzz|mimikyu|roaringmoon
battle-gen9randomdoublesbattle-117202,opp,16,delphox|houndstone|jumpluff|kingdra|magmortar|screamtail,basculinbluestriped|conkeldurr|dragapult|dragonite|eiscue|lycanrocdusk
battle-gen9randomdoublesbattle-117203,us,9,deoxys|dondozo|hydreigon|kleavor|mismagius|toxapex,arbok|blastoise|cinderace|drednaw|hoopa|scrafty
battle-gen9randomdoublesbattle-117204,opp,31,forretress|kricketune|landorus|rhyperior|slaking|vileplume,ragingbolt|ribombee|skarmory|umbreon|urshifu|wigglytuff
battle-gen9randomdoublesbattle-117205,opp,16,blaziken|mew|milotic|shiftry|terapagos|ursaluna,arboliva|ironhands|meowstic|tatsugiri|whiscash|wochien
battle-gen9randomdoublesbattle-117206,opp,20,abomasnow|arceusfairy|kingdra|kricketune|spiritomb|whiscash,azumarill|clodsire|koraidon|polteageistantique|shaymin|snorlax
battle-gen9randomdoublesbattle-117207,us,16,blastoise|electrode|gallade|ironleaves|magmortar|rampardos,avalugghisui|baxcalibur|cobalion|granbull|hypno|plusle
battle-gen9randomdoublesbattle-117208,us,18,arceusgrass|enamorus|houndoom|lumineon|perrserker|regigigas,chimecho|hippowdon|kommoo|landorus|lanturn|mabosstiff
battle-gen9randomdoublesbattle-117209,opp,16,bombirdier|cloyster|hypno|ironleaves|lapras|trevenant,cinderace|dialgaorigin|klawf|latias|slaking|slitherwing
battle-gen9randomdoublesbattle-117210,us,14,archaludon|cetitan|flygon|galvantula|mesprit|pecharunt,flareon|hoopaunbound|kingambit|lurantis|meowstic|skarmory
battle-gen9randomdoublesbattle-117211,opp,13,gougingfire|inteleon|lugia|regieleki|salamence|slowbro,gliscor|mimikyu|samurotthisui|snorlax
battle-gen9randomdoublesbattle-117212,opp,30,electabuzz|grimmsnarl|oranguru|tornadus|whiscash|wyrdeer,alomomola|falinks|hydrapple|magmar|mandibuzz|torkoal
battle-gen9randomdoublesbattle-117213,us,18,bruxish|cobalion|eiscuenoice|florges|infernape|ironcrown,chandelure|darkrai|goodrahisui|ironthorns|masquerain|screamtail
battle-gen9randomdoublesbattle-117214,opp,18,conkeldurr|dedenne|greninja|komala|slowking|spectrier,baxcalibur|diancie|dusknoir|munkidori|vikavolt|walkingwake
battle-gen9randomdoublesbattle-117215,us,27,eternatus|gogoat|irontreads|lunala|meowstic|vespiquen,basculin|eternatus|gastrodoneast|klefki|magearna|shaymin
battle-gen9randomdoublesbattle-117216,us,12,drifblim|grimmsnarl|groudon|leafeon|spidops|umbreon,barraskewda|chimecho|clawitzer|hawlucha|pawmot|zangoose
battle-gen9randomdoublesbattle-117217,opp,18,amoonguss|electivire|excadrill|klefki|veluza|wyrdeer,bronzong|bruxish|froslass|minun|regirock|suicune
battle-gen9randomdoublesbattle-117218,us,13,archaludon|galvantula|glastrier|kingambit|polteageist|zekrom,chimecho|crawdaunt|ninetales|sinistchamasterpiece|terapagos|tinglu
battle-gen9randomdoublesbattle-117219,us,18,appletun|cobalion|dondozo|ogerponwellspring|oinkologne|pyroar,barraskewda|cacturne|dachsbun|irontreads|ogerponhearthflame|veluza
battle-gen9randomdoublesbattle-117220,opp,17,delphox|lokix|reuniclus|urshifu|venusaur|vikavolt,granbull|jolteon|komala|lugia|ogerpon|seviper
battle-gen9randomdoublesbattle-117221,opp,23,amoonguss|garchomp|magmortar|regigigas|tatsugiri|volcanion,dragonite|hariyama|milotic|polteageist|umbreon|venomoth
battle-gen9randomdoublesbattle-117222,us,28,braviaryhisui|eiscuenoice|flareon|gliscor|krookodile|qwilfishhisui,basculegionf|dewgong|hooh|klawf|oricoriopompom|porygonz
battle-gen9randomdoublesbattle-117223,us,17,armarouge|garchomp|infernape|mightyena|ninetalesalola|vigoroth,hippowdon|kricketune|metagross|mightyena|tyranitar|volcanion
battle-gen9randomdoublesbattle-117224,opp,20,eiscuenoice|flygon|mamoswine|manaphy|mightyena|qwilfish,abomasnow|clodsire|cobalion|kingdra|komala|uxie
battle-gen9randomdoublesbattle-117225,us,20,clawitzer|dachsbun|ditto|okidogi|pyroar|volcanion,gothitelle|heracross|magearnaoriginal|samurotthisui|swampert|yanmega
battle-gen9randomdoublesbattle-117226,us,10,arboliva|forretress|gougingfire|indeedee|jumpluff|rotomfan,cryogonal|honchkrow|ironleaves|vigoroth|vikavolt|walkingwake
battle-gen9randomdoublesbattle-117227,us,15,banette|coalossal|galvantula|greedent|pawmot|pelipper,golemalola|hooh|necrozma|regidrago|rhydon|virizion
battle-gen9randomdoublesbattle-117228,opp,19,giratina|greedent|regidrago|taurospaldeacombat|tentacruel|whimsicott,espeon|froslass|grimmsnarl|kingdra|latios|wugtrio
battle-gen9randomdoublesbattle-117229,us,12,chimecho|dragalge|electivire|empoleon|roaringmoon|swampert,altaria|delphox|greninja|moltres|shiftry|sudowoodo
battle-gen9randomdoublesbattle-117230,us,14,blastoise|golem|jumpluff|magmortar|taurospaldeablaze|veluza,delphox|dondozo|lycanrocmidnight|mudsdale|noivern|raichu
