battle_id,winner,turns,team_us,team_opp
battle-gen9randomdoublesbattle-119167,us,14,bellibolt|entei|gardevoir|infernape|keldeoresolute|noctowl,braviaryhisui|golurk|lunala|magmortar|scizor|talonflame
battle-gen9randomdoublesbattle-119168,opp,25,arbok|articuno|blissey|crawdaunt|ribombee|walkingwake,alomomola|chandelure|ironhands|meloetta|ogerponhearthflame|toxapex
battle-gen9randomdoublesbattle-119169,opp,17,avalugg|glaceon|keldeoresolute|okidogi|oranguru|skuntank,electivire|feraligatr|magmortar|mightyena|salazzle|venusaur
battle-gen9randomdoublesbattle-119170,opp,19,clefairy|medicham|mismagius|skarmory|tentacruel|whimsicott,forretress|gougingfire|granbull|jolteon|muk|screamtail
battle-gen9randomdoublesbattle-119171,opp,10,gastrodon|kilowattrel|kingambit|persianalola|stonjourner|virizion,eelektross|indeedeef|lapras|masquerain|quaquaval|rillaboom
battle-gen9randomdoublesbattle-119172,opp,23,bellibolt|cresselia|falinks|gyarados|inteleon|kleavor,kleavor|ludicolo|registeel|trevenant|vaporeon|wyrdeer
battle-gen9randomdoublesbattle-119173,us,14,arceuswater|chiyu|coalossal|quagsire|raichualola|zarude,glastrier|ironvaliant|magcargo|okidogi|raichu|roaringmoon
battle-gen9randomdoublesbattle-119174,us,12,dodrio|flapple|glalie|mukalola|polteageistantique|trevenant,bastiodon|empoleon|lanturn|lilligant|rayquaza|wyrdeer
battle-gen9randomdoublesbattle-119175,opp,15,appletun|meloetta|mesprit|miraidon|oricoriosensu|poliwrath,crawdaunt|leafeon|metagross|sinistcha|thundurustherian|umbreon
battle-gen9randomdoublesbattle-119176,us,27,clodsire|corviknight|gyarados|ironvaliant|polteageist|virizion,ironvaliant|latias|leavanny|mew|milotic|palkia
battle-gen9randomdoublesbattle-119177,opp,16,araquanid|espathra|mamoswine|mudsdale|oranguru|primarina,ironmoth|ninetales|phione|samurott|sawsbuck|sudowoodo
battle-gen9randomdoublesbattle-119178,us,16,ampharos|comfey|exeggutoralola|lokix|samurotthisui|trevenant,dugtrio|enamorus|houndstone|rayquaza|spiritomb|zaciancrowned
battle-gen9randomdoublesbattle-119179,us,19,avalugghisui|dialgaorigin|lugia|manaphy|minun|primarina,cresselia|diancie|oricoriopau|sunflora|swanna|tsareena
battle-gen9randomdoublesbattle-119180,opp,23,dragapult|minun|perrserker|revavroom|spiritomb|wyrdeer,dialgaorigin|dondozo|haxorus|jirachi|mamoswine|terrakion
battle-gen9randomdoublesbattle-119181,opp,14,amoonguss|cetitan|haxorus|ironmoth|politoed|smeargle,cetitan|espeon|ironbundle|milotic|oricoriosensu|stonjourner
battle-gen9randomdoublesbattle-119182,us,18,abomasnow|ariados|falinks|hatterene|ironthorns|politoed,appletun|duraludon|forretress|greedent|mismagius|rhydon
battle-gen9randomdoublesbattle-119183,opp,18,gengar|glastrier|roaringmoon|scyther|shayminsky|slowking,hippowdon|inteleon|leavanny|magnezone|sylveon|vikavolt
battle-gen9randomdoublesbattle-119184,us,23,clawitzer|ditto|keldeoresolute|vivilloncontinental|wochien|zamazentacrowned,chesnaught|gothitelle|kilowattrel|manaphy|scizor|vivillonjungle
battle-gen9randomdoublesbattle-119185,us,9,flapple|glastrier|luvdisc|metagross|passimian|wochien,dragalge|drednaw|greedent|reshiram|spectrier|vaporeon
battle-gen9randomdoublesbattle-119186,us,23,chienpao|gholdengo|hydrapple|metagross|slaking|zekrom,amoonguss|dusknoir|heatran|rabsca|reshiram|rhyperior
battle-gen9randomdoublesbattle-119187,us,13,conkeldurr|dialga|frosmoth|lunala|mamoswine|terrakion,arcanine|dachsbun|regirock|spectrier|walkingwake|zekrom
battle-gen9randomdoublesbattle-119188,us,15,entei|froslass|gastrodoneast|glaceon|slowbro|sylveon,donphan|frosmoth|mew|sunflora|zangoose|zarudedada
battle-gen9randomdoublesbattle-119189,opp,16,gengar|leafeon|palossand|snorlax|sylveon|toxtricitylowkey,basculin|electrodehisui|glastrier|mandibuzz|wyrdeer
battle-gen9randomdoublesbattle-119190,us,18,appletun|greattusk|plusle|sandslashalola|smeargle|trevenant,conkeldurr|electabuzz|gliscor|regirock|sawsbuckwinter|zaciancrowned
battle-gen9randomdoublesbattle-119191,us,15,arcaninehisui|breloom|chandelure|luxray|meowstic|oranguru,crawdaunt|inteleon|mukalola|pikachuworld|skeledirge|vivillongarden
battle-gen9randomdoublesbattle-119192,us,20,azumarill|baxcalibur|calyrexice|hatterene|komala|sinistcha,calyrexshadow|eternatus|florgeswhite|gougingfire|masquerain|victreebel
battle-gen9randomdoublesbattle-119193,opp,20,carbink|gyarados|malamar|sableye|sneasler|wyrdeer,houndstone|indeedee|phione|suicune|wyrdeer
battle-gen9randomdoublesbattle-119194,us,35,magearna|regigigas|revavroom|sableye|talonflame|volbeat,floatzel|illumise|indeedee|porygon2|salamence|tyranitar
battle-gen9randomdoublesbattle-119195,us,10,calyrexshadow|ceruledge|munkidori|roaringmoon|scovillain|venomoth,ambipom|delibird|espathra|mesprit|rampardos|sudowoodo
battle-gen9randomdoublesbattle-119196,opp,10,ariados|avalugghisui|floatzel|meowscarada|milotic|salamence,bronzong|chiyu|cyclizar|pecharunt|slowbro|spiritomb
battle-gen9randomdoublesbattle-119197,opp,13,fezandipiti|greninja|heracross|magnezone|pikachuoriginal|walkingwake,braviary|donphan|floatzel|klefki|overqwil|tyranitar
battle-gen9randomdoublesbattle-119198,us,15,furret|gumshoos|jolteon|plusle|rayquaza|volcarona,basculin|blaziken|ditto|flapple|ironbundle|lilliganthisui
battle-gen9randomdoublesbattle-119199,us,16,banette|crabominable|flareon|meowscarada|minun|swalot,chiyu|dachsbun|muk|polteageist|samurott|scovillain
battle-gen9randomdoublesbattle-119200,opp,13,blaziken|cloyster|delibird|diancie|mabosstiff|regieleki,exeggutor|froslass|gastrodoneast|komala|sandslashalola|screamtail
battle-gen9randomdoublesbattle-119201,us,24,arceusbug|gholdengo|kilowattrel|swampert|tropius|walkingwake,oricoriopau|pachirisu|pelipper|quagsire|rampardos|toxicroak
battle-gen9randomdoublesbattle-119202,opp,14,ambipom|blissey|cetitan|chesnaught|jolteon|taurospaldeablaze,banette|basculin|ironthorns|magmar|rotomfrost|slitherwing
battle-gen9randomdoublesbattle-119203,opp,16,espathra|exeggutor|froslass|greattusk|hippowdon|skarmory,bastiodon|farigiraf|flapple|incineroar|kyogre|porygon2
battle-gen9randomdoublesbattle-119204,opp,19,blissey|falinks|ironhands|meloetta|pelipper|sableye,dipplin|infernape|oinkolognef|regidrago|umbreon|vigoroth
battle-gen9randomdoublesbattle-119205,opp,16,hypno|irontreads|kingambit|munkidori|scyther|urshifu,hippowdon|murkrow|passimian|swampert|umbreon|zangoose
battle-gen9randomdoublesbattle-119206,opp,20,camerupt|dragalge|hatterene|ironleaves|ludicolo|mamoswine,gastrodoneast|hooh|incineroar|ironboulder|sylveon|vileplume
battle-gen9randomdoublesbattle-119207,us,14,azumarill|cinderace|mabosstiff|quagsire|rotom|talonflame,crabominable|crawdaunt|flareon|kleavor|toucannon|zarude
battle-gen9randomdoublesbattle-119208,opp,14,arceusdark|copperajah|dragonite|torkoal|weavile|weezinggalar,chiyu|groudon|leavanny|meowstic|pincurchin|yanmega
battle-gen9randomdoublesbattle-119209,opp,12,avalugghisui|dragapult|reuniclus|salamence|toxtricitylowkey|uxie,bruxish|corviknight|fluttermane|rhyperior|weavile|zebstrika
battle-gen9randomdoublesbattle-119210,us,30,bellossom|delibird|greattusk|kyuremblack|minun|sandyshocks,bombirdier|inteleon|leafeon|lunala|mausholdfour|sandslashalola
