battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randomdoublesbattle-97159,V1_B_3b84,24,0,cobalion|drifblim|overqwil|regice|skuntank|snorlax,cramorant|cryogonal|granbull|milotic|sableye|skeledirge,6,4,
battle-gen9randomdoublesbattle-97160,V1_A_3b84,25,1,calyrexshadow|camerupt|klawf|sceptile|sunflora|tinglu,blaziken|minun|miraidon|squawkabilly|swampert|vileplume,3,6,
battle-gen9randomdoublesbattle-97161,V1_A_3b84,16,1,cryogonal|espeon|feraligatr|ironbundle|leavanny|persianalola,dodrio|heracross|lycanroc|probopass|shiftry|skuntank,3,6,
battle-gen9randomdoublesbattle-97162,V1_A_3b84,10,1,abomasnow|diancie|greedent|grimmsnarl|oranguru|palafin,electivire|glaceon|granbull|greattusk|hydreigon|jumpluff,0,6,
battle-gen9randomdoublesbattle-97163,V1_B_3b84,13,0,frosmoth|glimmora|gliscor|honchkrow|pyroar|roaringmoon,bellossom|eelektross|komala|lunala|sandslash|venomoth,6,4,
battle-gen9randomdoublesbattle-97164,V1_A_3b84,10,1,falinks|malamar|morpeko|salazzle|swampert|tropius,calyrexice|crawdaunt|keldeoresolute|mismagius|solgaleo|zacian,1,6,
battle-gen9randomdoublesbattle-97165,V1_B_3b84,23,0,furret|ironjugulis|jirachi|mew|regirock|sceptile,arceusfighting|heatran|palafin|plusle|slowking|tyranitar,6,4,
battle-gen9randomdoublesbattle-97166,V1_A_3b84,19,1,blissey|calyrex|haxorus|kricketune|noivern|ribombee,altaria|ironleaves|magmortar|ogerpon|pikachuworld|polteageist,2,6,
battle-gen9randomdoublesbattle-97167,V1_B_3b84,19,0,heracross|mewtwo|probopass|snorlax|swampert|trevenant,chesnaught|ditto|hypno|mienshao|minun|perrserker,6,4,
battle-gen9randomdoublesbattle-97168,V1_B_3b84,10,0,arceuspoison|cacturne|cyclizar|ironvaliant|rampardos|ribombee,cobalion|corviknight|hypno|ironhands|sableye|veluza,6,3,
battle-gen9randomdoublesbattle-97169,V1_B_3b84,19,0,empoleon|glalie|landorustherian|minun|roaringmoon|rotom,cetitan|chiyu|golduck|klefki|lurantis|urshifurapidstrike,6,5,
battle-gen9randomdoublesbattle-97170,V1_A_3b84,17,1,azelf|bellossom|coalossal|lumineon|swalot|weavile,breloom|jolteon|klefki|mismagius|weavile|wugtrio,5,6,
battle-gen9randomdoublesbattle-97171,V1_A_3b84,18,1,annihilape|dachsbun|mamoswine|reuniclus|scyther|venusaur,ditto|hatterene|raichu|sceptile|sneasler|vivillonarchipelago,3,6,
battle-gen9randomdoublesbattle-97172,V1_B_3b84,18,0,amoonguss|dudunsparce|grimmsnarl|leafeon|ragingbolt|sableye,ceruledge|dudunsparce|magnezone|palossand|salamence|scovillain,6,2,
battle-gen9randomdoublesbattle-97173,V1_A_3b84,16,1,altaria|crabominable|cryogonal|espathra|mienshao|tauros,exeggutoralola|gengar|grumpig|smeargle|squawkabillyblue|victreebel,4,6,
battle-gen9randomdoublesbattle-97174,V1_A_3b84,22,1,copperajah|oricoriopompom|rampardos|sandaconda|slitherwing|victreebel,deoxysdefense|eelektross|furret|quagsire|regirock|snorlax,5,6,
