battle_id,winner,turns,won,team_us,team_opp,fainted_us,fainted_opp,moves_used
battle-gen9randomdoublesbattle-107159,V2_B_b8b5,14,0,dragapult|ironbundle|mudsdale|noctowl|pawmot|swanna,clodsire|cloyster|kleavor|pawmot|sawsbucksummer|spiritomb,6,4,
battle-gen9randomdoublesbattle-107160,V2_A_b8b5,18,1,hariyama|kingdra|manaphy|roaringmoon|talonflame|thundurus,bellibolt|clefable|heatran|rhyperior|salamence|scizor,5,6,
battle-gen9randomdoublesbattle-107161,V2_A_b8b5,12,1,appletun|conkeldurr|rhyperior|ribombee|roaringmoon|slowkinggalar,cacturne|dialga|fluttermane|landorustherian|latias|rotomheat,1,6,
battle-gen9randomdoublesbattle-107162,V2_A_b8b5,12,1,baxcalibur|ironthorns|luxray|polteageistantique|registeel|ribombee,barraskewda|granbull|hariyama|hawlucha|manaphy|meloetta,3,6,
battle-gen9randomdoublesbattle-107163,V2_B_b8b5,21,0,metagross|persian|regirock|toedscruel|urshifu|walkingwake,arboliva|articuno|blaziken|dialga|oinkolognef|tropius,6,3,
battle-gen9randomdoublesbattle-107164,V2_B_b8b5,13,0,electrodehisui|heracross|pikachusinnoh|scovillain|swalot|urshifu,floatzel|greninja|kyuremblack|reshiram|ribombee,6,3,
battle-gen9randomdoublesbattle-107165,V2_B_b8b5,22,0,ambipom|floatzel|mightyena|serperior|umbreon|weezinggalar,dondozo|greninja|okidogi|pecharunt|sandaconda|sandslashalola,6,3,
battle-gen9randomdoublesbattle-107166,V2_B_b8b5,19,0,banette|bastiodon|dragonite|hariyama|minun|rillaboom,clodsire|cobalion|furret|krookodile|ludicolo|moltres,6,4,
battle-gen9randomdoublesbattle-107167,V2_B_b8b5,24,0,clefairy|donphan|reuniclus|samurott|vespiquen|wugtrio,ditto|muk|okidogi|serperior|volcanion|weavile,6,4,
battle-gen9randomdoublesbattle-107168,V2_B_b8b5,25,0,brambleghast|dewgong|mewtwo|sandaconda|tsareena|wugtrio,lanturn|meganium|rampardos|regigigas|terrakion|toedscruel,6,5,
battle-gen9randomdoublesbattle-107169,V2_B_b8b5,13,0,conkeldurr|gardevoir|grimmsnarl|hitmonchan|lurantis|porygon2,dragalge|dudunsparcethreesegment|feraligatr|ironvaliant|roaringmoon|wigglytuff,6,4,
battle-gen9randomdoublesbattle-107170,V2_A_b8b5,12,1,azumarill|eternatus|kleavor|landorus|rotomheat|weavile,braviaryhisui|copperajah|drifblim|gothitelle|ninetalesalola|shiftry,3,6,
battle-gen9randomdoublesbattle-107171,V2_B_b8b5,18,0,braviary|diancie|hippowdon|magcargo|salamence|skuntank,leafeon|mausholdfour|milotic|moltresgalar|rhydon|vigoroth,6,4,
battle-gen9randomdoublesbattle-107172,V2_B_b8b5,10,0,azelf|golduck|jirachi|luvdisc|rhyperior|vivillonmodern,banette|pincurchin|rampardos|regirock|swampert|sylveon,6,3,
battle-gen9randomdoublesbattle-107173,V2_A_b8b5,15,1,corviknight|honchkrow|medicham|regieleki|salazzle|swampert,blastoise|groudon|kyurem|meowscarada|miraidon|tinkaton,4,6,
battle-gen9randomdoublesbattle-107174,V2_B_b8b5,21,0,dondozo|hippowdon|hitmontop|hypno|suicune|tinkaton,deoxysdefense|grimmsnarl|ironboulder|passimian|politoed|toucannon,6,4,
battle-gen9randomdoublesbattle-107175,V2_A_b8b5,16,1,chienpao|darkrai|fezandipiti|indeedeef|pincurchin|victreebel,mamoswine|mew|sudowoodo|suicune|walkingwake|zapdosgalar,1,6,
battle-gen9randomdoublesbattle-107176,V2_A_b8b5,20,1,annihilape|ceruledge|dragonite|hitmonlee|oricoriopau|swalot,arcanine|mimikyu|rhyperior|sableye|slaking|toxtricity,4,6,
battle-gen9randomdoublesbattle-107177,V2_A_b8b5,11,1,decidueye|entei|fezandipiti|frosmoth|munkidori|weavile,empoleon|garganacl|hydreigon|sandaconda|scovillain|volcanion,5,6,
battle-gen9randomdoublesbattle-107178,V2_A_b8b5,15,1,braviary|dipplin|heracross|pachirisu|tentacruel|vespiquen,darkrai|excadrill|kyogre|meloetta|rotomfan|zebstrika,3,6,
