battle_id,winner,turns,won
battle-gen9randombattle-1233,Smart_718b,14,1
battle-gen9randombattle-1234,Smart_718b,22,1
battle-gen9randombattle-1235,Smart_718b,38,1
battle-gen9randombattle-1236,Smart_718b,24,1
battle-gen9randombattle-1237,Smart_718b,16,1
battle-gen9randombattle-1238,Smart_718b,25,1
battle-gen9randombattle-1239,Smart_718b,27,1
battle-gen9randombattle-1240,Smart_718b,36,1
battle-gen9randombattle-1241,Smart_718b,31,1
battle-gen9randombattle-1242,Smart_718b,26,1
battle-gen9randombattle-1243,Smart_718b,29,1
battle-gen9randombattle-1244,Smart_718b,24,1
battle-gen9randombattle-1245,Smart_718b,29,1
battle-gen9randombattle-1246,Smart_718b,21,1
battle-gen9randombattle-1247,Smart_718b,17,1
battle-gen9randombattle-1248,Smart_718b,20,1
battle-gen9randombattle-1249,Smart_718b,34,1
battle-gen9randombattle-1250,Smart_718b,12,1
battle-gen9randombattle-1251,Smart_718b,17,1
battle-gen9randombattle-1252,Smart_718b,31,1
battle-gen9randombattle-1253,Smart_718b,32,1
battle-gen9randombattle-1254,Smart_718b,20,1
battle-gen9randombattle-1255,Smart_718b,29,1
battle-gen9randombattle-1256,Smart_718b,21,1
battle-gen9randombattle-1257,Smart_718b,26,1
battle-gen9randombattle-1258,Rand_718b,19,0
battle-gen9randombattle-1259,Smart_718b,21,1
battle-gen9randombattle-1260,Smart_718b,18,1
battle-gen9randombattle-1261,Smart_718b,31,1
battle-gen9randombattle-1262,Smart_718b,19,1
battle-gen9randombattle-1263,Smart_718b,20,1
battle-gen9randombattle-1264,Smart_718b,12,1
battle-gen9randombattle-1265,Smart_718b,15,1
battle-gen9randombattle-1266,Smart_718b,13,1
battle-gen9randombattle-1267,Smart_718b,24,1
battle-gen9randombattle-1268,Smart_718b,25,1
battle-gen9randombattle-1269,Smart_718b,45,1
battle-gen9randombattle-1270,Smart_718b,21,1
battle-gen9randombattle-1271,Smart_718b,20,1
battle-gen9randombattle-1272,Smart_718b,20,1
battle-gen9randombattle-1273,Smart_718b,16,1
battle-gen9randombattle-1274,Smart_718b,19,1
battle-gen9randombattle-1275,Smart_718b,13,1
battle-gen9randombattle-1276,Smart_718b,13,1
battle-gen9randombattle-1277,Smart_718b,20,1
battle-gen9randombattle-1278,Smart_718b,16,1
battle-gen9randombattle-1279,Smart_718b,34,1
battle-gen9randombattle-1280,Smart_718b,18,1
battle-gen9randombattle-1281,Smart_718b,33,1
battle-gen9randombattle-1282,Smart_718b,21,1
battle-gen9randombattle-1283,Smart_718b,28,1
battle-gen9randombattle-1284,Smart_718b,27,1
battle-gen9randombattle-1285,Smart_718b,16,1
battle-gen9randombattle-1286,Rand_718b,46,0
battle-gen9randombattle-1287,Smart_718b,17,1
battle-gen9randombattle-1288,Smart_718b,15,1
battle-gen9randombattle-1289,Smart_718b,25,1
battle-gen9randombattle-1290,Smart_718b,24,1
battle-gen9randombattle-1291,Smart_718b,95,1
battle-gen9randombattle-1292,Smart_718b,29,1
battle-gen9randombattle-1293,Smart_718b,18,1
battle-gen9randombattle-1294,Smart_718b,23,1
battle-gen9randombattle-1295,Smart_718b,41,1
