agent,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,abyssal,simple_heuristic,one_step,safe_one_step,max_power,random
v1,50.44,49.12,49.08,47.59,47.75,48.81,38.97,37.4,35.14,36.52,34.35,23.29,27.38,32.09,39.23,38.74,35.91,36.5,37.8,28.8,34.19,65.72,30.64,30.26,49.93,48.83,80.21,97.53
v2,50.33,50.13,49.58,49.1,48.73,49.58,37.55,36.69,34.96,37.42,34.71,24.05,27.25,32.56,40.23,39.84,35.55,35.3,40.5,35.2,34.81,66.19,31.24,31.38,50.54,50.28,79.87,97.34
v3,49.85,50.94,50.82,48.9,48.47,48.76,38.6,38.18,35.45,37.65,34.23,24.4,26.3,32.42,39.5,39.79,36.11,39.7,40.3,35.4,34.91,65.29,31.05,31.51,50.59,49.81,79.97,97.12
v4,51.97,50.73,51.37,50.14,49.66,51.32,39.72,39.35,35.08,38.69,35.59,24.44,26.82,33.17,40.42,40.34,36.59,38.3,39.4,32.6,35.96,66.23,31.33,31.53,50.28,51.33,80.87,97.29
v5,51.78,51.08,51.1,50.69,50.11,52.07,40.1,38.74,36.36,39.47,35.08,24.78,27.5,33.31,41.49,41.05,36.44,41.4,40.8,32.7,36.55,67.26,32.5,31.13,51.21,51.01,80.48,97.57
v6,51.53,50.64,50.53,49.5,49.06,49.84,39.32,38.78,36.13,37.91,35.15,23.89,27.24,33.23,40.22,40.35,36.22,37.2,39.7,34.6,35.55,66.57,32.02,31.99,50.78,50.1,80.55,97.37
v7,61.09,61.47,60.46,59.72,59.01,61.31,50.24,48.84,45.29,48.36,46.09,31.97,33.76,42.01,51.07,50.37,45.78,50.1,48.0,42.7,44.83,70.49,40.8,40.67,60.91,60.51,85.69,97.61
v8,61.82,62.14,61.59,60.97,61.39,62.23,51.61,49.92,46.8,50.81,45.99,32.86,34.2,43.31,51.36,51.94,47.54,50.2,52.5,44.4,46.61,71.23,42.3,42.8,61.44,62.09,87.01,97.67
v9,65.11,64.69,64.27,63.69,64.49,64.7,55.11,53.58,50.32,53.79,49.4,37.69,41.87,45.74,55.39,55.99,50.84,56.4,56.0,46.9,49.95,75.65,46.64,47.01,65.49,65.48,87.94,98.43
v10,62.97,62.6,62.69,61.11,61.46,61.96,50.68,50.55,46.69,49.29,45.94,33.22,34.6,43.61,52.82,51.71,47.95,51.5,51.7,43.3,47.26,72.7,41.86,42.7,62.02,62.17,87.2,97.7
v11,65.22,64.82,65.71,65.16,64.44,64.62,55.51,54.32,50.48,54.2,50.19,37.79,42.53,46.42,57.24,56.04,51.09,56.2,56.2,50.6,50.12,76.18,47.5,47.32,65.66,64.35,87.6,98.53
v12,76.35,76.33,75.53,75.81,74.87,76.09,68.48,67.3,61.52,67.44,61.65,50.11,50.65,56.01,63.96,63.3,60.37,66.1,64.5,58.5,59.12,80.79,59.91,59.75,76.45,76.48,90.27,98.62
v13,72.98,73.14,73.16,72.87,72.23,73.04,66.49,65.42,57.87,66.06,56.73,48.85,49.33,57.71,67.59,66.81,64.12,67.7,67.1,61.4,62.46,78.31,55.34,56.1,72.87,72.55,91.11,98.18
v14,67.76,67.07,67.41,68.15,65.67,66.9,58.9,57.87,54.01,56.76,53.6,44.74,41.6,49.69,60.07,59.34,56.7,59.8,58.2,53.7,54.74,74.87,51.36,50.66,67.55,67.39,90.75,98.63
v15,60.57,60.1,60.17,58.89,58.78,59.84,48.55,48.15,44.04,48.46,43.88,36.04,32.82,39.43,49.92,49.28,45.34,49.3,52.4,39.7,43.65,69.67,41.72,41.23,60.7,59.88,87.54,98.33
v16,61.32,60.62,60.4,59.2,60.02,60.31,49.81,48.77,46.1,48.13,44.14,35.92,33.5,39.56,51.14,49.97,45.68,51.8,52.6,44.6,44.75,70.22,41.86,40.65,59.96,60.8,87.51,98.56
v17,64.36,64.83,64.85,63.53,63.29,64.63,53.78,52.88,49.54,52.07,48.21,40.94,35.1,43.61,54.71,54.3,50.12,52.9,54.4,50.4,47.5,71.27,46.79,46.75,63.74,64.96,88.74,98.31
v18,62.2,62.9,62.6,60.8,61.3,61.7,50.7,47.9,44.3,49.3,44.8,34.0,28.6,40.0,49.3,52.1,44.7,52.3,49.3,43.6,44.1,71.1,42.2,42.0,61.8,60.8,89.4,98.8
v19,59.5,60.0,60.1,58.5,59.5,59.8,49.5,48.3,44.4,50.8,45.1,33.1,34.1,41.7,51.6,49.3,45.3,51.4,49.5,41.2,46.5,66.9,38.7,40.1,60.6,60.0,88.4,98.1
v20,68.0,66.6,63.5,65.5,65.2,65.7,54.3,53.9,52.8,55.9,53.0,42.7,39.1,47.0,59.1,57.3,55.8,56.6,56.6,49.9,49.6,73.0,49.0,49.2,65.1,65.5,91.5,99.1
v21,64.88,64.51,64.64,62.98,63.15,64.01,54.79,52.68,50.08,52.9,49.94,41.28,38.39,45.43,57.07,56.03,52.32,55.9,56.4,48.2,49.92,71.74,46.98,47.76,64.68,65.05,89.54,98.5
v22,34.66,35.01,33.61,34.55,32.91,33.83,28.26,26.46,23.31,27.39,23.95,19.8,22.03,25.81,29.93,30.3,29.98,28.6,28.5,26.9,29.07,49.58,22.9,21.73,34.17,32.41,60.75,96.56
abyssal,69.4,69.29,69.07,69.02,67.99,68.92,58.2,57.43,52.66,57.41,52.42,40.76,43.81,48.8,59.08,58.93,53.41,60.4,60.7,51.3,52.86,77.07,49.98,49.6,67.99,69.06,89.67,98.48
simple_heuristic,68.71,68.78,69.4,69.15,68.84,68.37,57.92,57.25,53.66,57.05,51.62,40.63,43.58,48.79,59.7,58.37,52.52,59.1,58.3,46.6,52.98,78.61,50.28,49.29,68.51,68.51,89.22,98.6
one_step,50.19,50.19,50.53,49.35,49.35,48.7,39.25,37.9,34.94,37.02,34.93,23.51,26.47,33.11,39.49,39.83,35.99,39.2,39.1,34.6,35.5,65.53,31.46,31.08,50.33,49.27,80.05,97.38
safe_one_step,49.92,48.74,49.72,49.28,48.64,50.02,38.79,37.31,35.74,37.4,34.79,24.48,26.88,32.34,40.15,40.12,36.06,38.0,40.8,34.5,35.25,65.82,31.2,30.83,50.44,49.57,79.56,97.15
max_power,20.02,19.29,20.04,18.74,19.32,20.47,13.69,12.74,11.84,12.39,11.4,9.3,8.64,9.34,12.43,12.49,10.33,11.5,12.7,9.7,10.62,39.0,10.52,10.49,19.66,19.88,50.2,91.28
random,2.39,2.84,2.6,2.65,2.29,2.8,2.13,2.33,1.85,1.95,1.68,1.76,1.73,1.12,1.47,1.45,1.51,1.0,1.6,1.3,1.42,3.11,1.46,1.44,2.48,2.39,9.08,50.06
