agent,regime,added,games,win_rate_%,ci95_pp,avg_turns,avg_hp_us,vol_switches,matchup_switches,tera / game,setup / game,hazards / game,ko_checks / game,fallbacks / game
v1,Plateau,greedy bp×type×STAB; no switches,253000,44.24624505928854,0.19353870417980015,17.99594071146245,0.8758181818181818,1.0072648221343874,0.0,0.0,0.0,0.0,0.0,4.653268774703557
v2,Plateau,"stats, burn, tracking",253000,44.703952569169964,0.1937369941447193,17.978324110671938,0.8863399209486166,1.0251501976284585,0.0,0.0,0.0,0.0,0.0,4.589292490118577
v3,Plateau,more damage fidelity,253000,44.7494071146245,0.19375577893193263,17.97779051383399,0.8889525691699605,1.0254624505928853,0.0,0.0,0.0,0.0,0.0,4.547415019762846
v4,Plateau,field / weather,253000,45.50395256916996,0.1940437252502363,17.963656126482213,0.9051620553359684,1.0256166007905139,0.0,0.0,0.0,0.0,0.0,4.572731225296443
v5,Plateau,boost stages,253000,45.86363636363637,0.19416516641904275,17.956213438735176,0.9160909090909091,1.0247430830039526,0.0,0.0,0.0,0.0,0.0,4.546541501976285
v6,Plateau,Toxic / outspeed pivot,253000,45.281422924901186,0.19396348280483847,17.985498023715415,0.8990355731225297,1.0253320158102768,0.0,0.0,0.0,0.0,0.0,4.591229249011858
v7,Positional,"hazards, setup, KO, matchup switch",253000,54.24624505928854,0.19412914831325442,17.99101185770751,1.171916996047431,1.4679565217391304,0.4106521739130435,0.0,0.0,0.0,0.0,2.17502766798419
v8,Positional,"items, abilities, screens, TR",253000,55.428458498023716,0.19368133970137633,17.930403162055335,1.1980869565217391,1.4837707509881424,0.41218972332015813,0.0015968379446640317,0.0,0.0,0.06437154150197628,2.180719367588933
v9,Tempo-safe,hazards/setup only on free turns,253000,58.86126482213439,0.1917489008140495,17.904312252964427,1.4392292490118577,1.4629446640316206,0.39612252964426875,0.0013992094861660078,1.6408339920948616,0.16657707509881423,0.0,2.1623636363636365
v10,Positional,"status, sack ≤20% HP, U-turn",253000,55.65652173913043,0.19358221953659877,17.90706324110672,1.1945731225296443,1.4264584980237154,0.38708300395256917,0.0016205533596837945,0.0,0.0,0.06437944664031621,2.1646324110671937
v11,Tempo-safe,v9 tempo + v10 status/pivot,253000,59.26245059288537,0.1914608065005702,17.875703557312253,1.4406403162055337,1.4016166007905138,0.3596521739130435,0.0014505928853754942,1.6460632411067193,0.16673517786561265,0.06873517786561265,2.125703557312253
v12,Tera / preview,Tera + preview lead + fainted switch-in,253000,69.01462450592885,0.1801947018327596,17.864592885375494,1.8419723320158103,1.3694189723320158,0.24696442687747036,0.9551897233201581,1.7462648221343873,0.17502371541501976,0.07208695652173913,0.014320158102766798
v13,Set prediction,"set prediction, conservative Tera, recovery",253000,67.62608695652175,0.18232562405087455,19.09405533596838,2.0148221343873516,3.578794466403162,2.569584980237154,0.19626482213438734,1.583110671936759,0.31024901185770754,0.07125691699604743,0.011936758893280632
v14,Yomi / scouting,"Yomi, T1–3 scouting, 16-step, 1-ply endgame",253000,62.0300395256917,0.18910970521890222,18.52690118577075,1.485312252964427,2.0903320158102767,1.0436640316205534,0.33516600790513834,0.20662450592885376,0.033565217391304344,14.628679841897233,0.019268774703557312
