opponent,paradigm,v12_wr,v12_n,v12_ci,v13_wr,v13_n,v13_ci,v14_wr,v14_n,v14_ci
v15,Minimax,63.96,10000,0.9408628840899297,67.59,10000,0.9172024042381219,60.07,10000,0.9597423619088564
v16,Minimax,63.3,10000,0.9445259723327996,66.81,10000,0.9228001497329189,59.34,10000,0.9625718153777
v17,Minimax,60.37,10000,0.9585152794753358,64.12,10000,0.9399459228760356,56.7,10000,0.9709786269632497
v18,MCTS,66.1,1000,2.9290053351697485,67.7,1000,2.893597343751159,59.8,1000,3.0333344105477993
v19,MCTS,64.5,1000,2.9606958948128907,67.1,1000,2.9073192874979057,58.2,1000,3.051378466382209
v20,MCTS,58.5,1000,3.048247226751582,61.4,1000,3.0119438921974706,53.7,1000,3.084648556395092
v21,IL Hybrid,59.12,10000,0.9633812601182363,62.46,10000,0.9489128184880057,54.74,10000,0.9754007734611553
v22,IL Pure,80.79,10000,0.7720867255170487,78.31,10000,0.8077005873622626,74.87,10000,0.8500612901798179
abyssal,Baseline,59.91,10000,0.9603814559399502,55.34,10000,0.9742099636499999,51.36,10000,0.9794494360046457
simple_heuristic,Baseline,59.75,10000,0.9610098993744355,56.1,10000,0.9724955410247423,50.66,10000,0.9797264836764624
