opponent,paradigm,v1,v1_n,v2,v2_n,v3,v3_n,v4,v4_n,v5,v5_n,v6,v6_n,v7,v7_n,v8,v8_n,v9,v9_n,v10,v10_n,v11,v11_n,v12,v12_n,v13,v13_n,v14,v14_n
abyssal,Baseline,30.64,10000,31.24,10000,31.05,10000,31.33,10000,32.5,10000,32.02,10000,40.8,10000,42.3,10000,46.64,10000,41.86,10000,47.5,10000,59.91,10000,55.34,10000,51.36,10000
max_power,Baseline,80.21,10000,79.87,10000,79.97,10000,80.87,10000,80.48,10000,80.55,10000,85.69,10000,87.01,10000,87.94,10000,87.2,10000,87.6,10000,90.27,10000,91.11,10000,90.75,10000
one_step,Baseline,49.93,10000,50.54,10000,50.59,10000,50.28,10000,51.21,10000,50.78,10000,60.91,10000,61.44,10000,65.49,10000,62.02,10000,65.66,10000,76.45,10000,72.87,10000,67.55,10000
random,Baseline,97.53,10000,97.34,10000,97.12,10000,97.29,10000,97.57,10000,97.37,10000,97.61,10000,97.67,10000,98.43,10000,97.7,10000,98.53,10000,98.62,10000,98.18,10000,98.63,10000
safe_one_step,Baseline,48.83,10000,50.28,10000,49.81,10000,51.33,10000,51.01,10000,50.1,10000,60.51,10000,62.09,10000,65.48,10000,62.17,10000,64.35,10000,76.48,10000,72.55,10000,67.39,10000
simple_heuristic,Baseline,30.26,10000,31.38,10000,31.51,10000,31.53,10000,31.13,10000,31.99,10000,40.67,10000,42.8,10000,47.01,10000,42.7,10000,47.32,10000,59.75,10000,56.1,10000,50.66,10000
v1,Heuristic,50.44,10000,50.33,10000,49.85,10000,51.97,10000,51.78,10000,51.53,10000,61.09,10000,61.82,10000,65.11,10000,62.97,10000,65.22,10000,76.35,10000,72.98,10000,67.76,10000
v10,Heuristic,36.52,10000,37.42,10000,37.65,10000,38.69,10000,39.47,10000,37.91,10000,48.36,10000,50.81,10000,53.79,10000,49.29,10000,54.2,10000,67.44,10000,66.06,10000,56.76,10000
v11,Heuristic,34.35,10000,34.71,10000,34.23,10000,35.59,10000,35.08,10000,35.15,10000,46.09,10000,45.99,10000,49.4,10000,45.94,10000,50.19,10000,61.65,10000,56.73,10000,53.6,10000
v12,Heuristic,23.29,10000,24.05,10000,24.4,10000,24.44,10000,24.78,10000,23.89,10000,31.97,10000,32.86,10000,37.69,10000,33.22,10000,37.79,10000,50.11,10000,48.85,10000,44.74,10000
v13,Heuristic,27.38,10000,27.25,10000,26.3,10000,26.82,10000,27.5,10000,27.24,10000,33.76,10000,34.2,10000,41.87,10000,34.6,10000,42.53,10000,50.65,10000,49.33,10000,41.6,10000
v14,Heuristic,32.09,10000,32.56,10000,32.42,10000,33.17,10000,33.31,10000,33.23,10000,42.01,10000,43.31,10000,45.74,10000,43.61,10000,46.42,10000,56.01,10000,57.71,10000,49.69,10000
