matchup_opponent,v21_games,v21_wins,v21_win_rate,v21_ci95,v21_paradigm,v22_games,v22_wins,v22_win_rate,v22_ci95,v22_paradigm,delta_pp
random,10000,9850,98.5,0.23892408733279147,Baseline,10000,9656,96.56,0.35759715203093717,Baseline,1.9399999999999977
max_power,10000,8954,89.54,0.5999101445504894,Baseline,10000,6075,60.75,0.9569068888590474,Baseline,28.790000000000006
v22,10000,7174,71.74,0.8823865337731038,IL Pure,10000,4958,49.58,0.979777260722152,IL Pure,22.159999999999997
safe_one_step,10000,6505,65.05,0.9343900735208336,Baseline,10000,3241,32.41,0.9172024042381219,Baseline,32.64
v1,10000,6488,64.88,0.9354346332388807,Heuristic,10000,3466,34.66,0.9325780228781904,Heuristic,30.22
one_step,10000,6468,64.68,0.9366468721000393,Baseline,10000,3417,34.17,0.9294293320445685,Baseline,30.510000000000005
v3,10000,6464,64.64,0.9368871649783,Heuristic,10000,3361,33.61,0.9256958086093854,Heuristic,31.03
v2,10000,6451,64.51,0.9376631678618637,Heuristic,10000,3501,35.01,0.9347602301083567,Heuristic,29.500000000000007
v6,10000,6401,64.01,0.9405775520596278,Heuristic,10000,3383,33.83,0.927179827181468,Heuristic,30.180000000000007
v5,10000,6315,63.15,0.9453318448286075,Heuristic,10000,3291,32.91,0.9208237994597298,Heuristic,30.240000000000002
v4,10000,6298,62.98,0.9462333029531768,Heuristic,10000,3455,34.55,0.9318807092893544,Heuristic,28.43
v15,10000,5707,57.07,0.9699709996535277,Minimax,10000,2993,29.93,0.8974455340410888,Minimax,27.14
v19,1000,564,56.4,3.0677510598704143,MCTS,1000,285,28.5,2.79374879262519,MCTS,27.9
v16,10000,5603,56.03,0.9726631056511041,Minimax,10000,3030,30.3,0.9005870428992822,Minimax,25.73
v18,1000,559,55.9,3.071569944499504,MCTS,1000,286,28.6,2.7966742540962555,MCTS,27.299999999999997
v7,10000,5479,54.79,0.9753070066344823,Heuristic,10000,2826,28.26,0.8823865337731038,Heuristic,26.529999999999998
v10,10000,5290,52.9,0.9781630179391827,Heuristic,10000,2739,27.39,0.8739535201722801,Heuristic,25.509999999999998
v8,10000,5268,52.68,0.9784038646452936,Heuristic,10000,2646,26.46,0.8644764086029834,Heuristic,26.22
v17,10000,5232,52.32,0.9787569051479416,Minimax,10000,2998,29.98,0.8978741248010307,Minimax,22.34
v9,10000,5008,50.08,0.9798105621395776,Heuristic,10000,2331,23.31,0.8286028067843424,Heuristic,26.77
v11,10000,4994,49.94,0.979811110624037,Heuristic,10000,2395,23.95,0.8363847424996024,Heuristic,25.99
v21,10000,4992,49.92,0.9798105621395776,IL Hybrid,10000,2907,29.07,0.8898726910298499,IL Hybrid,20.85
v20,1000,482,48.2,3.091099280976177,MCTS,1000,269,26.9,2.744629284853058,MCTS,21.300000000000004
simple_heuristic,10000,4776,47.76,0.9788284391716565,Baseline,10000,2173,21.73,0.8082382087732041,Baseline,26.029999999999998
abyssal,10000,4698,46.98,0.978023615235969,Baseline,10000,2290,22.9,0.8234785308790373,Baseline,24.08
v14,10000,4543,45.43,0.9757121563367971,Heuristic,10000,2581,25.81,0.8575606339849251,Heuristic,19.62
v12,10000,4128,41.28,0.9648019035397588,Heuristic,10000,1980,19.8,0.780980760777466,Heuristic,21.48
v13,10000,3839,38.39,0.9530420889486564,Heuristic,10000,2203,22.03,0.8122349245178252,Heuristic,16.36
