matchup_opponent,v18_games,v18_wins,v18_win_rate,v18_ci95,v18_paradigm,v19_games,v19_wins,v19_win_rate,v19_ci95,v19_paradigm,v20_games,v20_wins,v20_win_rate,v20_ci95,v20_paradigm,delta_v20_v18
random,1000,988,98.8,0.6989947417999018,Baseline,1000,981,98.1,0.8643950482649703,Baseline,1000,991,99.1,0.613700061690627,Baseline,0.29999999999999716
max_power,1000,894,89.4,1.9103027837997308,Baseline,1000,884,88.4,1.9864163820627043,Baseline,1000,915,91.5,1.7325106031302366,Baseline,2.0999999999999943
v22,1000,711,71.1,2.8053508006670484,IL Pure,1000,669,66.9,2.911774160680359,IL Pure,1000,730,73.0,2.747829033910571,IL Pure,1.9000000000000057
v1,1000,622,62.2,2.9999717773537937,Heuristic,1000,595,59.5,3.0369706277133974,Heuristic,1000,680,68.0,2.886533622442307,Heuristic,5.799999999999997
v2,1000,629,62.9,2.988787274479556,Heuristic,1000,600,60.0,3.0308449519261633,Heuristic,1000,666,66.6,2.918345748847022,Heuristic,3.6999999999999957
v6,1000,617,61.7,3.007555002564509,Heuristic,1000,598,59.8,3.0333344105477993,Heuristic,1000,657,65.7,2.9372715429677663,Heuristic,4.0
v4,1000,608,60.8,3.020361770629671,Heuristic,1000,585,58.5,3.048247226751582,Heuristic,1000,655,65.5,2.9413181702348874,Heuristic,4.700000000000003
safe_one_step,1000,608,60.8,3.020361770629671,Baseline,1000,600,60.0,3.0308449519261633,Baseline,1000,655,65.5,2.9413181702348874,Baseline,4.700000000000003
v5,1000,613,61.3,3.0133801328474843,Heuristic,1000,595,59.5,3.0369706277133974,Heuristic,1000,652,65.2,2.947280684406791,Heuristic,3.9000000000000057
one_step,1000,618,61.8,3.0060652517671405,Baseline,1000,606,60.6,3.023061638501109,Baseline,1000,651,65.1,2.949239658044285,Baseline,3.299999999999997
v3,1000,626,62.6,2.9936621571008923,Heuristic,1000,601,60.1,3.029580580412868,Heuristic,1000,635,63.5,2.9786680375131946,Heuristic,0.8999999999999986
v15,1000,493,49.3,3.0927946038807432,Minimax,1000,516,51.6,3.0915185746144704,Minimax,1000,591,59.1,3.0416366908524584,Minimax,9.800000000000004
v16,1000,521,52.1,3.090377716126967,Minimax,1000,493,49.3,3.0927946038807432,Minimax,1000,573,57.3,3.0600803062174307,Minimax,5.199999999999996
v18,1000,523,52.3,3.089834889652288,MCTS,1000,514,51.4,3.0918884923694208,MCTS,1000,566,56.6,3.066135141576231,MCTS,4.300000000000004
v19,1000,493,49.3,3.0927946038807432,MCTS,1000,495,49.5,3.0929425152462673,MCTS,1000,566,56.6,3.066135141576231,MCTS,7.300000000000004
v10,1000,493,49.3,3.0927946038807432,Heuristic,1000,508,50.8,3.0927021556850254,Heuristic,1000,559,55.9,3.071569944499504,Heuristic,6.600000000000001
v17,1000,447,44.7,3.0757373533880425,Minimax,1000,453,45.3,3.079453488466433,Minimax,1000,558,55.8,3.0722959265783634,Minimax,11.099999999999994
v7,1000,507,50.7,3.0927946038807432,Heuristic,1000,495,49.5,3.0929425152462673,Heuristic,1000,543,54.3,3.0816810185333985,Heuristic,3.5999999999999943
v8,1000,479,47.9,3.090377716126967,Heuristic,1000,483,48.3,3.0913151009810047,Heuristic,1000,539,53.9,3.08370914504777,Heuristic,6.0
v11,1000,448,44.8,3.076388001070698,Heuristic,1000,451,45.1,3.0782648133381203,Heuristic,1000,530,53.0,3.0875453332823963,Heuristic,8.200000000000003
v9,1000,443,44.3,3.0730093315703817,Heuristic,1000,444,44.4,3.0737101682329473,Heuristic,1000,528,52.8,3.0882613877482723,Heuristic,8.5
v20,1000,436,43.6,3.0677510598704143,MCTS,1000,412,41.2,3.045000091966883,MCTS,1000,499,49.9,3.093090419538681,MCTS,6.299999999999997
v21,1000,441,44.1,3.071569944499504,IL Hybrid,1000,465,46.5,3.0855382612138693,IL Hybrid,1000,496,49.6,3.0929979801847485,IL Hybrid,5.5
simple_heuristic,1000,420,42.0,3.0534017498891153,Baseline,1000,401,40.1,3.0320962232338817,Baseline,1000,492,49.2,3.0927021556850254,Baseline,7.200000000000003
abyssal,1000,422,42.2,3.055373785165423,Baseline,1000,387,38.7,3.0133801328474843,Baseline,1000,490,49.0,3.092480268739432,Baseline,6.799999999999997
v14,1000,400,40.0,3.0308449519261633,Heuristic,1000,417,41.7,3.05034757477498,Heuristic,1000,470,47.0,3.0875453332823963,Heuristic,7.0
v12,1000,340,34.0,2.9310935820909414,Heuristic,1000,331,33.1,2.9117741606803595,Heuristic,1000,427,42.7,3.0600803062174307,Heuristic,8.700000000000003
v13,1000,286,28.6,2.7966742540962555,Heuristic,1000,341,34.1,2.93316734528187,Heuristic,1000,391,39.1,3.018991989974517,Heuristic,10.5
