matchup_opponent,v15_games,v15_wins,v15_win_rate,v15_ci95,v15_paradigm,v16_games,v16_wins,v16_win_rate,v16_ci95,v16_paradigm,v17_games,v17_wins,v17_win_rate,v17_ci95,v17_paradigm,delta_v17_v15,delta_v16_v15
random,10000,9833,98.33,0.2518006351458643,Baseline,10000,9856,98.56,0.23419915290806584,Baseline,10000,9831,98.31,0.25326960764254514,Baseline,-0.01999999999999602,0.23000000000000398
max_power,10000,8754,87.54,0.6473552439061505,Baseline,10000,8751,87.51,0.6480224408828158,Baseline,10000,8874,88.74,0.6196219363915113,Baseline,1.1999999999999886,-0.030000000000001137
v22,10000,6967,69.67,0.9008387229709675,IL Pure,10000,7022,70.22,0.8961521067146829,IL Pure,10000,7127,71.27,0.8867726377408689,IL Pure,1.5999999999999943,0.5499999999999972
safe_one_step,10000,5988,59.88,0.9605000997246547,Baseline,10000,6080,60.8,0.9566907438641152,Baseline,10000,6496,64.96,0.9349446991697824,Baseline,5.079999999999991,0.9199999999999946
v3,10000,6017,60.17,0.9593375101900953,Heuristic,10000,6040,60.4,0.9583905021955247,Heuristic,10000,6485,64.85,0.9356176154108716,Heuristic,4.679999999999993,0.22999999999999687
v2,10000,6010,60.1,0.9596213443455277,Heuristic,10000,6062,60.62,0.9574639467553065,Heuristic,10000,6483,64.83,0.9357393785335519,Heuristic,4.729999999999997,0.519999999999996
v6,10000,5984,59.84,0.9606577092246135,Heuristic,10000,6031,60.31,0.9587637043061229,Heuristic,10000,6463,64.63,0.9369471261443427,Heuristic,4.789999999999992,0.46999999999999886
v1,10000,6057,60.57,0.9576763097814713,Heuristic,10000,6132,61.32,0.954380328003011,Heuristic,10000,6436,64.36,0.9385491696229912,Heuristic,3.789999999999999,0.75
one_step,10000,6070,60.7,0.957121982388592,Baseline,10000,5996,59.96,0.96018288415475,Baseline,10000,6374,63.74,0.9421052170762386,Baseline,3.039999999999999,-0.740000000000002
v4,10000,5889,58.89,0.9642061690255712,Heuristic,10000,5920,59.2,0.9630892273227567,Heuristic,10000,6353,63.53,0.9432711804181962,Heuristic,4.640000000000001,0.3100000000000023
v5,10000,5878,58.78,0.9645929995656973,Heuristic,10000,6002,60.02,0.9599432241789765,Heuristic,10000,6329,63.29,0.944580003026721,Heuristic,4.509999999999998,1.240000000000002
v15,10000,4992,49.92,0.9798105621395776,Minimax,10000,5114,51.14,0.9795572078477701,Minimax,10000,5471,54.71,0.9754565570027061,Minimax,4.789999999999999,1.2199999999999989
v19,1000,524,52.4,3.089544931895112,MCTS,1000,526,52.6,3.088927909933343,MCTS,1000,544,54.4,3.0811428463318298,MCTS,2.0,0.20000000000000284
v16,10000,4928,49.28,0.9797102626766939,Minimax,10000,4997,49.97,0.9798116395194749,Minimax,10000,5430,54.3,0.9761831438521569,Minimax,5.019999999999996,0.6899999999999977
v7,10000,4855,48.55,0.9793998765714835,Heuristic,10000,4981,49.81,0.9798047442676592,Heuristic,10000,5378,53.78,0.9770088932943602,Heuristic,5.230000000000004,1.2600000000000051
v18,1000,493,49.3,3.0927946038807432,MCTS,1000,518,51.8,3.091099280976177,MCTS,1000,529,52.9,3.0879095541481996,MCTS,3.6000000000000014,2.5
v8,10000,4815,48.15,0.9791411626584569,Heuristic,10000,4877,48.77,0.979515413375114,Heuristic,10000,5288,52.88,0.9781857003960436,Heuristic,4.730000000000004,0.6200000000000045
v10,10000,4846,48.46,0.9793471397586552,Heuristic,10000,4813,48.13,0.979126578566453,Heuristic,10000,5207,52.07,0.9789720993090907,Heuristic,3.6099999999999994,-0.3299999999999983
v20,1000,397,39.7,3.0270124709365973,MCTS,1000,446,44.6,3.075074170788817,MCTS,1000,504,50.4,3.0929979801847485,MCTS,10.699999999999996,4.899999999999999
v17,10000,4534,45.34,0.9755487355113437,Minimax,10000,4568,45.68,0.9761492467922004,Minimax,10000,5012,50.12,0.9798089950394299,Minimax,4.779999999999994,0.3399999999999963
v9,10000,4404,44.04,0.9728287079437863,Heuristic,10000,4610,46.1,0.9768278290369508,Heuristic,10000,4954,49.54,0.979770365228391,Heuristic,5.5,2.0600000000000023
v11,10000,4388,43.88,0.972447304846915,Heuristic,10000,4414,44.14,0.9730618805831301,Heuristic,10000,4821,48.21,0.9791839727706003,Heuristic,4.329999999999998,0.259999999999998
v21,10000,4365,43.65,0.9718810613766405,IL Hybrid,10000,4475,44.75,0.9743977191157861,IL Hybrid,10000,4750,47.5,0.9785867555256438,IL Hybrid,3.8500000000000014,1.1000000000000014
abyssal,10000,4172,41.72,0.96628878880233,Baseline,10000,4186,41.86,0.966745288199059,Baseline,10000,4679,46.79,0.9777912921192913,Baseline,5.07,0.14000000000000057
simple_heuristic,10000,4123,41.23,0.9646279195217126,Baseline,10000,4065,40.65,0.9625345476338728,Baseline,10000,4675,46.75,0.977740568977868,Baseline,5.520000000000003,-0.5799999999999983
v14,10000,3943,39.43,0.9576763097814713,Heuristic,10000,3956,39.56,0.9582235463734096,Heuristic,10000,4361,43.61,0.9717804175081821,Heuristic,4.18,0.13000000000000256
v12,10000,3604,36.04,0.9408628840899295,Heuristic,10000,3592,35.92,0.9401762269197333,Heuristic,10000,4094,40.94,0.9635985534974048,Heuristic,4.899999999999999,-0.11999999999999744
v13,10000,3282,32.82,0.9201806968168672,Heuristic,10000,3350,33.5,0.9249453739812994,Heuristic,10000,3510,35.1,0.9353124200295336,Heuristic,2.280000000000001,0.6799999999999997
