matchup_opponent,games,wins,win_rate,avg_turns,avg_hp_us,avg_hp_opp,ci_95,opponent_paradigm,sample_warning
random,10000,9770,97.7,23.5926,3.8542,0.0265,0.2938050734072129,Baseline,✅ N=10k
max_power,10000,8720,87.2,17.7321,2.3121,0.126,0.6548039918407611,Baseline,✅ N=10k
v22,10000,7270,72.7,19.1972,1.7058,0.4781,0.8731656049123694,Pure Imitation,✅ N=10k
v1,10000,6297,62.970000000000006,17.1217,1.2787,0.3677,0.9464371818353929,Heuristic (Basic),✅ N=10k
v3,10000,6269,62.69,17.2133,1.2644,0.3767,0.947894166293903,Heuristic (Basic),✅ N=10k
v2,10000,6260,62.6,17.2418,1.2716,0.3758,0.9483552630402761,Heuristic (Basic),✅ N=10k
safe_one_step,10000,6217,62.17,16.9476,1.2608,0.3776,0.9505100110681113,Baseline,✅ N=10k
one_step,10000,6202,62.019999999999996,16.9746,1.2393,0.3809,0.951242952391128,Baseline,✅ N=10k
v6,10000,6196,61.96,17.2192,1.2354,0.3827,0.9515334274574442,Heuristic (Basic),✅ N=10k
v5,10000,6146,61.46,17.1342,1.2352,0.387,0.9538942351476626,Heuristic (Basic),✅ N=10k
v4,10000,6111,61.11,17.1293,1.2278,0.3893,0.9554835279811743,Heuristic (Basic),✅ N=10k
v15,10000,5282,52.82,18.4797,0.9744,0.9686,0.9784221090413701,Minimax Search,✅ N=10k
v16,10000,5171,51.71,18.7299,0.9413,1.0188,0.9794087115192371,Minimax Search,✅ N=10k
v19,1000,517,51.7,18.215,0.942,0.964,3.097183435921016,Imitation Learning,⚠️ N=1k (high variance)
v18,1000,515,51.5,17.993,0.981,0.977,3.097580308787611,MCTS Search,⚠️ N=1k (high variance)
v7,10000,5068,50.68,17.4686,0.9523,0.5699,0.9798913593443216,Heuristic (Strategic),✅ N=10k
v8,10000,5055,50.55,17.3702,0.9345,0.581,0.9799227015658966,Heuristic (Strategic),✅ N=10k
v10,10000,4929,49.29,17.3234,0.9147,0.5703,0.9798831855044663,Heuristic (Tactical),✅ N=10k
v17,10000,4795,47.949999999999996,18.409,0.8753,1.1053,0.9791579709649176,MCTS Search,✅ N=10k
v21,10000,4726,47.260000000000005,17.6937,0.8568,1.0542,0.9785094233318895,Imitation Learning,✅ N=10k
v9,10000,4669,46.69,17.4901,0.933,0.623,0.9778322782946933,Heuristic (Strategic),✅ N=10k
v11,10000,4594,45.94,17.4731,0.9075,0.6163,0.9767459230075404,Heuristic (Tactical),✅ N=10k
v14,10000,4361,43.61,18.2153,0.7928,1.2089,0.9719461004100408,Heuristic (Prediction),✅ N=10k
v20,1000,433,43.3,18.024,0.782,1.172,3.071026532818359,Imitation Learning,⚠️ N=1k (high variance)
simple_heuristic,10000,4270,42.699999999999996,17.681,0.8519,0.6558,0.9694810834245566,Baseline,✅ N=10k
abyssal,10000,4186,41.86,17.4095,0.8318,0.6669,0.9669081407693106,Baseline,✅ N=10k
v13,10000,3460,34.599999999999994,18.7705,0.6768,1.782,0.9323414974042232,Heuristic (Advanced),✅ N=10k
v12,10000,3322,33.22,17.6079,0.6238,0.7768,0.9231475308923586,Heuristic (Tera),✅ N=10k
