agent,paradigm,Elo,wins,games
v12,Heuristic,1812.0874258432636,348859.0,506000.0
v13,Heuristic,1801.650574301561,342678.0,506000.0
simple_heuristic,Baseline,1754.9853423044162,313795.0,506000.0
v14,Heuristic,1754.9728089339037,313787.0,506000.0
abyssal,Baseline,1754.6669964151135,313592.0,506000.0
v20,MCTS,1741.7443095978379,33472.0,56000.0
v11,Heuristic,1733.4756502006078,299939.0,506000.0
v9,Heuristic,1729.7569048241642,297518.0,506000.0
v21,IL Hybrid,1729.0698518361617,297070.0,506000.0
v17,Minimax,1722.1599691131955,292553.0,506000.0
v10,Heuristic,1705.5079484284308,281597.0,506000.0
v8,Heuristic,1704.072664178838,280649.0,506000.0
v18,MCTS,1696.839924268137,30182.0,56000.0
v7,Heuristic,1695.6129433241042,275053.0,506000.0
v16,Minimax,1694.2117729226577,274125.0,506000.0
v19,MCTS,1692.5400951224378,29864.0,56000.0
v15,Minimax,1690.9201515982318,271944.0,506000.0
v5,Heuristic,1630.3767274934535,231983.0,506000.0
v4,Heuristic,1627.642692326205,230203.0,506000.0
v6,Heuristic,1624.8322564110724,228377.0,506000.0
safe_one_step,Baseline,1622.5143635523843,226874.0,506000.0
one_step,Baseline,1622.015679267336,226551.0,506000.0
v3,Heuristic,1621.969351006134,226521.0,506000.0
v2,Heuristic,1621.621838507615,226296.0,506000.0
v1,Heuristic,1618.8195289285627,224484.0,506000.0
v22,IL Pure,1529.2029203838015,169716.0,506000.0
max_power,Baseline,1382.7126173920683,99920.0,506000.0
random,Baseline,1000.0,21398.0,506000.0
