heuristic,opponent,games,wins,turns,tera,win_rate,paradigm
abyssal,abyssal,10000,4998,176555,0,0.4998,Baseline
abyssal,max_power,10000,8967,176969,0,0.8967,Baseline
abyssal,one_step,10000,6799,171307,0,0.6799,Baseline
abyssal,random,10000,9848,222070,0,0.9848,Baseline
abyssal,safe_one_step,10000,6906,171832,0,0.6906,Baseline
abyssal,simple_heuristic,10000,4960,177487,0,0.496,Baseline
abyssal,v1,10000,6940,173590,0,0.694,Baseline
abyssal,v10,10000,5741,175784,0,0.5741,Baseline
abyssal,v11,10000,5242,175414,0,0.5242,Baseline
abyssal,v12,10000,4076,177610,0,0.4076,Baseline
abyssal,v13,10000,4381,191007,0,0.4381,Baseline
abyssal,v14,10000,4880,184203,0,0.488,Baseline
abyssal,v15,10000,5908,186601,0,0.5908,Baseline
abyssal,v16,10000,5893,190511,0,0.5893,Baseline
abyssal,v17,10000,5341,186974,0,0.5341,Baseline
abyssal,v18,1000,604,18476,0,0.604,Baseline
abyssal,v19,1000,607,18378,0,0.607,Baseline
abyssal,v2,10000,6929,172115,0,0.6929,Baseline
abyssal,v20,1000,513,18145,0,0.513,Baseline
abyssal,v21,10000,5286,180618,0,0.5286,Baseline
abyssal,v22,10000,7707,192930,0,0.7707,Baseline
abyssal,v3,10000,6907,172084,0,0.6907,Baseline
abyssal,v4,10000,6902,173761,0,0.6902,Baseline
abyssal,v5,10000,6799,172216,0,0.6799,Baseline
abyssal,v6,10000,6892,173066,0,0.6892,Baseline
abyssal,v7,10000,5820,176508,0,0.582,Baseline
abyssal,v8,10000,5743,176661,0,0.5743,Baseline
abyssal,v9,10000,5266,176635,0,0.5266,Baseline
max_power,abyssal,10000,1052,176993,0,0.1052,Baseline
max_power,max_power,10000,5020,224070,0,0.502,Baseline
max_power,one_step,10000,1966,185625,0,0.1966,Baseline
max_power,random,10000,9128,288181,0,0.9128,Baseline
max_power,safe_one_step,10000,1988,186864,0,0.1988,Baseline
max_power,simple_heuristic,10000,1049,178202,0,0.1049,Baseline
max_power,v1,10000,2002,188956,0,0.2002,Baseline
max_power,v10,10000,1239,177581,0,0.1239,Baseline
max_power,v11,10000,1140,175138,0,0.114,Baseline
max_power,v12,10000,930,170389,0,0.093,Baseline
max_power,v13,10000,864,175806,0,0.0864,Baseline
max_power,v14,10000,934,175320,0,0.0934,Baseline
max_power,v15,10000,1243,184295,0,0.1243,Baseline
max_power,v16,10000,1249,187267,0,0.1249,Baseline
max_power,v17,10000,1033,180540,0,0.1033,Baseline
max_power,v18,1000,115,18528,0,0.115,Baseline
max_power,v19,1000,127,18398,0,0.127,Baseline
