heuristic,games,wins,win_rate_%,paradigm
v12,253000,174607,69.01462450592885,Heuristic
v13,253000,171094,67.62608695652175,Heuristic
v14,253000,156936,62.0300395256917,Heuristic
abyssal,253000,156855,61.99802371541502,Baseline
simple_heuristic,253000,156674,61.92648221343874,Baseline
v20,28000,16705,59.660714285714285,MCTS
v11,253000,149934,59.26245059288537,Heuristic
v9,253000,148919,58.86126482213439,Heuristic
v21,253000,148530,58.70750988142292,IL Hybrid
v17,253000,146458,57.88853754940711,Minimax
v10,253000,140811,55.65652173913043,Heuristic
v8,253000,140234,55.428458498023716,Heuristic
v16,253000,137380,54.30039525691699,Minimax
v7,253000,137243,54.24624505928854,Heuristic
v18,28000,15126,54.02142857142857,MCTS
v15,253000,136112,53.799209486166006,Minimax
v19,28000,14920,53.285714285714285,MCTS
v5,253000,116035,45.86363636363637,Heuristic
v4,253000,115125,45.50395256916996,Heuristic
v6,253000,114562,45.281422924901186,Heuristic
one_step,253000,113264,44.76837944664032,Baseline
v3,253000,113216,44.7494071146245,Heuristic
safe_one_step,253000,113153,44.72450592885375,Baseline
v2,253000,113101,44.703952569169964,Heuristic
v1,253000,111943,44.24624505928854,Heuristic
v22,253000,84736,33.492490118577074,IL Pure
max_power,253000,49751,19.664426877470355,Baseline
random,253000,10638,4.204743083003953,Baseline
